Instance_ID,Max_Cells,Machines_Per_Cell,Optimum
1,2,8,11
1,2,9,11
1,2,10,11
1,2,11,11
1,2,12,11
1,3,6,27
1,3,7,18
1,3,8,11
1,3,9,11
2,2,8,7
2,2,9,6
2,2,10,4
2,2,11,3
2,2,12,3
2,3,6,7
2,3,7,6
2,3,8,6
2,3,9,6
3,2,8,4
3,2,9,4
3,2,10,4
3,2,11,3
3,2,12,1
3,3,6,9
3,3,7,4
3,3,8,4
3,3,9,4
4,2,8,14
4,2,9,13
4,2,10,13
4,2,11,13
4,2,12,13
4,3,6,27
4,3,7,18
4,3,8,14
4,3,9,13
5,2,8,9
5,2,9,6
5,2,10,6
5,2,11,5
5,2,12,4
5,3,6,11
5,3,7,8
5,3,8,8
5,3,9,6
6,2,8,5
6,2,9,3
6,2,10,3
6,2,11,3
6,2,12,2
6,3,6,6
6,3,7,4
6,3,8,4
6,3,9,3
7,2,8,7
7,2,9,4
7,2,10,4
7,2,11,4
7,2,12,4
7,3,6,11
7,3,7,5
7,3,8,5
7,3,9,4
8,2,8,13
8,2,9,10
8,2,10,8
8,2,11,5
8,2,12,5
8,3,6,14
8,3,7,11
8,3,8,11
8,3,9,10
9,2,8,8
9,2,9,8
9,2,10,8
9,2,11,5
9,2,12,5
9,3,6,12
9,3,7,12
9,3,8,8
9,3,9,8
10,2,8,8
10,2,9,5
10,2,10,8
10,2,11,5
10,2,12,5
10,3,6,10
10,3,7,8
10,3,8,8
10,3,9,5
