iteracion,epoch,mh,tipo,lcoe_best,lcoe_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,PSO,poblacional,0.2944371953301381,0.2944371953301381,False,False,,,,,,,0,0,0,Llenando ventana
2,1,PSO,poblacional,0.29109514102699013,0.29109514102699013,False,False,,,,,,,0,0,0,Llenando ventana
3,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
4,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
5,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
6,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
7,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
8,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
9,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
10,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
11,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
12,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
13,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
14,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
15,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
16,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
17,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
18,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
19,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
20,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
21,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
22,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
23,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
24,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
25,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
26,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
27,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
28,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
29,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,,,,,0,0,0,Llenando ventana
30,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,0.00833333333333336,,,,0,0,0,Llenando ventana
31,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,0.008999999999999952,,,,0,0,0,Llenando ventana
32,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
33,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
34,1,PSO,poblacional,0.2867225595734892,0.2867225595734892,False,False,,,0.009666666666666657,,,,0,0,0,Llenando ventana
