run,lcoe_cny_kwh,lcoh_cny_kg,agsr_pct,total_h2_kg,electrolyzer_cf_pct,n_switches,wind_mw,pv_mw,n_el_units,electrolyzer_mw,battery_mw,battery_duration_h
1,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
2,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
3,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
4,0.267159,17.631389,20.0000,8862879.45,75.9290,23,174.4731539905175,25.52684600948251,14,70.0,50.0,4.0
5,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.47315399417016,25.52684600582984,14,70.0,50.0,4.0
6,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399406716,25.52684600593284,14,70.0,50.0,4.0
7,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
8,0.267159,17.631389,20.0000,8862879.45,75.9290,19,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
9,0.267159,17.631388,20.0000,8862879.60,75.9290,22,174.4731146706546,25.52688532934539,14,70.0,50.0,4.0
10,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
11,0.267159,17.631389,20.0000,8862879.45,75.9290,23,174.4731539933067,25.52684600669329,14,70.0,50.0,4.0
12,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
13,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399272628,25.52684600727372,14,70.0,50.0,4.0
14,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
15,0.267188,17.629025,19.9811,8863784.98,75.9368,18,174.42687006124203,25.573129938757972,14,70.0,50.0,4.0
16,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.4731539942015,25.52684600579849,14,70.0,50.0,4.0
17,0.267159,17.631389,20.0000,8862879.45,75.9290,23,174.4731539906789,25.526846009321105,14,70.0,50.0,4.0
18,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420145,25.526846005798546,14,70.0,50.0,4.0
19,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
20,0.267160,17.631375,19.9998,8862882.34,75.9290,21,174.47243305223066,25.527566947769344,14,70.0,50.0,4.0
21,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.47315392777614,25.52684607222386,14,70.0,50.0,4.0
22,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
23,0.267159,17.631389,20.0000,8862879.49,75.9290,25,174.47314342740046,25.52685657259954,14,70.0,50.0,4.0
24,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
25,0.267159,17.631389,20.0000,8862879.45,75.9290,22,174.4731539941554,25.52684600584459,14,70.0,50.0,4.0
26,0.267159,17.631389,20.0000,8862879.45,75.9290,24,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
27,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420128,25.526846005798717,14,70.0,50.0,4.0
28,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
29,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
30,0.267159,17.631389,20.0000,8862879.45,75.9290,21,174.4731539938043,25.52684600619571,14,70.0,50.0,4.0
31,0.267159,17.631389,20.0000,8862879.45,75.9290,20,174.47315399420154,25.52684600579846,14,70.0,50.0,4.0
