run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,300.0000001001065,6,3.33688300694727e-08,Óptimo alcanzado
2,300.0000000118589,4,3.952967138805737e-09,Óptimo alcanzado
3,300.0000000000001,6,3.789561257387201e-14,Óptimo alcanzado
4,300.00000018050025,4,6.016675039669887e-08,Óptimo alcanzado
5,300.0000000000473,4,1.5764574830730755e-11,Óptimo alcanzado
6,300.0000000000115,6,3.827456869961073e-12,Óptimo alcanzado
7,300.00000000000784,4,2.6147972675971687e-12,Óptimo alcanzado
8,300.0,6,0.0,Óptimo alcanzado
9,300.00000000000114,6,3.789561257387201e-13,Óptimo alcanzado
10,300.0000810355136,4,2.701183785802641e-05,Peor que el óptimo
11,300.00000000000006,6,1.8947806286936004e-14,Óptimo alcanzado
12,300.00000000000006,6,1.8947806286936004e-14,Óptimo alcanzado
13,300.00000000000017,5,5.684341886080802e-14,Óptimo alcanzado
14,300.00000000121327,6,4.044219773883621e-10,Óptimo alcanzado
15,300.0000000023532,5,7.844012846665768e-10,Óptimo alcanzado
16,300.00000000000006,6,1.8947806286936004e-14,Óptimo alcanzado
17,300.0009427662569,5,0.000314255418970788,Peor que el óptimo
18,300.0,8,0.0,Óptimo alcanzado
19,300.0000000000001,6,3.789561257387201e-14,Óptimo alcanzado
20,300.00341289403957,6,0.0011376313465234489,Peor que el óptimo
21,300.0000000000115,6,3.827456869961073e-12,Óptimo alcanzado
22,300.0000002399063,4,7.996876168666252e-08,Óptimo alcanzado
23,300.0000000238026,6,7.934204404591583e-09,Óptimo alcanzado
24,300.00000023513263,4,7.837754386249192e-08,Óptimo alcanzado
25,300.00000000000006,4,1.8947806286936004e-14,Óptimo alcanzado
26,314.52900027331253,6,4.8430000911041775,Peor que el óptimo
27,300.00000000000057,4,1.8947806286936006e-13,Óptimo alcanzado
28,300.00000000158786,4,5.292880208192704e-10,Óptimo alcanzado
29,300.0000000000004,4,1.3263464400855204e-13,Óptimo alcanzado
30,300.00000000000676,5,2.2547889481453845e-12,Óptimo alcanzado
31,300.000000272524,5,9.084133504681328e-08,Óptimo alcanzado
