run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,400.1570719885996,4,0.039267997149906364,Peor que el óptimo
2,408.91610192778137,6,2.2290254819453423,Peor que el óptimo
3,408.91610192778137,8,2.2290254819453423,Peor que el óptimo
4,400.01086739014283,4,0.0027168475357086663,Peor que el óptimo
5,404.63226223134416,4,1.1580655578360393,Peor que el óptimo
6,408.9161019277813,7,2.229025481945328,Peor que el óptimo
7,408.9161019277813,6,2.229025481945328,Peor que el óptimo
8,404.3491194825131,6,1.0872798706282794,Peor que el óptimo
9,404.3391736441668,4,1.0847934110417015,Peor que el óptimo
10,405.72156337811475,4,1.430390844528688,Peor que el óptimo
11,408.91610192778137,7,2.2290254819453423,Peor que el óptimo
12,408.91610548008885,4,2.2290263700222113,Peor que el óptimo
13,408.9161019277813,6,2.229025481945328,Peor que el óptimo
14,408.91610192778137,5,2.2290254819453423,Peor que el óptimo
15,407.3228242944714,4,1.830706073617847,Peor que el óptimo
16,408.9161019277813,7,2.229025481945328,Peor que el óptimo
17,400.39345959017714,5,0.09836489754428612,Peor que el óptimo
18,400.102520407695,5,0.02563010192375259,Peor que el óptimo
19,408.9161019277813,8,2.229025481945328,Peor que el óptimo
20,408.9161019277813,7,2.229025481945328,Peor que el óptimo
21,408.9161019277813,7,2.229025481945328,Peor que el óptimo
22,408.9161019277813,5,2.229025481945328,Peor que el óptimo
23,408.9161019277813,9,2.229025481945328,Peor que el óptimo
24,400.01193677943746,6,0.0029841948593656298,Peor que el óptimo
25,408.9161019277813,6,2.229025481945328,Peor que el óptimo
26,408.91611794854833,4,2.2290294871370833,Peor que el óptimo
27,400.55272033824735,5,0.1381800845618386,Peor que el óptimo
28,400.1204506852522,4,0.030112671313048622,Peor que el óptimo
29,408.9161019277813,9,2.229025481945328,Peor que el óptimo
30,400.36839222305343,5,0.09209805576335839,Peor que el óptimo
31,404.3543970898452,4,1.0885992724612947,Peor que el óptimo
