iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,ACO,poblacional,688.040136261371,688.040136261371,False,False,,,,,,,0,0,1,Llenando ventana
2,1,ACO,poblacional,688.040136261371,717.8816328455061,False,False,,,,,,,1,0,2,Llenando ventana
3,1,ACO,poblacional,686.8601701305874,686.8601701305874,False,False,,,,,,,0,0,3,Llenando ventana
4,1,ACO,poblacional,686.8601701305874,687.6854289251374,False,False,,,,,,,1,0,4,Llenando ventana
5,1,ACO,poblacional,652.0951723610715,652.0951723610715,False,False,,,,,,,0,0,5,Llenando ventana
6,1,ACO,poblacional,652.0951723610715,706.5863039761286,False,False,,,,,,,1,0,6,Llenando ventana
7,1,ACO,poblacional,652.0951723610715,706.6715651197231,False,False,,,,,,,2,0,7,Llenando ventana
8,1,ACO,poblacional,652.0951723610715,687.3904779553083,False,False,,,,,,,3,0,8,Llenando ventana
9,1,ACO,poblacional,652.0951723610715,671.3449065391526,False,False,,,,,,,4,0,9,Llenando ventana
10,1,ACO,poblacional,652.0951723610715,664.814304819898,False,False,,,,,,,5,0,10,Llenando ventana
11,1,ACO,poblacional,652.0951723610715,654.8192704947561,False,False,,,,,,,6,0,11,Llenando ventana
12,1,ACO,poblacional,652.0951723610715,664.5943132031688,False,False,,,,,,,7,0,12,Llenando ventana
13,1,ACO,poblacional,652.0951723610715,667.512966744799,False,False,,,,,,,8,0,13,Llenando ventana
14,1,ACO,poblacional,652.0951723610715,659.6690558199849,False,False,,,,,,,9,0,14,Llenando ventana
15,1,ACO,poblacional,646.927130692777,646.927130692777,False,False,,,,,,,0,0,15,Llenando ventana
16,1,ACO,poblacional,646.927130692777,662.0696081048411,False,False,,,,,,,1,0,16,Llenando ventana
17,1,ACO,poblacional,646.927130692777,662.6539425989528,False,False,,,,,,,2,0,17,Llenando ventana
18,1,ACO,poblacional,646.927130692777,664.9570611083437,False,False,,,,,,,3,0,18,Llenando ventana
19,1,ACO,poblacional,646.927130692777,671.2907684476083,False,False,,,,,,,4,0,19,Llenando ventana
20,1,ACO,poblacional,638.9206158699117,638.9206158699117,False,False,,,,,,,0,0,20,Llenando ventana
21,1,ACO,poblacional,638.9206158699117,651.7562834244212,False,False,,,,,,,1,0,21,Llenando ventana
22,1,ACO,poblacional,638.9206158699117,654.0730369348029,False,False,,,,,,,2,0,22,Llenando ventana
23,1,ACO,poblacional,638.9206158699117,639.5919175645837,False,False,,,,,,,3,0,23,Llenando ventana
24,1,ACO,poblacional,635.5779412090249,635.5779412090249,False,False,,,,,,,0,0,24,Llenando ventana
25,1,ACO,poblacional,635.5779412090249,656.3779844151253,False,False,,,,,,,1,0,25,Llenando ventana
26,1,ACO,poblacional,635.3943277319024,635.3943277319024,False,False,,,,,,,0,0,26,Llenando ventana
27,1,ACO,poblacional,635.3943277319024,637.6193532943105,False,False,,,,,,,1,0,27,Llenando ventana
28,1,ACO,poblacional,624.7174256093668,624.7174256093668,False,False,,,,,,,0,0,28,Llenando ventana
29,1,ACO,poblacional,624.7174256093668,638.7381049470821,False,False,,,,,,,1,0,29,Llenando ventana
30,1,ACO,poblacional,624.7174256093668,637.385061018818,False,False,,,,,,,2,0,30,Llenando ventana
31,1,ACO,poblacional,624.7174256093668,631.4458953601619,False,False,,,,,,,3,0,31,Llenando ventana
32,1,ACO,poblacional,624.7174256093668,640.7591219305975,False,False,,,,,,,4,0,32,Llenando ventana
33,1,ACO,poblacional,624.7174256093668,626.1430174008318,False,False,,,,,,,5,0,33,Llenando ventana
34,1,ACO,poblacional,624.7174256093668,626.4027604816199,False,False,,,,,,,6,0,34,Llenando ventana
35,1,ACO,poblacional,624.7174256093668,633.6024871757085,False,False,,,,,,,7,0,35,Llenando ventana
36,1,ACO,poblacional,624.7174256093668,633.448444464072,False,False,,,,,,,8,0,36,Llenando ventana
37,1,ACO,poblacional,617.8542030980509,617.8542030980509,False,False,,,,,,,0,0,37,Llenando ventana
38,1,ACO,poblacional,617.8542030980509,627.7717305493534,False,False,,,,,,,1,0,38,Llenando ventana
39,1,ACO,poblacional,617.8542030980509,636.2924731634371,False,False,,,,,,,2,0,39,Llenando ventana
40,1,ACO,poblacional,617.8542030980509,626.5575636625769,False,False,,,,,,,3,0,40,Llenando ventana
41,1,ACO,poblacional,617.8542030980509,623.7611959593636,False,False,,,,,,,4,0,41,Llenando ventana
42,1,ACO,poblacional,617.8542030980509,628.2357362484636,False,False,,,,,,,5,0,42,Llenando ventana
43,1,ACO,poblacional,617.8542030980509,638.8873993739531,False,False,,,,,,,6,0,43,Llenando ventana
44,1,ACO,poblacional,617.8542030980509,632.2120062913137,False,False,,,,,,,7,0,44,Llenando ventana
45,1,ACO,poblacional,617.8542030980509,626.990580234337,False,False,,,,,,,8,0,45,Llenando ventana
46,1,ACO,poblacional,617.8542030980509,621.5120407489775,False,False,,,,,,,9,0,46,Llenando ventana
47,1,ACO,poblacional,617.8542030980509,629.7233151023361,False,False,,,,,,,10,0,47,Llenando ventana
48,1,ACO,poblacional,617.8542030980509,628.5154719566824,False,False,,,,,,,11,0,48,Llenando ventana
49,1,ACO,poblacional,615.1935872948629,615.1935872948629,False,False,,,,,,,0,0,49,Llenando ventana
50,1,ACO,poblacional,613.5427194031988,613.5427194031988,False,False,,,,,,,0,0,50,Llenando ventana
51,1,ACO,poblacional,613.5427194031988,622.0376202747848,False,False,,,,,,,1,0,51,Llenando ventana
52,1,ACO,poblacional,613.5427194031988,619.4120835669478,False,False,,,,,,,2,0,52,Llenando ventana
53,1,ACO,poblacional,613.5427194031988,623.7853063142434,False,False,,,,,,,3,0,53,Llenando ventana
54,1,ACO,poblacional,613.5427194031988,619.855351453185,False,False,,,,,,,4,0,54,Llenando ventana
55,1,ACO,poblacional,613.5427194031988,618.5242709498468,False,False,,,,,,,5,0,55,Llenando ventana
56,1,ACO,poblacional,613.5427194031988,622.7432274132361,False,False,,,,,,,6,0,56,Llenando ventana
57,1,ACO,poblacional,613.5427194031988,614.5816160319446,False,False,,,,,,,7,0,57,Llenando ventana
58,1,ACO,poblacional,613.5427194031988,616.4270297687139,False,False,,,,,,,8,0,58,Llenando ventana
59,1,ACO,poblacional,613.5427194031988,616.9537137446224,False,False,,,,,,,9,0,59,Llenando ventana
60,1,ACO,poblacional,613.5427194031988,616.7125504555422,False,False,,,,,,,10,0,60,Llenando ventana
61,1,ACO,poblacional,613.5427194031988,615.8214856935095,False,False,,,,,,,11,0,61,Llenando ventana
62,1,ACO,poblacional,613.5427194031988,622.096706933405,False,False,,,,,,,12,0,62,Llenando ventana
63,1,ACO,poblacional,612.9741431659648,612.9741431659648,False,False,,,,,,,0,0,63,Llenando ventana
64,1,ACO,poblacional,612.9741431659648,615.4491190384572,False,False,,,,,,,1,0,64,Llenando ventana
65,1,ACO,poblacional,612.2960432869431,612.2960432869431,False,False,,,,,,,0,0,65,Llenando ventana
66,1,ACO,poblacional,612.2960432869431,616.5075168402874,False,False,,,,,,,1,0,66,Llenando ventana
67,1,ACO,poblacional,612.2960432869431,617.8039067515673,False,False,,,,,,,2,0,67,Llenando ventana
68,1,ACO,poblacional,612.2960432869431,615.9875833385245,False,False,,,,,,,3,0,68,Llenando ventana
69,1,ACO,poblacional,612.2960432869431,614.3464900612396,False,False,,,,,,,4,0,69,Llenando ventana
70,1,ACO,poblacional,612.2960432869431,612.4101302528468,False,False,,,,,,,5,0,70,Llenando ventana
71,1,ACO,poblacional,612.2960432869431,613.3989727414461,False,False,,,,,,,6,0,71,Llenando ventana
72,1,ACO,poblacional,612.2960432869431,613.1360423524314,False,False,,,,,,,7,0,72,Llenando ventana
73,1,ACO,poblacional,612.2960432869431,612.3389279604692,False,False,,,,,,,8,0,73,Llenando ventana
74,1,ACO,poblacional,612.2960432869431,615.2168680371053,False,False,,,,,,,9,0,74,Llenando ventana
75,1,ACO,poblacional,612.2960432869431,614.6531908975242,True,False,80.7277064515506,75.74409297442787,4.983613477122731,7.5,37.5,22.5,10,0,75,Explotacion activa
76,1,ACO,poblacional,612.2960432869431,615.2948698140397,True,False,80.74409297442844,75.74409297442787,5.000000000000568,7.5,37.5,22.5,11,0,76,Explotacion activa
77,1,ACO,poblacional,609.9893488664608,609.9893488664608,True,False,81.85443474124872,76.87082126412668,4.983613477122049,7.5,37.5,22.5,0,0,77,Explotacion activa
78,1,ACO,poblacional,609.9893488664608,614.2287226490827,True,False,81.87082126412656,76.87082126412668,4.999999999999886,7.5,37.5,22.5,1,0,78,Explotacion activa
79,1,ACO,poblacional,607.462669114025,607.462669114025,True,False,49.51779758690384,44.63250324704654,4.885294339857296,7.5,37.5,22.5,0,0,79,Explotacion activa
80,1,ACO,poblacional,607.462669114025,611.8407541456271,True,False,49.51779758690361,44.63250324704654,4.885294339857069,7.5,37.5,22.5,1,0,80,Explotacion activa
81,1,ACO,poblacional,607.462669114025,610.0931506342903,True,False,49.51779758690361,44.63250324704654,4.885294339857069,7.5,37.5,22.5,2,0,81,Explotacion activa
82,1,ACO,poblacional,607.462669114025,610.7568303896107,True,False,49.53418410978077,44.63250324704654,4.901680862734224,7.5,37.5,22.5,3,0,82,Explotacion activa
83,1,ACO,poblacional,607.462669114025,615.2382885455438,True,False,49.550570632658605,44.63250324704654,4.918067385612062,7.5,37.5,22.5,4,0,83,Explotacion activa
84,1,ACO,poblacional,607.462669114025,609.4611376165265,True,False,49.566957155536215,44.63250324704654,4.934453908489672,44.63250324704654,80.73262240841396,4.983613477122253,5,0,84,Explotacion activa
85,1,ACO,poblacional,607.462669114025,610.8227423418715,True,False,49.583343678413826,44.63250324704654,4.950840431367283,44.63250324704654,80.7277064515506,4.983613477122049,6,0,85,Explotacion activa
86,1,ACO,poblacional,607.462669114025,608.3086491827693,True,False,49.599730201291436,44.63250324704654,4.967226954244893,44.63250324704654,71.38931357647283,4.978697520258902,7,0,86,Explotacion activa
87,1,ACO,poblacional,607.462669114025,608.2549559848973,True,False,49.61611672416859,44.63250324704654,4.983613477122049,44.63250324704654,62.06075261512135,4.983613477122049,8,0,87,Explotacion activa
88,1,ACO,poblacional,607.462669114025,610.812445474696,True,False,49.63250324704643,44.63250324704654,4.999999999999886,44.63250324704654,52.74202356749684,4.983613477122117,9,0,88,Explotacion activa
89,1,ACO,poblacional,606.0410976552301,606.0410976552301,True,False,45.82048694603657,40.886033037546895,4.934453908489672,44.63250324704654,49.62922594247086,4.983613477122049,0,0,89,Explotacion activa
90,1,ACO,poblacional,606.0410976552301,606.4370970059254,True,False,45.836873468914405,40.886033037546895,4.95084043136751,44.63250324704654,49.62430998560751,4.983613477122049,1,0,90,Explotacion activa
91,1,ACO,poblacional,606.0410976552301,609.78286995616,True,False,45.85325999179179,40.886033037546895,4.967226954244893,44.63250324704654,49.61939402874416,4.983613477122049,2,0,91,Explotacion activa
92,1,ACO,poblacional,606.0410976552301,611.2193735920572,True,False,45.86964651466894,40.886033037546895,4.983613477122049,44.63250324704654,49.614478071880875,4.983613477122049,3,0,92,Explotacion activa
93,1,ACO,poblacional,606.0410976552301,610.248850460896,True,False,45.88603303754678,40.886033037546895,4.999999999999886,44.63250324704654,49.60956211501773,4.983613477122049,4,0,93,Explotacion activa
94,1,ACO,poblacional,606.0410976552301,607.2663312963402,True,False,38.03035864604885,32.879518214681525,5.150840431367328,43.50856218419665,49.60464615815458,4.983613477122253,5,0,94,Explotacion activa
95,1,ACO,poblacional,606.0410976552301,606.1918620778044,True,False,38.04674516892669,32.879518214681525,5.167226954245166,40.886033037546895,49.599730201291436,4.983613477122731,6,0,95,Explotacion activa
96,1,ACO,poblacional,606.0410976552301,608.1239310985748,True,False,38.063131691804074,32.879518214681525,5.183613477122549,40.886033037546895,49.59481424442815,4.99508404313674,7,0,96,Explotacion activa
97,1,ACO,poblacional,606.0410976552301,610.9381258307374,True,False,38.07951821468123,32.879518214681525,5.199999999999704,40.886033037546895,49.58989828756487,4.999999999999886,8,0,97,Explotacion activa
98,1,ACO,poblacional,606.0410976552301,607.8591537421681,True,False,34.92045703091708,29.53684355379471,5.383613477122367,40.886033037546895,49.584982330701585,4.999999999999886,9,0,98,Explotacion activa
99,1,ACO,poblacional,606.0410976552301,607.7214387001916,True,False,34.93684355379469,29.53684355379471,5.399999999999977,40.886033037546895,49.58006637383831,4.999999999999886,10,0,99,Explotacion activa
100,1,ACO,poblacional,606.0410976552301,610.6700566975422,True,False,34.9532300766723,29.353230076672276,5.600000000000023,40.886033037546895,49.57515041697502,5.000000000000227,11,0,100,Explotacion activa
101,1,ACO,poblacional,605.0110157301264,605.0110157301264,True,False,35.78331200177604,30.383312001776062,5.399999999999977,39.28473007297382,49.570234460111735,5.03016808627392,0,0,101,Explotacion activa
102,1,ACO,poblacional,605.0110157301264,606.3903363969325,True,False,25.30640987924005,19.706409879240482,5.599999999999568,33.68016969696806,49.565318503248456,5.135756388230652,1,0,102,Explotacion activa
103,1,ACO,poblacional,604.5514936746521,604.5514936746521,True,False,25.565931934714285,20.165931934714763,5.3999999999995225,32.879518214681525,49.56040254638517,5.160672345094031,0,0,103,Explotacion activa
104,1,ACO,poblacional,604.5514936746521,608.2973613809336,True,False,25.565931934714285,20.165931934714763,5.3999999999995225,32.879518214681525,49.55548658952189,5.172142911108381,1,0,104,Explotacion activa
105,1,ACO,poblacional,604.5514936746521,608.1217626115554,True,False,25.565931934714285,20.165931934714763,5.3999999999995225,32.879518214681525,49.550570632658605,5.183613477122549,2,0,105,Explotacion activa
106,1,ACO,poblacional,604.5514936746521,608.3280054206749,True,False,25.565931934714285,20.165931934714763,5.3999999999995225,32.879518214681525,49.545654675795255,5.195084043136558,3,0,106,Explotacion activa
107,1,ACO,poblacional,604.5514936746521,606.4848535103442,True,False,25.565931934714513,20.165931934714763,5.39999999999975,31.88103572951934,49.540738718931905,5.273445390848769,4,0,107,Explotacion activa
108,1,ACO,poblacional,604.5514936746521,608.3786050818185,True,False,25.565931934714513,20.165931934714763,5.39999999999975,30.298665156977926,49.53582276206855,5.385252129410082,5,0,108,Explotacion activa
109,1,ACO,poblacional,604.5514936746521,607.5820017314378,True,False,25.56593193471474,20.165931934714763,5.399999999999977,29.70613724339098,49.53090680520538,5.396722695424091,6,0,109,Explotacion activa
110,1,ACO,poblacional,604.5514936746521,607.1845356606492,True,False,25.565931934714968,20.165931934714763,5.400000000000205,29.53684355379471,49.5259908483423,5.3999999999995225,7,0,110,Explotacion activa
111,1,ACO,poblacional,604.5514936746521,606.3494701057806,True,False,18.90270942339839,13.302709423398824,5.599999999999568,29.500120858370224,49.52107489147922,5.3999999999995225,8,0,111,Explotacion activa
112,1,ACO,poblacional,604.5514936746521,606.2634784833997,True,False,18.90270942339839,13.302709423398824,5.599999999999568,29.37159142438452,49.51779758690382,5.3999999999995225,9,0,112,Explotacion activa
