run,Hybrid DDTW,PSO,GWO,WOA,EHO,ACO
1,611.8691847235897,605.6647092289921,610.4195585966435,643.3430115458955,623.8579103538245,600.0979699161064
2,600.0187550931679,601.6614926391144,604.0478806459158,624.75670969052,621.54005031499,600.0097124304349
3,602.3145998917103,600.1439315854434,600.2115993974055,633.7700948866164,602.3145998917103,600.5085306234155
4,619.3802042924892,613.2337227068754,600.7889691064589,640.9453652166151,603.4811079220021,600.000142884077
5,627.6679544375305,604.6641343787206,603.0402846796943,651.9912946597799,627.667691154063,600.2110232867002
6,600.0708621878642,600.0368221443807,600.3693977663647,667.4337779043694,601.7389240690096,600.00000057478
7,600.1367416209581,602.170346677169,601.0535062395134,622.1488894115455,602.2276735202926,600.0005302605344
8,600.095096328062,609.9785062888799,600.6323409950545,640.0171306205615,609.0554001866635,600.3549489905383
9,600.2423828870739,600.2411456759552,600.6000204025519,639.7909863755518,610.1358211476505,600.000425486525
10,600.0600795806232,608.92728685345,600.6722833899086,633.909840388717,616.9021746999911,600.0001484746291
11,600.3962887797693,610.7553744424927,607.1178751557935,629.6631389982,616.3490001486846,600.0692611962578
12,605.4123829359331,605.411111551559,604.3918717412814,617.336358250658,614.0375013673003,600.0508929604927
13,600.3956842766866,602.411709025685,602.0753387957304,631.605265289009,615.4031610132954,600.0022880705702
14,600.0210703494253,601.7544378559453,601.0901656190626,644.6027206358168,617.019003626966,600.0005220534192
15,604.0335402948425,610.6345679363874,602.153961749733,647.1674975052757,615.4928815131153,600.0014107259644
16,600.0175849639187,636.0294168207662,600.27019365378,638.7084394614402,612.549596811855,600.0000466324551
17,601.0731377133008,601.0708560235672,611.0158145657107,677.6517496134039,623.2205121064313,600.013053437628
18,604.676075095895,600.8963883802367,600.0343347648585,625.0519920165007,605.1015956237682,600.0230468081755
19,603.418816711805,602.1933575080895,601.6750069374317,647.8495993475269,604.6192909062271,600.0012611615124
20,600.3834909897314,602.824389091319,600.434310586227,622.2613777337052,613.2205232015081,600.210928748024
21,601.080269737524,604.1287504349443,600.2398474672173,652.9061465476157,604.3448489469738,600.0021405324893
22,606.8812724455818,603.9108223572003,610.9141516154405,636.2068573555415,609.8024938506469,600.0000291337059
23,603.9868384450265,600.2255077071002,603.9805082906809,659.2050216105939,613.0427996283576,600.0000171018047
24,600.2830548512931,602.9009785365085,605.5868357182475,641.7259763676157,606.5921688826716,600.2096947172695
25,604.9079765835733,606.1076948506642,604.9335747626768,646.1568587582364,613.2084351642836,605.1542098589188
26,600.3152289811995,611.0318474214761,602.517544363088,647.7260414988059,603.4244767881147,600.0639020991101
27,602.0498715462517,602.5571625265601,608.8078212891628,642.3019031958828,601.395116994194,600.0325801979637
28,600.1463177396587,600.8664004087761,605.3679752789437,659.3971280149746,605.402549437153,600.0000309058319
29,605.4873205790242,617.8247801019771,600.7767234927574,637.8494065491309,609.7811459584411,600.0875247088745
30,603.2304126013881,605.5685614526728,611.5712869364083,636.3335278736702,602.8464189238413,600.0000136690396
31,604.2679931822515,628.1278588833226,602.3063348950477,667.2980953672833,607.6285089520333,600.2986775970252
