run,Hybrid DDTW,PSO,GWO,WOA,EHO,ACO
1,812.0,819.0,811.000005213055,836.3633063063804,814.0,816.4686603135326
2,811.0,815.0,811.2192440817545,837.7335458023938,814.0,815.2286315758163
3,820.0,819.0,811.5393652003635,850.5978004971998,820.0,817.8831147485778
4,820.0,819.0,813.0000110454179,878.4775847724427,846.25,818.5989404770281
5,818.0,817.0,810.4313306973921,859.0471598498877,818.0,812.9569329377142
6,812.0,815.0,814.0272838530901,810.0,818.0,811.9118704442351
7,808.0000000000015,833.0,830.0000029696248,827.0,813.0,820.9873243298237
8,815.0,822.0,812.0000452654491,830.8174129454371,837.0,819.5186514618841
9,814.0,809.0,810.6635732854321,843.0291142598114,817.0,813.7289600856873
10,814.0,807.0,824.0000000403652,854.2500000000001,823.0,814.1360376351387
11,818.0,824.0,808.6386962629299,829.0,831.0,818.4113831053115
12,817.0,817.0,810.0000092912786,850.25,832.0,822.968106135127
13,816.0,807.0,816.0,838.0,819.0,822.0
14,811.0,842.0,815.0000000061555,868.25,850.0,820.4741357756218
15,811.0,815.0,813.7345063189458,843.6142209889308,837.0,822.8248878984878
16,820.0,816.0,808.0000074167818,816.93648480322,822.0,814.6313226995834
17,827.0,827.0,818.5525444569037,849.0,840.2324311961726,820.1324712904722
18,808.0,815.0,812.0000000025741,849.25,830.0,815.2647069107487
19,820.0,823.0,811.0000008138007,810.2858284609031,821.0,823.3890706056603
20,819.0000000000001,815.0,809.0000238573973,876.005508715903,827.0,816.2941286344771
21,819.0,812.0,812.0000000014585,845.1495977783569,832.0,819.7312477747074
22,818.0,817.0,814.9663962101746,851.2854776949042,816.0,820.1459394724809
23,816.0,813.0,812.1249995299715,833.9464225862084,830.0,819.0
24,823.0,822.0,817.000003034333,834.2325766321957,820.0,824.5282803630154
25,811.0,835.0,809.0000072531269,834.6295994922465,811.0,812.2881717940394
26,818.0,822.0,814.2083840006337,838.7879766781602,818.0,819.0233999267409
27,814.0,816.0,824.0000000572084,858.0,813.0,819.0
28,814.0,824.0,818.2496409771215,859.0,819.0,820.762818758497
29,813.0,814.0,807.0000067338896,850.25,813.0,820.5369991251818
30,806.0000000000006,813.0,812.0839012543875,880.0,830.0,817.8052204315019
31,825.0,822.0,815.0000000001635,864.6501094829121,835.0,815.4083746987459
