run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,812.0,6,1.5,Peor que el óptimo
2,811.0,8,1.375,Peor que el óptimo
3,820.0,9,2.5,Peor que el óptimo
4,820.0,6,2.5,Peor que el óptimo
5,818.0,9,2.25,Peor que el óptimo
6,812.0,8,1.5,Peor que el óptimo
7,808.0000000000015,8,1.0000000000001847,Peor que el óptimo
8,815.0,9,1.875,Peor que el óptimo
9,814.0,8,1.75,Peor que el óptimo
10,814.0,7,1.75,Peor que el óptimo
11,818.0,8,2.25,Peor que el óptimo
12,817.0,8,2.125,Peor que el óptimo
13,816.0,6,2.0,Peor que el óptimo
14,811.0,8,1.375,Peor que el óptimo
15,811.0,6,1.375,Peor que el óptimo
16,820.0,7,2.5,Peor que el óptimo
17,827.0,8,3.375,Peor que el óptimo
18,808.0,7,1.0,Peor que el óptimo
19,820.0,8,2.5,Peor que el óptimo
20,819.0000000000001,6,2.375000000000014,Peor que el óptimo
21,819.0,8,2.375,Peor que el óptimo
22,818.0,7,2.25,Peor que el óptimo
23,816.0,10,2.0,Peor que el óptimo
24,823.0,8,2.875,Peor que el óptimo
25,811.0,8,1.375,Peor que el óptimo
26,818.0,10,2.25,Peor que el óptimo
27,814.0,8,1.75,Peor que el óptimo
28,814.0,7,1.75,Peor que el óptimo
29,813.0,9,1.625,Peor que el óptimo
30,806.0000000000006,6,0.750000000000071,Peor que el óptimo
31,825.0,10,3.125,Peor que el óptimo
