iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,EHO,poblacional,3831.40800280008,3831.40800280008,False,False,,,,,,,0,0,1,Llenando ventana
2,1,EHO,poblacional,2992.752550093636,2992.752550093636,False,False,,,,,,,0,0,2,Llenando ventana
3,1,EHO,poblacional,2233.051471202276,2233.051471202276,False,False,,,,,,,0,0,3,Llenando ventana
4,1,EHO,poblacional,2051.70657130637,2051.70657130637,False,False,,,,,,,0,0,4,Llenando ventana
5,1,EHO,poblacional,1896.0441610050652,1896.0441610050652,False,False,,,,,,,0,0,5,Llenando ventana
6,1,EHO,poblacional,1639.5113968286669,1639.5113968286669,False,False,,,,,,,0,0,6,Llenando ventana
7,1,EHO,poblacional,1256.0242870838279,1256.0242870838279,False,False,,,,,,,0,0,7,Llenando ventana
8,1,EHO,poblacional,1256.0242870838279,1256.0242870838279,False,False,,,,,,,1,0,8,Llenando ventana
9,1,EHO,poblacional,1256.0242870838279,1256.0242870838279,False,False,,,,,,,2,0,9,Llenando ventana
10,1,EHO,poblacional,1188.6970180467365,1188.6970180467365,False,False,,,,,,,0,0,10,Llenando ventana
11,1,EHO,poblacional,1121.878584554394,1121.878584554394,False,False,,,,,,,0,0,11,Llenando ventana
12,1,EHO,poblacional,1121.878584554394,1121.878584554394,False,False,,,,,,,1,0,12,Llenando ventana
13,1,EHO,poblacional,1047.4380976894504,1047.4380976894504,False,False,,,,,,,0,0,13,Llenando ventana
14,1,EHO,poblacional,1026.9811453176605,1026.9811453176605,False,False,,,,,,,0,0,14,Llenando ventana
15,1,EHO,poblacional,928.5592261211057,928.5592261211057,False,False,,,,,,,0,0,15,Llenando ventana
16,1,EHO,poblacional,928.5592261211057,928.5592261211057,False,False,,,,,,,1,0,16,Llenando ventana
17,1,EHO,poblacional,926.0548326054594,926.0548326054594,False,False,,,,,,,0,0,17,Llenando ventana
18,1,EHO,poblacional,926.0548326054594,926.0548326054594,False,False,,,,,,,1,0,18,Llenando ventana
19,1,EHO,poblacional,926.0548326054594,926.0548326054594,False,False,,,,,,,2,0,19,Llenando ventana
20,1,EHO,poblacional,912.4389605786038,912.4389605786038,False,False,,,,,,,0,0,20,Llenando ventana
21,1,EHO,poblacional,910.5952837974869,910.5952837974869,False,False,,,,,,,0,0,21,Llenando ventana
22,1,EHO,poblacional,908.9023550270033,908.9023550270033,False,False,,,,,,,0,0,22,Llenando ventana
23,1,EHO,poblacional,908.9023550270033,908.9023550270033,False,False,,,,,,,1,0,23,Llenando ventana
24,1,EHO,poblacional,908.9023550270033,908.9023550270033,False,False,,,,,,,2,0,24,Llenando ventana
25,1,EHO,poblacional,907.8571689933477,907.8571689933477,False,False,,,,,,,0,0,25,Llenando ventana
26,1,EHO,poblacional,904.787593756495,904.787593756495,False,False,,,,,,,0,0,26,Llenando ventana
27,1,EHO,poblacional,904.787593756495,904.787593756495,False,False,,,,,,,1,0,27,Llenando ventana
28,1,EHO,poblacional,904.6021318053132,904.6021318053132,False,False,,,,,,,0,0,28,Llenando ventana
29,1,EHO,poblacional,904.4638703447708,904.4638703447708,False,False,,,,,,,0,0,29,Llenando ventana
30,1,EHO,poblacional,904.4493388540611,904.4493388540611,False,False,,,,,,,0,0,30,Llenando ventana
31,1,EHO,poblacional,904.3124305231355,904.3124305231355,False,False,,,,,,,0,0,31,Llenando ventana
32,1,EHO,poblacional,903.4982315273435,903.4982315273435,False,False,,,,,,,0,0,32,Llenando ventana
33,1,EHO,poblacional,903.4926929460851,903.4926929460851,False,False,,,,,,,0,0,33,Llenando ventana
34,1,EHO,poblacional,903.3112946264355,903.3112946264355,False,False,,,,,,,0,0,34,Llenando ventana
35,1,EHO,poblacional,903.3112946264355,903.3112946264355,False,False,,,,,,,1,0,35,Llenando ventana
36,1,EHO,poblacional,903.2947293535125,903.2947293535125,False,False,,,,,,,0,0,36,Llenando ventana
37,1,EHO,poblacional,903.1457582831794,903.1457582831794,False,False,,,,,,,0,0,37,Llenando ventana
38,1,EHO,poblacional,903.1457582831794,903.1457582831794,False,False,,,,,,,1,0,38,Llenando ventana
39,1,EHO,poblacional,903.1397870177012,903.1397870177012,False,False,,,,,,,0,0,39,Llenando ventana
40,1,EHO,poblacional,903.1397870177012,903.1397870177012,False,False,,,,,,,1,0,40,Llenando ventana
41,1,EHO,poblacional,903.108530518108,903.108530518108,False,False,,,,,,,0,0,41,Llenando ventana
42,1,EHO,poblacional,903.0389616587953,903.0389616587953,False,False,,,,,,,0,0,42,Llenando ventana
43,1,EHO,poblacional,903.0207255803904,903.0207255803904,False,False,,,,,,,0,0,43,Llenando ventana
44,1,EHO,poblacional,902.9945849509384,902.9945849509384,False,False,,,,,,,0,0,44,Llenando ventana
45,1,EHO,poblacional,902.9855749859328,902.9855749859328,False,False,,,,,,,0,0,45,Llenando ventana
46,1,EHO,poblacional,902.9700465999854,902.9700465999854,False,False,,,,,,,0,0,46,Llenando ventana
47,1,EHO,poblacional,902.9429774811284,902.9429774811284,False,False,,,,,,,0,0,47,Llenando ventana
48,1,EHO,poblacional,902.9429774811284,902.9429774811284,False,False,,,,,,,1,0,48,Llenando ventana
49,1,EHO,poblacional,902.9429774811284,902.9429774811284,False,False,,,,,,,2,0,49,Llenando ventana
50,1,EHO,poblacional,902.9411688727319,902.9411688727319,False,False,,,,,,,0,0,50,Llenando ventana
51,1,EHO,poblacional,902.9317300564953,902.9317300564953,False,False,,,,,,,0,0,51,Llenando ventana
52,1,EHO,poblacional,902.9236463955694,902.9236463955694,False,False,,,,,,,0,0,52,Llenando ventana
53,1,EHO,poblacional,902.9228911778062,902.9228911778062,False,False,,,,,,,0,0,53,Llenando ventana
54,1,EHO,poblacional,902.9138760145679,902.9138760145679,False,False,,,,,,,0,0,54,Llenando ventana
55,1,EHO,poblacional,902.8913959252942,902.8913959252942,False,False,,,,,,,0,0,55,Llenando ventana
56,1,EHO,poblacional,902.8913959252942,902.8913959252942,False,False,,,,,,,1,0,56,Llenando ventana
57,1,EHO,poblacional,902.8745686456516,902.8745686456516,False,False,,,,,,,0,0,57,Llenando ventana
58,1,EHO,poblacional,902.8718000700584,902.8718000700584,False,False,,,,,,,0,0,58,Llenando ventana
59,1,EHO,poblacional,902.8540727415494,902.8540727415494,False,False,,,,,,,0,0,59,Llenando ventana
60,1,EHO,poblacional,902.834674481772,902.834674481772,False,False,,,,,,,0,0,60,Llenando ventana
61,1,EHO,poblacional,902.8312340717681,902.8312340717681,False,False,,,,,,,0,0,61,Llenando ventana
62,1,EHO,poblacional,902.8312340717681,902.8312340717681,False,False,,,,,,,1,0,62,Llenando ventana
63,1,EHO,poblacional,902.8293781227609,902.8293781227609,False,False,,,,,,,0,0,63,Llenando ventana
64,1,EHO,poblacional,902.8291001530949,902.8291001530949,False,False,,,,,,,0,0,64,Llenando ventana
65,1,EHO,poblacional,902.8272249365658,902.8272249365658,False,False,,,,,,,0,0,65,Llenando ventana
66,1,EHO,poblacional,902.8272249365658,902.8272249365658,False,False,,,,,,,1,0,66,Llenando ventana
67,1,EHO,poblacional,902.8264210006583,902.8264210006583,False,False,,,,,,,0,0,67,Llenando ventana
68,1,EHO,poblacional,902.8261954958804,902.8261954958804,False,False,,,,,,,0,0,68,Llenando ventana
69,1,EHO,poblacional,902.8232460801577,902.8232460801577,False,False,,,,,,,0,0,69,Llenando ventana
70,1,EHO,poblacional,902.8223173577435,902.8223173577435,False,False,,,,,,,0,0,70,Llenando ventana
71,1,EHO,poblacional,902.8219325115549,902.8219325115549,False,False,,,,,,,0,0,71,Llenando ventana
72,1,EHO,poblacional,902.8215917874189,902.8215917874189,False,False,,,,,,,0,0,72,Llenando ventana
73,1,EHO,poblacional,902.8215917874189,902.8215917874189,False,False,,,,,,,1,0,73,Llenando ventana
74,1,EHO,poblacional,902.8211699107743,902.8211699107743,False,False,,,,,,,0,0,74,Llenando ventana
75,1,EHO,poblacional,902.8201300998269,902.8201300998269,True,False,2930.663345643765,2928.587872700255,2.0754729435097943,7.5,37.5,22.5,0,0,75,Explotacion activa
76,1,EHO,poblacional,902.8192523535008,902.8192523535008,True,False,2092.2070151909957,2089.9332977401373,2.273717450858385,7.5,37.5,22.5,0,0,76,Explotacion activa
77,1,EHO,poblacional,902.8192523535008,902.8192523535008,True,False,1332.7059362996354,1330.2322188487753,2.473717450860022,7.5,37.5,22.5,1,0,77,Explotacion activa
78,1,EHO,poblacional,902.819237011733,902.819237011733,True,False,1151.5610210619602,1148.8873342946372,2.6736867673230336,7.5,37.5,22.5,0,0,78,Explotacion activa
79,1,EHO,poblacional,902.819237011733,902.819237011733,True,False,996.0986107606572,993.2249239933323,2.873686767324898,7.5,37.5,22.5,1,0,79,Explotacion activa
80,1,EHO,poblacional,902.8187430349967,902.8187430349967,True,False,739.7566460295851,736.6926537936702,3.0639922359149523,7.5,37.5,22.5,0,0,80,Explotacion activa
81,1,EHO,poblacional,902.8184163769591,902.8184163769591,True,False,356.33877848602117,353.2058707068687,3.132907779152447,7.5,37.5,22.5,0,0,81,Explotacion activa
82,1,EHO,poblacional,902.8184163769591,902.8184163769591,True,False,356.4083473453338,353.2058707068687,3.2024766384651002,7.5,37.5,22.5,1,0,82,Explotacion activa
83,1,EHO,poblacional,902.8181832280949,902.8181832280949,True,False,356.4776830557822,353.206103855733,3.2715792000492456,7.5,37.5,22.5,0,0,83,Explotacion activa
84,1,EHO,poblacional,902.8181832280949,902.8181832280949,True,False,289.35041401869023,285.8788348186416,3.471579200048609,353.2060339110737,1205.9044956332627,3.1537784369462427,1,0,84,Explotacion activa
85,1,EHO,poblacional,902.8180868714318,902.8180868714318,True,False,222.66231531037215,219.06049768296214,3.601817627410014,353.2058707068687,1151.5610210619602,3.2024766384651002,0,0,85,Explotacion activa
86,1,EHO,poblacional,902.817946268275,902.817946268275,True,False,222.73174356652805,219.0606382861189,3.671105280409165,353.2058707068687,1104.9222979715692,3.250848431574002,0,0,86,Explotacion activa
87,1,EHO,poblacional,902.8177988171203,902.8177988171203,True,False,148.4911092504292,144.62029887233007,3.8708103780991223,326.27505635157786,1058.283574881178,3.351579200048991,0,0,87,Explotacion activa
88,1,EHO,poblacional,902.8176149773795,902.8176149773795,True,False,128.23397303889965,124.163530340281,4.070442698618649,279.19701516538936,1011.6448517907874,3.4846030427847494,0,0,88,Explotacion activa
89,1,EHO,poblacional,902.8176149773795,902.8176149773795,True,False,29.93377840509379,25.741611143726118,4.192167261367672,232.42427759262344,944.8302178144424,3.575769941937733,1,0,89,Explotacion activa
90,1,EHO,poblacional,902.8174415804034,902.8174415804034,True,False,30.00317386743029,25.74178454070227,4.261389326728022,219.0605679845405,867.9276283951211,3.6364614539095896,0,0,90,Explotacion activa
91,1,EHO,poblacional,902.8173817052298,902.8173817052298,True,False,27.568289335923055,23.237450900229646,4.330838435693408,204.1724579208357,791.0250389757994,3.7110462999471565,0,0,91,Explotacion activa
92,1,EHO,poblacional,902.8173250165648,902.8173250165648,True,False,27.63780150657078,23.237507588894573,4.400293917676208,152.06431875339325,701.4287497322043,3.850839868330126,0,0,92,Explotacion activa
93,1,EHO,poblacional,902.8173198528503,902.8173198528503,True,False,27.707365202168944,23.237512752609064,4.46985244955988,132.3462377531006,586.4450608400639,3.990589770410838,0,0,93,Explotacion activa
94,1,EHO,poblacional,902.8171749426349,902.8171749426349,True,False,14.29134826509744,9.621785635968877,4.6695626291285635,94.6370066004074,471.46137194792266,4.106960067443356,0,0,94,Explotacion activa
95,1,EHO,poblacional,902.8171644334436,902.8171644334436,True,False,12.63895439685166,7.7781193640432775,4.860835032808382,25.74178454070227,356.4776830557822,4.192167261367672,0,0,95,Explotacion activa
96,1,EHO,poblacional,902.8170925845436,902.8170925845436,True,False,11.015522636780702,6.08526244245968,4.930260194321022,25.741663162818963,356.4568823426477,4.2406227071199165,0,0,96,Explotacion activa
97,1,EHO,poblacional,902.8170925845436,902.8170925845436,True,False,11.085091496093355,6.08526244245968,4.999829053633675,24.739971787279295,356.4360816295132,4.289168970314177,1,0,97,Explotacion activa
98,1,EHO,poblacional,902.8170090687187,902.8170090687187,True,False,11.154576839581068,6.08534595828462,5.069230881296448,23.237512236237613,356.41528091637866,4.337783983891688,0,0,98,Explotacion activa
99,1,EHO,poblacional,902.8169626593723,902.8169626593723,True,False,10.309344396578922,5.040206333975448,5.269138062603474,23.23750862163747,356.3944335734713,4.386402821279648,0,0,99,Explotacion activa
100,1,EHO,poblacional,902.8168924445423,902.8168924445423,True,False,7.370130085583355,1.9707013119526664,5.399428773630689,23.23747924456211,356.3735629156775,4.435073183618044,0,0,100,Explotacion activa
101,1,EHO,poblacional,902.8167810600081,902.8167810600081,True,False,7.439587560361815,1.9708126964868597,5.468774863874955,20.51431784737749,356.3526922578837,4.509794485473617,0,0,101,Explotacion activa
102,1,EHO,poblacional,902.8166931527718,902.8166931527718,True,False,7.454037701944003,1.7854386525414156,5.668599049402587,10.983352162394949,349.639942039288,4.649591611171695,0,0,102,Explotacion activa
103,1,EHO,poblacional,902.8166062048052,902.8166062048052,True,False,7.4751834155416645,1.647264139965614,5.8279192755760505,8.515585872813517,329.54343269908867,4.784326071336454,0,0,103,Explotacion activa
104,1,EHO,poblacional,902.8165908141253,902.8165908141253,True,False,7.530205393464712,1.632748039935791,5.897457353528921,7.2702873423156795,309.4469233588893,4.881662581262174,0,0,104,Explotacion activa
105,1,EHO,poblacional,902.8165492438359,902.8165492438359,True,False,7.593255492249909,1.4958812792996241,6.097374212950285,6.08534595828462,289.35041401869023,4.930260194321022,0,0,105,Explotacion activa
106,1,EHO,poblacional,902.8165492438359,902.8165492438359,True,False,6.920564799661861,0.6816822835075982,6.238882516154263,6.085287497207162,269.3648128830415,4.9789583958398795,1,0,106,Explotacion activa
107,1,EHO,poblacional,902.8165267708054,902.8165267708054,True,False,6.9426636662993815,0.6761661752797181,6.266497491019663,6.08526244245968,249.37921174739284,5.027589784698784,0,0,107,Explotacion activa
108,1,EHO,poblacional,902.8164281494763,902.8164281494763,True,False,6.823679724507315,0.494866476959146,6.328813247548169,5.980756831611257,229.39361061174412,5.089221599427151,0,0,108,Explotacion activa
109,1,EHO,poblacional,902.8164281494763,902.8164281494763,True,False,6.893248583819968,0.494866476959146,6.398382106860822,5.249217555672294,222.71785791529686,5.229156626342069,1,0,109,Explotacion activa
110,1,EHO,poblacional,902.8163808703495,902.8163808703495,True,False,6.946204891082743,0.4783484831630176,6.467856407919726,3.5055095152311537,222.6970294384501,5.3342834181170815,0,0,110,Explotacion activa
111,1,EHO,poblacional,902.8163494195375,902.8163494195375,True,False,6.866771229250276,0.3294088636419019,6.537362365608374,1.970790419580021,222.67620096160334,5.413297991679542,0,0,111,Explotacion activa
112,1,EHO,poblacional,902.8163356467013,902.8163356467013,True,False,6.936326315726774,0.32942263647805703,6.606903679248717,1.9707124504060858,215.24519470437775,5.461840254850529,0,0,112,Explotacion activa
113,1,EHO,poblacional,902.8163356467013,902.8163356467013,True,False,6.999923909561289,0.32345137099991916,6.67647253856137,1.859543716305916,192.9938328863948,5.588669375191534,1,0,113,Explotacion activa
114,1,EHO,poblacional,902.8163122004509,902.8163122004509,True,False,7.06946932262349,0.3234748172503714,6.745994505373119,1.7439862987686752,170.74247106841187,5.716395117254626,0,0,114,Explotacion activa
