run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,900.0895282508661,4,0.009947583429569326,Peor que el óptimo
2,900.0000366794577,4,4.075495300841996e-06,Peor que el óptimo
3,900.0000000000001,5,1.2631870857957336e-14,Óptimo alcanzado
4,900.1790565008888,5,0.0198951667654228,Peor que el óptimo
5,920.1129721778807,4,2.234774686431188,Peor que el óptimo
6,900.0000000000002,6,2.5263741715914672e-14,Óptimo alcanzado
7,900.0000000000023,4,2.5263741715914674e-13,Óptimo alcanzado
8,900.0000000000304,7,3.372709519074609e-12,Óptimo alcanzado
9,900.179056500833,8,0.019895166759220553,Peor que el óptimo
10,900.000000000001,8,1.1368683772161603e-13,Óptimo alcanzado
11,900.0000000000002,6,2.5263741715914672e-14,Óptimo alcanzado
12,900.0000000000001,8,1.2631870857957336e-14,Óptimo alcanzado
13,900.0000000000005,4,5.0527483431829344e-14,Óptimo alcanzado
14,900.0000000000001,4,1.2631870857957336e-14,Óptimo alcanzado
15,924.7449107437017,4,2.749434527077963,Peor que el óptimo
16,900.0895282504165,6,0.009947583379610277,Peor que el óptimo
17,900.0002561897088,4,2.846552320079354e-05,Peor que el óptimo
18,900.4543240185911,8,0.05048044651012636,Peor que el óptimo
19,900.0000000000001,7,1.2631870857957336e-14,Óptimo alcanzado
20,900.0000000000002,6,2.5263741715914672e-14,Óptimo alcanzado
21,900.0000000000001,6,1.2631870857957336e-14,Óptimo alcanzado
22,900.000030630406,4,3.4033784383306434e-06,Peor que el óptimo
23,900.0000016247458,6,1.8052730865747435e-07,Peor que el óptimo
24,900.0000000000002,6,2.5263741715914672e-14,Óptimo alcanzado
25,900.0895282504167,5,0.00994758337963554,Peor que el óptimo
26,900.0000679338029,4,7.5482003265076655e-06,Peor que el óptimo
27,913.1902861927284,4,1.4655873547476024,Peor que el óptimo
28,900.0004476922174,4,4.974357971655586e-05,Peor que el óptimo
29,900.4543240248563,4,0.050480447206256135,Peor que el óptimo
30,900.0069959340248,4,0.0007773260027508715,Peor que el óptimo
31,901.5420285566136,4,0.17133650629039543,Peor que el óptimo
