run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,1934.6105396452529,4,7.4783633136251595,Peor que el óptimo
2,1830.3996353076616,5,1.6888686282034213,Peor que el óptimo
3,3875.014310566438,5,115.27857280924654,Peor que el óptimo
4,2078.0965666590973,4,15.44980925883874,Peor que el óptimo
5,2400.0649100076216,4,33.33693944486787,Peor que el óptimo
6,4172.705651759669,5,131.81698065331497,Peor que el óptimo
7,2788.9243014671843,4,54.94023897039913,Peor que el óptimo
8,1878.7058068535773,6,4.37254482519874,Peor que el óptimo
9,7971.84425746335,4,342.8802365257416,Peor que el óptimo
10,1872.2512186867991,4,4.013956593711062,Peor que el óptimo
11,2331.3754853312103,6,29.520860296178345,Peor que el óptimo
12,2122.775237266421,6,17.93195762591227,Peor que el óptimo
13,4251.303558762655,4,136.18353104236968,Peor que el óptimo
14,2085.107119221157,5,15.83928440117539,Peor que el óptimo
15,2072.064938297292,4,15.114718794293998,Peor que el óptimo
16,3955.5801076515945,4,119.75445042508858,Peor que el óptimo
17,2807.060902416191,5,55.9478279120106,Peor que el óptimo
18,7512.226684074165,5,317.3459268930091,Peor que el óptimo
19,7353.662357143205,5,308.53679761906693,Peor que el óptimo
20,8017.950243711502,6,345.4416802061945,Peor que el óptimo
21,2527.1833143762774,6,40.399073020904304,Peor que el óptimo
22,3914.9996863561373,5,117.49998257534097,Peor que el óptimo
23,5124.478863109378,5,184.69327017274324,Peor que el óptimo
24,4256.946704057369,6,136.49703911429827,Peor que el óptimo
25,2297.6281008303927,4,27.64600560168848,Peor que el óptimo
26,2738.486062899289,6,52.13811460551607,Peor que el óptimo
27,1858.9785376066345,4,3.2765854225908067,Peor que el óptimo
28,5911.054587283699,4,228.39192151576106,Peor que el óptimo
29,2634.878880128144,4,46.382160007119104,Peor que el óptimo
30,3050.7907139870204,5,69.48837299927891,Peor que el óptimo
31,1881.272470995813,4,4.515137277545161,Peor que el óptimo
