iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,EHO,poblacional,4174.600290070401,4174.600290070401,False,False,,,,,,,0,0,1,Llenando ventana
2,1,EHO,poblacional,3111.8586442724677,3111.8586442724677,False,False,,,,,,,0,0,2,Llenando ventana
3,1,EHO,poblacional,2801.3068147881677,2801.3068147881677,False,False,,,,,,,0,0,3,Llenando ventana
4,1,EHO,poblacional,2559.823556547612,2559.823556547612,False,False,,,,,,,0,0,4,Llenando ventana
5,1,EHO,poblacional,2559.823556547612,2559.823556547612,False,False,,,,,,,1,0,5,Llenando ventana
6,1,EHO,poblacional,2538.6724101068066,2538.6724101068066,False,False,,,,,,,0,0,6,Llenando ventana
7,1,EHO,poblacional,2538.6724101068066,2538.6724101068066,False,False,,,,,,,1,0,7,Llenando ventana
8,1,EHO,poblacional,2518.13667931007,2518.13667931007,False,False,,,,,,,0,0,8,Llenando ventana
9,1,EHO,poblacional,2515.8169406248758,2515.8169406248758,False,False,,,,,,,0,0,9,Llenando ventana
10,1,EHO,poblacional,2515.8169406248758,2515.8169406248758,False,False,,,,,,,1,0,10,Llenando ventana
11,1,EHO,poblacional,2514.949966668808,2514.949966668808,False,False,,,,,,,0,0,11,Llenando ventana
12,1,EHO,poblacional,2511.28236600708,2511.28236600708,False,False,,,,,,,0,0,12,Llenando ventana
13,1,EHO,poblacional,2511.28236600708,2511.28236600708,False,False,,,,,,,1,0,13,Llenando ventana
14,1,EHO,poblacional,2510.822041648311,2510.822041648311,False,False,,,,,,,0,0,14,Llenando ventana
15,1,EHO,poblacional,2506.595667321848,2506.595667321848,False,False,,,,,,,0,0,15,Llenando ventana
16,1,EHO,poblacional,2506.1703194819074,2506.1703194819074,False,False,,,,,,,0,0,16,Llenando ventana
17,1,EHO,poblacional,2503.921079150689,2503.921079150689,False,False,,,,,,,0,0,17,Llenando ventana
18,1,EHO,poblacional,2503.737709404637,2503.737709404637,False,False,,,,,,,0,0,18,Llenando ventana
19,1,EHO,poblacional,2503.5159745171686,2503.5159745171686,False,False,,,,,,,0,0,19,Llenando ventana
20,1,EHO,poblacional,2502.4989878442307,2502.4989878442307,False,False,,,,,,,0,0,20,Llenando ventana
21,1,EHO,poblacional,2502.053913619843,2502.053913619843,False,False,,,,,,,0,0,21,Llenando ventana
22,1,EHO,poblacional,2502.053913619843,2502.053913619843,False,False,,,,,,,1,0,22,Llenando ventana
23,1,EHO,poblacional,2502.013638663492,2502.013638663492,False,False,,,,,,,0,0,23,Llenando ventana
24,1,EHO,poblacional,2501.8897519761263,2501.8897519761263,False,False,,,,,,,0,0,24,Llenando ventana
25,1,EHO,poblacional,2501.6531384196805,2501.6531384196805,False,False,,,,,,,0,0,25,Llenando ventana
26,1,EHO,poblacional,2501.6531384196805,2501.6531384196805,False,False,,,,,,,1,0,26,Llenando ventana
27,1,EHO,poblacional,2501.6531384196805,2501.6531384196805,False,False,,,,,,,2,0,27,Llenando ventana
28,1,EHO,poblacional,2501.6531384196805,2501.6531384196805,False,False,,,,,,,3,0,28,Llenando ventana
29,1,EHO,poblacional,2501.318120690884,2501.318120690884,False,False,,,,,,,0,0,29,Llenando ventana
30,1,EHO,poblacional,2501.318120690884,2501.318120690884,False,False,,,,,,,1,0,30,Llenando ventana
31,1,EHO,poblacional,2501.318120690884,2501.318120690884,False,False,,,,,,,2,0,31,Llenando ventana
32,1,EHO,poblacional,2501.318120690884,2501.318120690884,False,False,,,,,,,3,0,32,Llenando ventana
33,1,EHO,poblacional,2501.318120690884,2501.318120690884,False,False,,,,,,,4,0,33,Llenando ventana
34,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,0,0,34,Llenando ventana
35,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,1,0,35,Llenando ventana
36,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,2,0,36,Llenando ventana
37,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,3,0,37,Llenando ventana
38,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,4,0,38,Llenando ventana
39,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,5,0,39,Llenando ventana
40,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,6,0,40,Llenando ventana
41,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,7,0,41,Llenando ventana
42,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,8,0,42,Llenando ventana
43,1,EHO,poblacional,2501.2093149935113,2501.2093149935113,False,False,,,,,,,9,0,43,Llenando ventana
44,1,EHO,poblacional,2501.1998745928313,2501.1998745928313,False,False,,,,,,,0,0,44,Llenando ventana
45,1,EHO,poblacional,2501.1998745928313,2501.1998745928313,False,False,,,,,,,1,0,45,Llenando ventana
46,1,EHO,poblacional,2501.1998745928313,2501.1998745928313,False,False,,,,,,,2,0,46,Llenando ventana
47,1,EHO,poblacional,2501.1867387105367,2501.1867387105367,False,False,,,,,,,0,0,47,Llenando ventana
48,1,EHO,poblacional,2501.0281143798165,2501.0281143798165,False,False,,,,,,,0,0,48,Llenando ventana
49,1,EHO,poblacional,2501.0281143798165,2501.0281143798165,False,False,,,,,,,1,0,49,Llenando ventana
50,1,EHO,poblacional,2501.0281143798165,2501.0281143798165,False,False,,,,,,,2,0,50,Llenando ventana
51,1,EHO,poblacional,2501.0281143798165,2501.0281143798165,False,False,,,,,,,3,0,51,Llenando ventana
52,1,EHO,poblacional,2500.9933241964018,2500.9933241964018,False,False,,,,,,,0,0,52,Llenando ventana
53,1,EHO,poblacional,2500.9933241964018,2500.9933241964018,False,False,,,,,,,1,0,53,Llenando ventana
54,1,EHO,poblacional,2500.9933241964018,2500.9933241964018,False,False,,,,,,,2,0,54,Llenando ventana
55,1,EHO,poblacional,2500.9447855881776,2500.9447855881776,False,False,,,,,,,0,0,55,Llenando ventana
56,1,EHO,poblacional,2500.9447855881776,2500.9447855881776,False,False,,,,,,,1,0,56,Llenando ventana
57,1,EHO,poblacional,2500.94044359464,2500.94044359464,False,False,,,,,,,0,0,57,Llenando ventana
58,1,EHO,poblacional,2500.94044359464,2500.94044359464,False,False,,,,,,,1,0,58,Llenando ventana
59,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,0,0,59,Llenando ventana
60,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,1,0,60,Llenando ventana
61,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,2,0,61,Llenando ventana
62,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,3,0,62,Llenando ventana
63,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,4,0,63,Llenando ventana
64,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,5,0,64,Llenando ventana
65,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,6,0,65,Llenando ventana
66,1,EHO,poblacional,2500.926302183063,2500.926302183063,False,False,,,,,,,7,0,66,Llenando ventana
67,1,EHO,poblacional,2500.9251284516786,2500.9251284516786,False,False,,,,,,,0,0,67,Llenando ventana
68,1,EHO,poblacional,2500.9251284516786,2500.9251284516786,False,False,,,,,,,1,0,68,Llenando ventana
69,1,EHO,poblacional,2500.9215189276056,2500.9215189276056,False,False,,,,,,,0,0,69,Llenando ventana
70,1,EHO,poblacional,2500.9215189276056,2500.9215189276056,False,False,,,,,,,1,0,70,Llenando ventana
71,1,EHO,poblacional,2500.9215189276056,2500.9215189276056,False,False,,,,,,,2,0,71,Llenando ventana
72,1,EHO,poblacional,2500.917386248885,2500.917386248885,False,False,,,,,,,0,0,72,Llenando ventana
