run,Hybrid DDTW,PSO,GWO,WOA,EHO,ACO
1,2600.0000000002174,2750.427163839822,2652.28347557045,2600.447464969356,2600.000000000001,2600.000010559571
2,2601.506652803918,2900.0000000000005,3000.292293701544,3177.1717199756804,2900.0000000000005,2750.427164393206
3,2600.0000000000086,3000.0000000000005,3000.125289497172,3094.6791207172273,3000.0000000000005,2750.427164155609
4,2750.4271638610007,2781.7332771743213,2602.63364454298,2751.109196385354,2600.0000000000005,2750.473076916718
5,2750.4640103718243,2777.029818615441,2603.1142464936393,2750.982673359874,2750.4640103718243,2600.0000121609974
6,2750.4275816933455,2900.0000000000005,2916.736789079078,3309.3604036698457,2600.0000000000005,2900.000015691602
7,2600.000000000009,2766.7917397416804,2727.2013150617445,2766.785312468553,2600.0000000000005,3000.0000031804766
8,2600.0000000000036,2766.771655741971,2600.3798624665355,2765.303022155792,2751.075121065057,2600.000011320967
9,2750.487758502816,2766.79179868222,2602.178177860071,2753.032973024097,2600.0000000000005,2600.0000116586407
10,2750.4273267073845,2900.0000000000005,2902.184104335117,3749.886528676164,3000.000000000001,2600.0000110181145
11,2600.0000000000123,2751.075121065057,2731.965010932225,2602.906690340931,2600.0000000000005,2750.4271644784694
12,2600.000000000001,2751.0990183239965,2731.298743923275,2600.8291403665476,2751.0896882167035,2750.4271640635143
13,2600.0000000000005,2900.0000000000005,2913.4214233879866,2605.0218129697932,2900.0000000000005,3000.000003423342
14,2600.0000000163104,2766.7918889280963,2726.636635617346,2600.8054141845605,2750.4673760021356,2600.000011616475
15,2750.4741307347454,2900.0,2605.998420495442,3208.1684229548437,2600.0000000000005,2600.000012840818
16,2750.473194197573,3237.288234645781,3000.1285954264517,2989.025731118945,3000.000000000001,3000.0000025267323
17,2600.0000000417494,2600.0000000000005,2912.5022026938677,3000.04106270396,3000.0000000000005,2750.4271638733385
18,2600.2867940005167,3000.0000000000005,3000.2487522504484,3000.420151769533,3000.0,3000.000003460831
19,2600.0000001562075,3200.773154746824,2603.672203804318,3000.06154885914,2750.4910593979153,2600.0000126391596
20,2600.000000000001,3221.5772820873713,2732.0506998289347,2815.655085741939,2750.4271658331872,2751.075121065058
21,2600.910019347145,2781.74309900836,2602.2484816265105,2602.7602192444183,2600.000000000001,2750.42716390377
22,2600.0000002483825,2900.0,2601.103350372952,2836.2743654366573,2600.0000000000005,2600.0000113872525
23,2600.000000000003,2766.638479870217,2730.7412458379417,2610.992788706109,2750.427164025293,2600.0000118671865
24,2900.0000000414916,2900.0000000000005,2924.6965929629555,3157.442909600526,2900.0000000000005,2900.0000157409054
25,2600.0000001460717,2751.075121065057,2731.54031984281,2600.4277581548567,2600.0000000000005,2751.0751210650574
26,2600.0599917652307,2781.7260330005415,2731.6712597824626,2751.1765139028066,2750.427164129163,2600.000012762223
27,2600.0000000000014,2750.473102640622,2723.785708543516,3244.8628127775623,2750.427163931992,2751.0751210650574
28,2600.000000000005,2900.0000000000005,2933.565632313436,2750.5543932093055,2900.000000000001,2600.0000108451136
29,2600.0000000000314,2600.0000000000005,3096.947324585786,2981.823986898631,2600.0000000000005,2750.427163860594
30,2608.4491404171354,2766.765011926463,2730.0197546764275,2605.06028289813,2600.0,2750.42716395921
31,2900.0000000000264,2900.0000000000005,2925.595646473091,3149.683184399963,2900.0000000000005,2900.0000175602245
