run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,2600.0000000002174,6,8.360355143220378e-12,Óptimo alcanzado
2,2601.506652803918,4,0.05794818476607151,Peor que el óptimo
3,2600.0000000000086,4,3.3231537180164684e-13,Óptimo alcanzado
4,2750.4271638610007,5,5.785660148500028,Peor que el óptimo
5,2750.4640103718243,9,5.787077321993243,Peor que el óptimo
6,2750.4275816933455,6,5.785676218974826,Peor que el óptimo
7,2600.000000000009,6,3.4980565452804934e-13,Óptimo alcanzado
8,2600.0000000000036,6,1.3992226181121974e-13,Óptimo alcanzado
9,2750.487758502816,7,5.787990711646776,Peor que el óptimo
10,2750.4273267073845,4,5.785666411822481,Peor que el óptimo
11,2600.0000000000123,5,4.722376336128666e-13,Óptimo alcanzado
12,2600.000000000001,4,3.4980565452804934e-14,Óptimo alcanzado
13,2600.0000000000005,4,1.7490282726402467e-14,Óptimo alcanzado
14,2600.0000000163104,4,6.273239705478773e-10,Óptimo alcanzado
15,2750.4741307347454,6,5.787466566720975,Peor que el óptimo
16,2750.473194197573,4,5.787430546060495,Peor que el óptimo
17,2600.0000000417494,5,1.6057478765455575e-09,Óptimo alcanzado
18,2600.2867940005167,6,0.011030538481411266,Peor que el óptimo
19,2600.0000001562075,6,6.007982077650153e-09,Óptimo alcanzado
20,2600.000000000001,5,3.4980565452804934e-14,Óptimo alcanzado
21,2600.910019347145,5,0.03500074412095973,Peor que el óptimo
22,2600.0000002483825,4,9.553174934878301e-09,Óptimo alcanzado
23,2600.000000000003,8,1.2243197908481726e-13,Óptimo alcanzado
24,2900.0000000414916,4,11.53846154005737,Peor que el óptimo
25,2600.0000001460717,6,5.618141165961368e-09,Óptimo alcanzado
26,2600.0599917652307,6,0.002307375585797462,Peor que el óptimo
27,2600.0000000000014,4,5.24708481792074e-14,Óptimo alcanzado
28,2600.000000000005,6,1.9239310999042713e-13,Óptimo alcanzado
29,2600.0000000000314,6,1.2068295081217701e-12,Óptimo alcanzado
30,2608.4491404171354,4,0.32496693912059105,Peor que el óptimo
31,2900.0000000000264,7,11.538461538462553,Peor que el óptimo
