funcion,n_dim,n_runs,media,std,mediana,mejor,peor,valor_optimo,gap_media_pct,gap_mejor_pct,mejor_run,resultado_frente_optimo,significancia_estadistica
F1_Shifted_Rotated_Zakharov,10,31,300.46882058187725,2.6094589899529765,300.0000000000115,300.0,314.52900027331253,300.0,0.1562735272924177,0.0,8,Óptimo alcanzado,Mixta significativa (+3/=0/-2)
F2_Shifted_Rotated_Rosenbrock,10,31,405.9358229634974,3.761033948708697,408.9161019277813,400.01086739014283,408.91611794854833,400.0,1.4839557408743502,0.0027168475357086663,4,Peor que el óptimo,Favorable significativa (+3/=2/-0)
F3_Shifted_Rotated_Expanded_Schaffers_F7,10,31,603.6877577370047,6.050480469139332,601.080269737524,600.0175849639187,627.6679544375305,600.0,0.6146262895007908,0.0029308273197822623,16,Peor que el óptimo,Mixta significativa (+2/=2/-1)
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,31,815.741935483871,4.9461617572650365,816.0,806.0000000000006,827.0,800.0,1.9677419354838719,0.750000000000071,30,Peor que el óptimo,Favorable significativa (+3/=2/-0)
F5_Shifted_Rotated_Levy,10,31,901.9720445210386,5.980933735098568,900.0000366794577,900.0000000000001,924.7449107437017,900.0,0.21911605789317593,1.2631870857957336e-14,3,Óptimo alcanzado,Mixta significativa (+3/=1/-1)
F6_Hybrid_Function_1,10,31,3532.52973399749,1942.1640492714841,2738.486062899289,1830.3996353076616,8017.950243711502,1800.0,96.25165188874944,1.6888686282034213,2,Peor que el óptimo,Favorable significativa (+1/=4/-0)
F7_Hybrid_Function_2,10,31,2022.6983625561375,9.806439817570748,2021.9899664193706,2001.4952077230994,2045.8730992680137,2000.0,1.1349181278068727,0.07476038615496919,8,Peor que el óptimo,Favorable significativa (+3/=2/-0)
F8_Hybrid_Function_3,10,31,2221.176794288424,3.347798069375972,2221.0947704296095,2207.624893414123,2231.0432733832604,2200.0,0.9625815585647243,0.34658606427832306,7,Peor que el óptimo,Favorable significativa (+4/=1/-0)
F9_Composition_Function_1,10,31,2529.284382708488,5.145548831122698e-12,2529.284382708487,2529.284382708487,2529.2843827085157,2300.0,9.96888620471687,9.96888620471683,1,Peor que el óptimo,Favorable significativa (+4/=1/-0)
F10_Composition_Function_2,10,31,2522.829708927816,46.35495753347298,2500.5288135981523,2500.2812709805994,2625.6484768888577,2400.0,5.1179045386589905,4.178386290858309,29,Peor que el óptimo,Favorable significativa (+4/=1/-0)
F11_Composition_Function_3,10,31,2653.690121453328,91.13522338536325,2600.0000001562075,2600.0000000000005,2900.0000000414916,2600.0,2.065004671281853,1.7490282726402467e-14,13,Óptimo alcanzado,Favorable significativa (+5/=0/-0)
F12_Composition_Function_4,10,31,2863.7571630141183,1.357502818484985,2863.7148495493293,2860.6801761305433,2866.6821679412374,2700.0,6.065080111634011,5.951117634464565,1,Peor que el óptimo,Favorable significativa (+2/=3/-0)
