Instancia          : mknapcb2_inst00 (Mejor Run #31)
Items / Restricc.  : 250 / 5
Mejor valor global : 58828.0
Optimo conocido    : 59312.0
Gap relativo       : 0.82%
Total switches     : 27

1. GWO (poblacional) | mejor=54600.0 | 0.0s-9.5s | iters=108
2. SA (trayectoria) | mejor=58685.0 | 9.5s-24.8s | iters=280
3. GA (poblacional) | mejor=58690.0 | 24.8s-28.4s | iters=108
4. ILS (trayectoria) | mejor=58828.0 | 28.4s-71.8s | iters=108
5. WOA (poblacional) | mejor=58828.0 | 71.8s-81.1s | iters=108
6. VNS (trayectoria) | mejor=58828.0 | 81.1s-119.5s | iters=108
7. ACO (poblacional) | mejor=58828.0 | 119.5s-131.7s | iters=108
8. VNS (trayectoria) | mejor=58828.0 | 131.7s-173.5s | iters=108
9. EHO (poblacional) | mejor=58828.0 | 173.5s-183.0s | iters=108
10. SA (trayectoria) | mejor=58828.0 | 183.0s-189.0s | iters=108
11. PSO (poblacional) | mejor=58828.0 | 189.0s-198.5s | iters=108
12. TS (trayectoria) | mejor=58828.0 | 198.5s-201.5s | iters=108
13. PSO (poblacional) | mejor=58828.0 | 201.5s-211.0s | iters=108
14. VNS (trayectoria) | mejor=58828.0 | 211.0s-251.8s | iters=108
15. EHO (poblacional) | mejor=58828.0 | 251.8s-261.3s | iters=108
16. ILS (trayectoria) | mejor=58828.0 | 261.3s-307.2s | iters=108
17. EHO (poblacional) | mejor=58828.0 | 307.2s-316.7s | iters=108
18. TS (trayectoria) | mejor=58828.0 | 316.7s-319.7s | iters=108
19. GA (poblacional) | mejor=58828.0 | 319.7s-323.3s | iters=108
20. TS (trayectoria) | mejor=58828.0 | 323.3s-326.3s | iters=108
21. GA (poblacional) | mejor=58828.0 | 326.3s-329.9s | iters=108
22. TS (trayectoria) | mejor=58828.0 | 329.9s-332.8s | iters=108
23. EHO (poblacional) | mejor=58828.0 | 332.8s-342.3s | iters=108
24. TS (trayectoria) | mejor=58828.0 | 342.3s-345.3s | iters=108
25. GWO (poblacional) | mejor=58828.0 | 345.3s-354.8s | iters=108
26. ILS (trayectoria) | mejor=58828.0 | 354.8s-397.0s | iters=108
27. ACO (poblacional) | mejor=58828.0 | 397.0s-409.1s | iters=108
