run,mejor_valor,n_switches
1,300.00000000000097,9
2,300.0000000000005,10
3,300.00000220901893,6
4,300.0000000000077,5
5,300.0000000000019,4
6,300.00004517129673,5
7,300.00000000000006,10
8,300.0000000000002,5
9,300.0000000002263,5
10,300.00000000001216,5
11,300.0000000000007,5
12,300.0000000097599,5
13,300.00000000005906,6
14,300.00000000139363,5
15,300.00000000000006,11
16,300.00000000001546,5
17,300.00000000000006,9
18,300.00000021684286,5
19,300.0000000000002,6
20,479.6915434859047,8
21,300.00000000000966,9
22,300.00000000000017,9
23,300.0000000000001,5
24,300.0000938661378,6
25,300.0000000000028,9
26,300.000000000512,5
27,300.0000000036068,5
28,300.0000000003442,7
29,300.0000000029625,5
30,300.00000004326256,6
31,300.00000000401934,4
