run,mejor_valor,n_switches
1,605.6646955265417,12
2,600.9215636495207,8
3,600.0216933467514,5
4,613.1954279923178,5
5,600.0847456417296,5
6,600.0668647499076,5
7,602.1703466495612,12
8,600.0109782449788,9
9,600.7933873319367,5
10,605.849427750178,7
11,600.0962372545894,6
12,600.0871054172504,7
13,602.4117132913092,11
14,600.0536532547076,10
15,610.7644305995584,12
16,600.0227104645002,8
17,600.0117708055461,5
18,600.0463170223352,7
19,600.3668307047009,6
20,600.4679611708384,9
21,604.296240428305,13
22,609.8024938506469,15
23,600.0219049254516,5
24,602.9013150058677,13
25,606.1177671622121,9
26,600.2830288289052,9
27,602.6645140313702,13
28,600.8673910288067,13
29,604.3633317923661,5
30,605.5691061370466,12
31,607.0597906979016,4
