iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,GWO,poblacional,895.7571978074884,895.7571978074884,False,False,,,,,,,0,0,1,Llenando ventana
2,1,GWO,poblacional,882.9014004060094,882.9014004060094,False,False,,,,,,,0,0,2,Llenando ventana
3,1,GWO,poblacional,882.9014004060094,882.9014004060094,False,False,,,,,,,1,0,3,Llenando ventana
4,1,GWO,poblacional,875.3333977187036,875.3333977187036,False,False,,,,,,,0,0,4,Llenando ventana
5,1,GWO,poblacional,870.3393676032376,870.3393676032376,False,False,,,,,,,0,0,5,Llenando ventana
6,1,GWO,poblacional,870.3393676032376,870.3393676032376,False,False,,,,,,,1,0,6,Llenando ventana
7,1,GWO,poblacional,870.3393676032376,870.3393676032376,False,False,,,,,,,2,0,7,Llenando ventana
8,1,GWO,poblacional,870.2674890873059,870.2674890873059,False,False,,,,,,,0,0,8,Llenando ventana
9,1,GWO,poblacional,870.2674890873059,870.2674890873059,False,False,,,,,,,1,0,9,Llenando ventana
10,1,GWO,poblacional,868.2773232645604,868.2773232645604,False,False,,,,,,,0,0,10,Llenando ventana
11,1,GWO,poblacional,863.5088763949651,863.5088763949651,False,False,,,,,,,0,0,11,Llenando ventana
12,1,GWO,poblacional,863.5088763949651,863.5088763949651,False,False,,,,,,,1,0,12,Llenando ventana
13,1,GWO,poblacional,858.5550463118574,858.5550463118574,False,False,,,,,,,0,0,13,Llenando ventana
14,1,GWO,poblacional,858.5550463118574,858.5550463118574,False,False,,,,,,,1,0,14,Llenando ventana
15,1,GWO,poblacional,858.5550463118574,858.5550463118574,False,False,,,,,,,2,0,15,Llenando ventana
16,1,GWO,poblacional,856.320851539478,856.320851539478,False,False,,,,,,,0,0,16,Llenando ventana
17,1,GWO,poblacional,856.320851539478,856.320851539478,False,False,,,,,,,1,0,17,Llenando ventana
18,1,GWO,poblacional,856.320851539478,856.320851539478,False,False,,,,,,,2,0,18,Llenando ventana
