run,mejor_valor,n_switches
1,900.0000000000016,16
2,900.0002140403984,6
3,900.0000000000002,6
4,900.0988322926407,8
5,900.0001710477973,6
6,900.0000219893417,5
7,900.1790565008359,15
8,902.1509443840081,9
9,900.0000000000001,7
10,900.0001198567346,4
11,900.000010325181,6
12,900.9981762875987,6
13,900.0000000000002,17
14,900.0000000000002,13
15,904.3070021941455,6
16,900.0000000000001,6
17,900.0895282504165,11
18,900.543852269045,6
19,900.543852269008,16
20,900.0000000000002,7
21,900.0895740029059,9
22,942.2450849134038,6
23,900.0000118326168,6
24,900.000025845466,4
25,900.0895282504166,18
26,900.0000005580985,6
27,900.0000000000002,16
28,900.0895282657978,10
29,900.0000000000001,5
30,900.0895282504166,18
31,900.0000000000003,6
