run,mejor_valor,n_switches
1,900.000077091148,6
2,900.0000016408957,6
3,900.0000801914142,5
4,900.454324018591,12
5,900.0000184371685,5
6,900.0,5
7,900.0000000000002,7
8,900.0000016165126,4
9,900.4543242138114,5
10,900.0,5
11,900.0000000000003,6
12,900.0000027007175,5
13,900.000041647062,7
14,900.0000000000001,10
15,900.0000000000069,13
16,900.0895282504167,9
17,900.0000000000003,5
18,900.0000250787285,5
19,902.612953518187,6
20,900.0000002466296,11
21,900.0000000000001,6
22,900.0000019911886,8
23,900.0000024301563,4
24,900.4543240190814,7
25,900.000000000001,13
26,900.000000086631,9
27,900.0000002217274,5
28,900.0895282504166,10
29,900.0895282504166,5
30,900.0000548492634,5
31,1204.8647889148788,5
