run,mejor_valor,n_switches
1,2230.008571176272,13
2,2246.741622069242,13
3,2232.421256596793,12
4,2346.0859011756065,14
5,2227.185276683074,12
6,2235.507809514623,13
7,2229.7218068147386,12
8,2222.757494456682,9
9,2347.124745943277,16
10,2227.7124166463345,15
11,2256.5496147973145,11
12,2230.624247349618,8
13,2256.1362310687414,13
14,2233.6986254911785,12
15,2225.570733211868,7
16,2231.9497071545306,7
17,2229.4227826089996,14
18,2224.145674508872,14
19,2230.086551530634,16
20,2238.340445917631,9
21,2225.4674575248573,19
22,2233.318720170635,11
23,2354.862415010102,12
24,2232.610312736996,5
25,2257.9605431972673,12
26,2359.853010935758,11
27,2361.810849316369,14
28,2223.784777385527,6
29,2367.8892284364983,8
30,2224.0532681941568,11
31,2250.9386794319485,7
