run,mejor_valor,n_switches
1,2529.284382708487,16
2,2529.284382708487,16
3,2676.216330969414,6
4,2529.284382708487,15
5,2529.284382709853,5
6,2529.284382708503,10
7,2529.284382708487,13
8,2529.284382708487,16
9,2529.284382708487,7
10,2529.284382708487,8
11,2529.284382708487,11
12,2529.2843827164484,8
13,2529.284382708487,15
14,2529.284382708487,12
15,2529.284382708487,16
16,2529.284382708694,8
17,2529.284382708487,11
18,2529.284382708492,7
19,2529.284382708487,16
20,2529.284382708527,13
21,2529.284382708487,16
22,2529.284382708487,17
23,2529.284382708487,16
24,2529.284382708487,15
25,2529.2843827091538,11
26,2529.284382708487,15
27,2529.284382708487,13
28,2529.284382708487,13
29,2529.284382708487,12
30,2529.284382708487,15
31,2529.284382708487,7
