rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,F1_Shifted_Rotated_Zakharov,1.03,305.796506,32.273553,300.000000,0.000000,294.435364,317.157648,300.000000,479.691543,4.635947e-12,1.000000e+00,1.000000e+00,=
2,F2_Shifted_Rotated_Rosenbrock,1.97,411.577483,18.162585,408.916102,4.418610,405.183774,417.971192,400.115746,479.006372,3.491771e-10,1.862645e-09,2.468604e-10,Peor (-) ***
3,F3_Shifted_Rotated_Expanded_Schaffers_F7,3.00,602.808218,3.616813,600.867391,4.890414,601.535004,604.081431,600.010978,613.195428,2.848099e-05,9.313226e-10,1.397737e-11,Peor (-) ***
4,F4_Shifted_Rotated_NonContinuous_Rastrigin,4.00,816.967742,6.057964,818.000000,10.000000,814.835179,819.100305,804.000000,827.000000,2.646742e-01,9.313226e-10,1.382221e-11,Peor (-) ***
5,F5_Shifted_Rotated_Levy,5.00,909.971278,54.732012,900.000002,0.044804,890.704165,929.238390,900.000000,1204.864789,4.910484e-12,1.173503e-06,1.394457e-11,Peor (-) ***
6,F7_Hybrid_Function_2,6.10,2019.773801,6.587995,2020.995960,1.584483,2017.454653,2022.092949,2000.626550,2029.946730,1.390248e-07,9.313226e-10,1.397737e-11,Peor (-) ***
7,F8_Hybrid_Function_3,7.23,2220.248874,3.343995,2220.723926,1.126398,2219.071699,2221.426049,2202.674801,2222.819132,1.634959e-10,9.313226e-10,1.397737e-11,Peor (-) ***
8,F10_Composition_Function_2,8.74,2522.678432,65.770794,2500.558843,55.367352,2499.525377,2545.831488,2406.892406,2639.023659,3.119293e-05,9.313226e-10,1.397737e-11,Peor (-) ***
9,F9_Composition_Function_1,9.16,2534.024123,26.389757,2529.284383,0.000000,2524.734232,2543.314014,2529.284383,2676.216331,4.635931e-12,1.135312e-06,3.997614e-12,Peor (-) ***
10,F6_Hybrid_Function_1,10.03,4014.983822,1995.222195,3602.732441,2901.657677,3312.612951,4717.354692,1810.459222,8017.429029,2.719236e-03,9.313226e-10,1.397737e-11,Peor (-) ***
11,F11_Composition_Function_3,10.68,2774.495960,138.135096,2750.427262,297.523731,2725.868761,2823.123160,2600.000000,3000.000125,8.684736e-04,9.313226e-10,1.397737e-11,Peor (-) ***
12,F12_Composition_Function_4,11.06,2863.998460,2.156570,2863.877804,2.149816,2863.239290,2864.757629,2859.392377,2869.314429,3.380241e-02,9.313226e-10,1.396916e-11,Peor (-) ***
