funcion,n_dim,n_runs,media,std,mediana,mejor,peor,valor_optimo
F1_Shifted_Rotated_Zakharov,10,31,305.79650596823876,31.74874489554945,300.00000000001546,300.00000000000006,479.6915434859047,300.0
F2_Shifted_Rotated_Rosenbrock,10,31,411.57748292914215,17.867238516594025,408.9161019277813,400.11574559332706,479.0063724304929,400.0
F3_Shifted_Rotated_Expanded_Schaffers_F7,10,31,602.8082175728271,3.5579993716231124,600.8673910288067,600.0109782449788,613.1954279923178,600.0
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,31,816.9677419354845,5.959453703950136,818.0,804.0,827.0,800.0
F5_Shifted_Rotated_Levy,10,31,909.9712776666145,53.84200081235768,900.0000024301563,900.0,1204.8647889148788,900.0
F6_Hybrid_Function_1,10,31,4014.9838219205144,1962.7773953634128,3602.732441092305,1810.459221936273,8017.42902890175,1800.0
F7_Hybrid_Function_2,10,31,2019.7738011270108,6.4808659645420255,2020.9959598326545,2000.626549883314,2029.946730342692,2000.0
F8_Hybrid_Function_3,10,31,2220.248874125892,3.2896178752437963,2220.7239262086223,2202.674801103386,2222.819132356258,2200.0
F9_Composition_Function_1,10,31,2534.0241229752996,25.96062660661424,2529.284382708487,2529.284382708487,2676.216330969414,2300.0
F10_Composition_Function_2,10,31,2522.678432339237,64.70127898507604,2500.558842944676,2406.892406363327,2639.023659101376,2400.0
F11_Composition_Function_3,10,31,2774.495960237304,135.88884724142986,2750.427262257602,2600.000000000016,3000.000125005866,2600.0
F12_Composition_Function_4,10,31,2863.9984595218875,2.121501640474904,2863.877803873566,2859.392376985386,2869.3144291007097,2700.0
