run,mejor_valor,n_switches
1,300.00000000000574,7
2,300.0000000000688,6
3,300.00000000068826,10
4,300.59855405960093,8
5,300.00000127204385,6
6,300.00000386054,6
7,300.0,4
8,300.0000000000001,9
9,300.0000041250048,7
10,651.7748703110879,4
11,379.82122002408227,6
12,300.00000000000006,11
13,300.00000000000006,8
14,300.02274688758115,6
15,300.00000000000756,5
16,334.07088963400014,4
17,300.00000000000006,9
18,300.000000028328,6
19,300.0,7
20,300.000000000023,6
21,300.0000000000001,12
22,300.0000000002497,6
23,300.00031408503196,6
24,300.00000000000284,5
25,300.00000000001,8
26,300.0000000000089,7
27,300.00000000000057,10
28,300.00000000003945,5
29,300.0000121273284,5
30,300.00000000016826,6
31,300.00000034819044,5
