run,mejor_valor,n_switches
1,406.7286216524461,7
2,402.13155177470776,6
3,401.3836790492796,6
4,401.7255226576014,8
5,408.969855148115,5
6,407.8620121636546,5
7,406.72862156052696,17
8,400.1448314746717,5
9,403.19757533479003,4
10,402.0842077608254,4
11,407.62829399155135,6
12,403.6984658239662,5
13,403.68179617759597,8
14,406.96208666707577,6
15,404.00779778006796,5
16,403.2607164654164,6
17,406.72862157329644,5
18,402.1178645940493,6
19,400.43913004084203,5
20,406.72862165955104,6
21,402.8773586629932,4
22,401.16814586997987,4
23,404.00312579132384,6
24,403.3022356927889,4
25,403.0813302348781,8
26,401.88586174388104,4
27,400.8294056191763,9
28,402.0631789985146,4
29,400.01295800507506,6
30,401.1940587098263,5
31,403.86309006485186,5
