run,mejor_valor,n_switches
1,602.3100788931757,9
2,602.8080950328272,8
3,603.3989735937953,10
4,601.9691162597072,8
5,603.8781614468002,7
6,603.6315332427258,6
7,602.8719769366076,6
8,603.1937611109984,5
9,602.0636803560575,10
10,602.5595971443554,9
11,603.2835487855028,7
12,603.2539305536171,6
13,603.4925849368307,8
14,603.6275243752302,7
15,603.5049755451213,6
16,603.1144449675568,6
17,602.600835899307,7
18,603.500987951407,6
19,603.220797291045,5
20,603.5909693724273,7
21,603.4424942109697,6
22,602.1036233320527,4
23,603.6745505160246,12
24,602.7972349464823,6
25,603.26627770743,6
26,603.2536211438729,6
27,603.6198170066091,11
28,602.9473808796814,4
29,603.1785673056448,6
30,603.9966364403364,6
31,602.5730117089175,5
