iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,GWO,poblacional,3858.7920675418454,3858.7920675418454,False,False,,,,,,,0,0,1,Llenando ventana
2,1,GWO,poblacional,3858.7920675418454,3858.7920675418454,False,False,,,,,,,1,0,2,Llenando ventana
3,1,GWO,poblacional,2578.018262732683,2578.018262732683,False,False,,,,,,,0,0,3,Llenando ventana
4,1,GWO,poblacional,2366.6403310504825,2366.6403310504825,False,False,,,,,,,0,0,4,Llenando ventana
5,1,GWO,poblacional,1722.040146478199,1722.040146478199,False,False,,,,,,,0,0,5,Llenando ventana
6,1,GWO,poblacional,1609.7189123591832,1609.7189123591832,False,False,,,,,,,0,0,6,Llenando ventana
7,1,GWO,poblacional,1553.8811397273344,1553.8811397273344,False,False,,,,,,,0,0,7,Llenando ventana
8,1,GWO,poblacional,1553.8811397273344,1553.8811397273344,False,False,,,,,,,1,0,8,Llenando ventana
9,1,GWO,poblacional,1553.8811397273344,1553.8811397273344,False,False,,,,,,,2,0,9,Llenando ventana
10,1,GWO,poblacional,1553.8811397273344,1553.8811397273344,False,False,,,,,,,3,0,10,Llenando ventana
11,1,GWO,poblacional,1428.8060755940592,1428.8060755940592,False,False,,,,,,,0,0,11,Llenando ventana
12,1,GWO,poblacional,1428.8060755940592,1428.8060755940592,False,False,,,,,,,1,0,12,Llenando ventana
13,1,GWO,poblacional,1428.8060755940592,1428.8060755940592,False,False,,,,,,,2,0,13,Llenando ventana
14,1,GWO,poblacional,1405.4040178209393,1405.4040178209393,False,False,,,,,,,0,0,14,Llenando ventana
15,1,GWO,poblacional,1405.4040178209393,1405.4040178209393,False,False,,,,,,,1,0,15,Llenando ventana
16,1,GWO,poblacional,1194.6026419762547,1194.6026419762547,False,False,,,,,,,0,0,16,Llenando ventana
17,1,GWO,poblacional,1194.6026419762547,1194.6026419762547,False,False,,,,,,,1,0,17,Llenando ventana
18,1,GWO,poblacional,1126.352709354649,1126.352709354649,False,False,,,,,,,0,0,18,Llenando ventana
19,1,GWO,poblacional,1106.7556899680415,1106.7556899680415,False,False,,,,,,,0,0,19,Llenando ventana
20,1,GWO,poblacional,1106.7556899680415,1106.7556899680415,False,False,,,,,,,1,0,20,Llenando ventana
21,1,GWO,poblacional,1106.7556899680415,1106.7556899680415,False,False,,,,,,,2,0,21,Llenando ventana
