run,mejor_valor,n_switches
1,2027.3240990213944,14
2,2028.7025784765774,12
3,2024.1985304030832,10
4,2030.8030691744336,16
5,2022.257716764087,10
6,2024.3212435091134,5
7,2035.4801188396443,11
8,2022.5820199976592,14
9,2033.2903186406243,10
10,2032.0903566534469,9
11,2032.3052983411087,10
12,2024.0786204788076,5
13,2026.1850201960906,11
14,2033.967940582328,14
15,2035.0793782307587,15
16,2026.373303152672,9
17,2031.3007324401278,6
18,2026.3827340029195,9
19,2032.320435295502,17
20,2030.9870078694814,11
21,2041.5031315852957,17
22,2021.7408332481782,9
23,2026.6072637482462,8
24,2034.5030978259908,15
25,2013.8158384375579,10
26,2023.8006849680069,12
27,2032.3117629700052,8
28,2026.4586588179964,9
29,2027.6950101052878,16
30,2037.0262212579494,10
31,2022.7870778880092,13
