run,mejor_valor,n_switches
1,4297.789638835995,22
2,4297.789638835995,24
3,4297.789638835995,25
4,4297.789638835995,22
5,4297.789638835995,18
6,4297.789638835995,18
7,4297.789638835995,18
8,4297.789638835995,24
9,4297.789638835995,16
10,4297.789638835995,19
11,4297.789638835995,21
12,4297.789638835995,19
13,4297.789643731729,18
14,4297.789638835995,20
15,4297.789638835995,18
16,4297.789638835995,21
17,4297.789638835995,19
18,4297.789638835995,22
19,4297.789638835995,25
20,4297.789638835995,20
21,4297.789638835995,22
22,4297.789638835995,24
23,4297.789638835995,24
24,4297.789638835995,21
25,4297.789638835995,21
26,4297.789638835995,25
27,4297.789638835995,21
28,4297.789638835995,22
29,4297.789638835995,24
30,4297.789638835995,22
31,4297.789638835995,22
