iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,EHO,poblacional,7688049703.0507965,7688049703.0507965,False,False,,,,,,,0,0,1,Llenando ventana
2,1,EHO,poblacional,6304400985.271055,6304400985.271055,False,False,,,,,,,0,0,2,Llenando ventana
3,1,EHO,poblacional,3884675312.183069,3884675312.183069,False,False,,,,,,,0,0,3,Llenando ventana
4,1,EHO,poblacional,3158737157.776342,3158737157.776342,False,False,,,,,,,0,0,4,Llenando ventana
5,1,EHO,poblacional,3158737157.776342,3158737157.776342,False,False,,,,,,,1,0,5,Llenando ventana
6,1,EHO,poblacional,3158737157.776342,3158737157.776342,False,False,,,,,,,2,0,6,Llenando ventana
7,1,EHO,poblacional,2996866763.480627,2996866763.480627,False,False,,,,,,,0,0,7,Llenando ventana
8,1,EHO,poblacional,2992221195.1304836,2992221195.1304836,False,False,,,,,,,0,0,8,Llenando ventana
9,1,EHO,poblacional,2927784749.0408382,2927784749.0408382,False,False,,,,,,,0,0,9,Llenando ventana
10,1,EHO,poblacional,2804619593.3287716,2804619593.3287716,False,False,,,,,,,0,0,10,Llenando ventana
11,1,EHO,poblacional,2665542398.6801887,2665542398.6801887,False,False,,,,,,,0,0,11,Llenando ventana
12,1,EHO,poblacional,2604655774.963056,2604655774.963056,False,False,,,,,,,0,0,12,Llenando ventana
13,1,EHO,poblacional,2239443857.618872,2239443857.618872,False,False,,,,,,,0,0,13,Llenando ventana
14,1,EHO,poblacional,2034754161.133561,2034754161.133561,False,False,,,,,,,0,0,14,Llenando ventana
15,1,EHO,poblacional,2017104420.1587524,2017104420.1587524,False,False,,,,,,,0,0,15,Llenando ventana
16,1,EHO,poblacional,1939546039.6907992,1939546039.6907992,False,False,,,,,,,0,0,16,Llenando ventana
17,1,EHO,poblacional,1775412652.1861641,1775412652.1861641,False,False,,,,,,,0,0,17,Llenando ventana
18,1,EHO,poblacional,1433348739.0963314,1433348739.0963314,False,False,,,,,,,0,0,18,Llenando ventana
19,1,EHO,poblacional,1243275964.5948498,1243275964.5948498,False,False,,,,,,,0,0,19,Llenando ventana
20,1,EHO,poblacional,1243275964.5948498,1243275964.5948498,False,False,,,,,,,1,0,20,Llenando ventana
21,1,EHO,poblacional,1209353301.9704757,1209353301.9704757,False,False,,,,,,,0,0,21,Llenando ventana
22,1,EHO,poblacional,1089817011.7899706,1089817011.7899706,False,False,,,,,,,0,0,22,Llenando ventana
23,1,EHO,poblacional,965554458.8468487,965554458.8468487,False,False,,,,,,,0,0,23,Llenando ventana
24,1,EHO,poblacional,899675064.7183876,899675064.7183876,False,False,,,,,,,0,0,24,Llenando ventana
25,1,EHO,poblacional,748655502.0035537,748655502.0035537,False,False,,,,,,,0,0,25,Llenando ventana
26,1,EHO,poblacional,725979908.9377216,725979908.9377216,False,False,,,,,,,0,0,26,Llenando ventana
27,1,EHO,poblacional,699183516.2871081,699183516.2871081,False,False,,,,,,,0,0,27,Llenando ventana
28,1,EHO,poblacional,653677369.2781154,653677369.2781154,False,False,,,,,,,0,0,28,Llenando ventana
29,1,EHO,poblacional,653677369.2781154,653677369.2781154,False,False,,,,,,,1,0,29,Llenando ventana
30,1,EHO,poblacional,586106053.6326005,586106053.6326005,True,False,7052230043.872267,7101943649.418195,-49713605.545928,3.0,15.0,9.0,0,0,30,Explotacion activa
31,1,EHO,poblacional,565929762.7508554,565929762.7508554,True,False,5698301923.962556,5738471222.520199,-40169298.55764294,3.0,15.0,9.0,0,0,31,Explotacion activa
32,1,EHO,poblacional,379797622.9232646,379797622.9232646,True,False,3480343545.4349866,3504877689.259804,-24534143.82481718,3.0,15.0,9.0,0,0,32,Explotacion activa
33,1,EHO,poblacional,323226346.73512876,323226346.73512876,True,False,2815662235.363925,2835510811.041213,-19848575.677288055,3.0,15.0,9.0,0,0,33,Explotacion activa
34,1,EHO,poblacional,276528388.405734,276528388.405734,True,False,2860111835.472101,2882208769.370608,-22096933.89850664,3.0,15.0,9.0,0,0,34,Explotacion activa
35,1,EHO,poblacional,276528388.405734,276528388.405734,True,False,2860111835.4721017,2882208769.370608,-22096933.898506165,3.0,15.0,9.0,1,0,35,Explotacion activa
36,1,EHO,poblacional,262630108.8713271,262630108.8713271,True,False,2713274173.5906286,2734236654.6093006,-20962481.01867199,3.0,15.0,9.0,0,0,36,Explotacion activa
37,1,EHO,poblacional,238298623.6278791,238298623.6278791,True,False,2732809165.1210833,2753922571.502605,-21113406.3815217,3.0,15.0,9.0,0,0,37,Explotacion activa
38,1,EHO,poblacional,231763357.50202665,231763357.50202665,True,False,2675351894.203681,2696021391.538812,-20669497.33513117,3.0,15.0,9.0,0,0,38,Explotacion activa
39,1,EHO,poblacional,202930339.11046487,202930339.11046487,True,False,2581742969.9359665,2601689254.2183075,-19946284.282341003,2748016796.4346137,3046181348.460967,-20874585.913609743,0,0,39,Explotacion activa
40,1,EHO,poblacional,202930339.11046487,202930339.11046487,True,False,2445373775.1527348,2462612059.569724,-17238284.416989326,2734236654.6093006,2860111835.4721017,-20669497.33513117,1,0,40,Explotacion activa
41,1,EHO,poblacional,176655625.3167111,176655625.3167111,True,False,2411004148.59882,2428000149.646345,-16996001.04752493,2707485970.4599586,2860111835.4721017,-20163248.198178053,0,0,41,Explotacion activa
42,1,EHO,poblacional,148045085.76005313,148045085.76005313,True,False,2076758980.455806,2091398771.8588188,-14639791.403012753,2658288536.6106105,2860111835.472101,-19907200.840319823,0,0,42,Explotacion activa
43,1,EHO,poblacional,139551363.68041635,139551363.68041635,True,False,1881936377.8709722,1895202797.4531446,-13266419.582172394,2587781534.753449,2860111835.472101,-19587546.551258184,0,0,43,Explotacion activa
44,1,EHO,poblacional,134969793.86225095,134969793.86225095,True,False,1868959683.9124255,1882134626.2965012,-13174942.384075642,2490427498.4994407,2851221915.450466,-17760342.669049077,0,0,44,Explotacion activa
45,1,EHO,poblacional,131260043.19138977,131260043.19138977,True,False,1795627994.523914,1808285996.4994092,-12658001.9754951,2445306104.6080346,2837887035.418013,-17117142.732257128,0,0,45,Explotacion activa
46,1,EHO,poblacional,131148762.42161076,131148762.42161076,True,False,1633627656.923154,1644263889.7645533,-10636232.841399193,2360679874.08884,2824552155.38556,-16524759.118622495,0,0,46,Explotacion activa
47,1,EHO,poblacional,113114833.44048627,113114833.44048627,True,False,1311649862.7138007,1320233905.6558454,-8584042.942044735,2125058909.6375713,2807376928.3396406,-14875412.367463974,0,0,47,Explotacion activa
48,1,EHO,poblacional,113114833.44048627,113114833.44048627,True,False,1123423042.435151,1130161131.1543634,-6738088.719212294,1973681187.215414,2782521007.2667885,-13815768.310508538,1,0,48,Explotacion activa
49,1,EHO,poblacional,110535147.97394991,110535147.97394991,True,False,1125344229.9094095,1132740816.6208997,-7396586.711490154,1891282346.1061516,2757665086.193936,-13238976.422743369,0,0,49,Explotacion activa
50,1,EHO,poblacional,100295269.77628219,100295269.77628219,True,False,1101811436.450739,1109058032.1941934,-7246595.743454456,1882134626.2965012,2732809165.1210833,-13174942.384075642,0,0,50,Explotacion activa
51,1,EHO,poblacional,94345430.0519856,94345430.0519856,True,False,988944366.8474201,995471581.737985,-6527214.8905649185,1830440585.438537,2726948667.661947,-12813084.098069264,0,0,51,Explotacion activa
52,1,EHO,poblacional,84509282.57074834,84509282.57074834,True,False,875242661.9534606,881045176.2761004,-5802514.322639823,1742677153.805467,2721088170.2028103,-11849294.32185674,0,0,52,Explotacion activa
53,1,EHO,poblacional,82781330.32869247,82781330.32869247,True,False,811497512.532336,816893734.3896952,-5396221.857359171,1611860891.3536823,2715227672.7436743,-10431013.851463752,0,0,53,Explotacion activa
54,1,EHO,poblacional,82781330.32869247,82781330.32869247,True,False,661878323.1624793,665874171.6748612,-3995848.5123819113,1385039902.4775867,2705689717.713239,-8994480.921915632,1,0,54,Explotacion activa
55,1,EHO,poblacional,81731817.07864909,81731817.07864909,True,False,640374791.1323133,644248091.8590724,-3873300.7267591953,1226487361.1383724,2694313033.897155,-7990314.826767445,0,0,55,Explotacion activa
56,1,EHO,poblacional,77304723.77207425,77304723.77207425,True,False,618132251.1512239,621878792.5150337,-3746541.363809824,1132224879.5275924,2682936350.0810704,-7366588.517883015,0,0,56,Explotacion activa
57,1,EHO,poblacional,69199239.55894327,69199239.55894327,True,False,580832244.6747597,584478129.7191721,-3645885.0444123745,1130419099.701017,2665991001.7769094,-7261594.8402580265,0,0,57,Explotacion activa
58,1,EHO,poblacional,58470702.62763691,58470702.62763691,True,False,591214462.8888006,595206666.6504785,-3992203.761677861,1117499271.7782614,2637908324.496595,-6941491.52890916,0,0,58,Explotacion activa
59,1,EHO,poblacional,56804100.06559515,56804100.06559515,True,False,525727146.3215227,529301953.5670053,-3574807.245482564,1074982097.0573308,2609825647.2162805,-6674826.570618082,0,0,59,Explotacion activa
60,1,EHO,poblacional,48191419.6125394,48191419.6125394,True,False,514236772.09221506,517738343.1383159,-3501571.046100855,995471581.737985,2581742969.9359665,-6527214.8905649185,0,0,60,Explotacion activa
61,1,EHO,poblacional,36080181.18933866,36080181.18933866,True,False,341318003.06338656,343717441.73392594,-2399438.670539379,915373097.9146657,2540832211.500997,-6019924.493017352,0,0,61,Explotacion activa
62,1,EHO,poblacional,33292957.05456175,33292957.05456175,True,False,287903855.952803,289933389.68056697,-2029533.7277639508,855384599.5215383,2499921453.066027,-5639997.336527563,0,0,62,Explotacion activa
63,1,EHO,poblacional,24885222.312359463,24885222.312359463,True,False,249825182.58977094,251643166.09337452,-1817983.5036035776,801791778.1182119,2459010694.6310577,-5256184.522861448,0,0,63,Explotacion activa
64,1,EHO,poblacional,24885222.312359463,24885222.312359463,True,False,249881663.93072078,251643166.09337452,-1761502.1626537442,696078084.2178279,2438499849.841952,-4275923.181377367,1,0,64,Explotacion activa
65,1,EHO,poblacional,24885222.312359463,24885222.312359463,True,False,236239168.94409418,237744886.55896762,-1505717.614873439,655061131.7669668,2428188961.8757772,-3994026.1370298862,2,0,65,Explotacion activa
66,1,EHO,poblacional,19153128.334865868,19153128.334865868,True,False,217757573.82282427,219145495.29301324,-1387921.4701889753,639774231.9902647,2417878073.909603,-3968423.1546941283,0,0,66,Explotacion activa
67,1,EHO,poblacional,16465642.276303522,16465642.276303522,True,False,213934163.0292935,215297715.22572312,-1363552.1964296103,624115722.4494376,2377579631.7845182,-3885191.030251062,0,0,67,Explotacion activa
68,1,EHO,poblacional,16201693.94305344,16201693.94305344,True,False,185532825.4210185,186728645.1674114,-1195819.746392876,605875516.9963006,2277306081.341614,-3797245.1089895726,0,0,68,Explotacion activa
69,1,EHO,poblacional,16201693.94305344,16201693.94305344,True,False,185546030.4146844,186728645.1674114,-1182614.752726972,591988105.5710865,2177032530.8987093,-3716344.4679905893,1,0,69,Explotacion activa
70,1,EHO,poblacional,16192680.079243442,16192680.079243442,True,False,159535627.48683533,160462945.23746765,-927317.7506323159,584478129.7191721,2076758980.455806,-3645885.0444123745,0,0,70,Explotacion activa
71,1,EHO,poblacional,12784367.20302238,12784367.20302238,True,False,134476213.42425427,135260718.55703074,-784505.132776469,545854806.4126552,2018312199.6803558,-3596130.585161507,0,0,71,Explotacion activa
72,1,EHO,poblacional,9743485.692392012,9743485.692392012,True,False,129054272.2851389,129807877.98802432,-753605.7028854191,524676509.3955295,1959865418.9049053,-3545512.7657298804,0,0,72,Explotacion activa
73,1,EHO,poblacional,9378111.08718967,9378111.08718967,True,False,124861968.84504922,125591682.77506128,-729713.9300120622,500336252.997877,1901418638.129455,-3391357.80854471,0,0,73,Explotacion activa
74,1,EHO,poblacional,7843718.200910305,7843718.200910305,True,False,122698938.08791347,123416324.99047945,-717386.9025659859,378521622.0148038,1879341039.0792627,-2619865.1456516776,0,0,74,Explotacion activa
75,1,EHO,poblacional,7531515.832021187,7531515.832021187,True,False,122898721.13129526,123617246.58958958,-718525.4582943171,316825415.7072464,1875448030.8916988,-2214486.1991516664,0,0,75,Explotacion activa
76,1,EHO,poblacional,6422449.648623492,6422449.648623492,True,False,106060752.0256122,106692383.79186279,-631631.7662505805,282275344.96312845,1871555022.7041347,-1987223.682931877,0,0,76,Explotacion activa
77,1,EHO,poblacional,5648086.89490191,5648086.89490191,True,False,106768096.08984233,107466746.54558437,-698650.4557420313,255472188.45209375,1861626514.9735742,-1839138.5260196151,0,0,77,Explotacion activa
78,1,EHO,poblacional,5531555.519351259,5531555.519351259,True,False,104320541.97476621,105003592.45459868,-683050.4798324704,251643166.09337452,1839627008.1570206,-1784094.6990336778,0,0,78,Explotacion activa
79,1,EHO,poblacional,4480335.117588016,4480335.117588016,True,False,95190079.01156911,95814934.65869418,-624855.6471250653,247473682.23305243,1817627501.3404672,-1684766.7983196534,0,0,79,Explotacion activa
80,1,EHO,poblacional,3486082.4242480346,3486082.4242480346,True,False,90265877.36514197,90859347.6277376,-593470.2625956237,237744886.55896762,1795627994.523914,-1505717.614873439,0,0,80,Explotacion activa
81,1,EHO,poblacional,3486082.4242480346,3486082.4242480346,True,False,80546040.95138349,81023200.14650033,-477159.19511684775,224725312.67279953,1747027893.2436855,-1423260.313594315,1,0,81,Explotacion activa
82,1,EHO,poblacional,3380528.364340009,3380528.364340009,True,False,78923822.49512449,79400801.96435249,-476979.46922799945,217606383.2660972,1698427791.9634578,-1378173.7606852294,0,0,82,Explotacion activa
83,1,EHO,poblacional,3103820.785931622,3103820.785931622,True,False,79154857.58803673,79677509.54276088,-522651.9547241479,212440808.2198919,1649827690.6832292,-1346778.9514259377,0,0,83,Explotacion activa
84,1,EHO,poblacional,3103820.785931622,3103820.785931622,True,False,78164409.91943875,78627996.2927175,-463586.37327875197,192442459.17907372,1569232098.0812826,-1229366.2364002233,1,0,84,Explotacion activa
85,1,EHO,poblacional,2835581.9904090487,2835581.9904090487,True,False,74029122.25061579,74469141.78166522,-440019.53104943037,186728645.1674114,1472638759.8184774,-1189217.249559924,0,0,85,Explotacion activa
