rank,algoritmo,mean_rank,mean_lcoe,std_lcoe,median_lcoe,iqr_lcoe,ci95_low,ci95_high,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,Hybrid DTW,1.95,0.267160,0.000005,0.267159,0.000000,0.267159,0.267162,4.978322e-12,1.000000e+00,1.000000e+00,=
2,GWO,4.06,0.268395,0.004126,0.267160,0.000001,0.266943,0.269848,1.053566e-10,1.619570e-06,4.543835e-10,Peor (-) ***
3,VNS,5.00,0.267806,0.002469,0.267166,0.000013,0.266937,0.268675,2.718327e-11,1.381151e-06,1.816465e-10,Peor (-) ***
4,TS,5.52,0.267184,0.000031,0.267175,0.000018,0.267173,0.267195,3.374558e-06,9.313226e-10,9.449138e-11,Peor (-) ***
5,ILS,5.58,0.267183,0.000027,0.267171,0.000023,0.267174,0.267193,6.650169e-06,3.455207e-07,8.600059e-11,Peor (-) ***
6,ACO,5.68,0.273617,0.007941,0.267159,0.009365,0.270822,0.276413,4.020143e-06,4.178209e-04,4.386462e-06,Peor (-) ***
7,WOA,5.97,0.276477,0.009783,0.276524,0.019563,0.273033,0.279921,1.556734e-05,2.933384e-04,1.796760e-02,Peor (-) ***
8,PSO,7.00,0.280068,0.010658,0.286723,0.019563,0.276316,0.283820,2.700911e-05,8.043162e-05,7.862561e-04,Peor (-) ***
9,ABC,7.34,0.270993,0.003544,0.269869,0.007349,0.269746,0.272241,5.341171e-04,1.171430e-06,1.476736e-11,Peor (-) ***
10,EHO,8.06,0.278524,0.007637,0.276524,0.014128,0.275836,0.281213,1.074721e-04,2.287764e-06,3.577386e-09,Peor (-) ***
11,SA,9.84,0.290062,0.011983,0.289216,0.020207,0.285844,0.294280,1.057898e-01,9.313226e-10,9.339709e-12,Peor (-) ***
