iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,EHO,poblacional,52614.0,52614.0,False,False,,,,,,,0,0,1,Llenando ventana
2,1,EHO,poblacional,53315.0,53315.0,False,False,,,,,,,0,0,2,Llenando ventana
3,1,EHO,poblacional,53315.0,53315.0,False,False,,,,,,,1,0,3,Llenando ventana
4,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,0,0,4,Llenando ventana
5,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,1,0,5,Llenando ventana
6,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,2,0,6,Llenando ventana
7,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,3,0,7,Llenando ventana
8,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,4,0,8,Llenando ventana
9,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,5,0,9,Llenando ventana
10,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,6,0,10,Llenando ventana
11,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,7,0,11,Llenando ventana
12,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,8,0,12,Llenando ventana
13,1,EHO,poblacional,53522.0,53522.0,False,False,,,,,,,9,0,13,Llenando ventana
14,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,0,0,14,Llenando ventana
15,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,1,0,15,Llenando ventana
16,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,2,0,16,Llenando ventana
17,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,3,0,17,Llenando ventana
18,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,4,0,18,Llenando ventana
19,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,5,0,19,Llenando ventana
20,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,6,0,20,Llenando ventana
21,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,7,0,21,Llenando ventana
22,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,8,0,22,Llenando ventana
23,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,9,0,23,Llenando ventana
24,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,10,0,24,Llenando ventana
25,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,11,0,25,Llenando ventana
26,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,12,0,26,Llenando ventana
27,1,EHO,poblacional,53528.0,53528.0,False,False,,,,,,,13,0,27,Llenando ventana
28,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,0,0,28,Llenando ventana
29,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,1,0,29,Llenando ventana
30,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,2,0,30,Llenando ventana
31,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,3,0,31,Llenando ventana
32,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,4,0,32,Llenando ventana
33,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,5,0,33,Llenando ventana
34,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,6,0,34,Llenando ventana
35,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,7,0,35,Llenando ventana
36,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,8,0,36,Llenando ventana
37,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,9,0,37,Llenando ventana
38,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,10,0,38,Llenando ventana
39,1,EHO,poblacional,53681.0,53681.0,False,False,,,,,,,11,0,39,Llenando ventana
40,1,EHO,poblacional,53681.0,53681.0,True,False,1070.099999999984,1067.0,3.099999999983993,4.0,20.0,12.0,12,0,40,Explotacion activa
41,1,EHO,poblacional,53681.0,53681.0,True,False,369.3000000000102,366.0,3.3000000000101863,4.0,20.0,12.0,13,0,41,Explotacion activa
42,1,EHO,poblacional,53681.0,53681.0,True,False,369.3000000000102,366.0,3.3000000000101863,4.0,20.0,12.0,14,0,42,Explotacion activa
43,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999997817,159.0,3.499999999978172,4.0,20.0,12.0,15,0,43,Explotacion activa
44,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999997817,159.0,3.499999999978172,4.0,20.0,12.0,16,0,44,Explotacion activa
45,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999999272,159.0,3.499999999992724,4.0,20.0,12.0,17,0,45,Explotacion activa
46,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999997817,159.0,3.499999999978172,4.0,20.0,12.0,18,0,46,Explotacion activa
47,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999997817,159.0,3.499999999978172,4.0,20.0,12.0,19,0,47,Explotacion activa
48,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999997817,159.0,3.499999999978172,4.0,20.0,12.0,20,0,48,Explotacion activa
49,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999997817,159.0,3.499999999978172,159.0,224.53999999999792,3.499999999978172,21,1,49,Explotacion activa
50,1,EHO,poblacional,53681.0,53681.0,True,False,162.49999999999272,159.0,3.499999999992724,159.0,162.49999999999272,3.499999999978172,22,2,50,Explotacion activa
