Instancia          : mknapcb7_inst00 (Mejor Run #01)
Items / Restricc.  : 100 / 30
Mejor valor global : 21772.0
Optimo conocido    : 21946.0
Gap relativo       : 0.79%
Total switches     : 18

1. GA (poblacional) | mejor=21250.0 | 0.0s-1.0s | iters=62
2. VNS (trayectoria) | mejor=21250.0 | 1.0s-3.8s | iters=56
3. PSO (poblacional) | mejor=21250.0 | 3.8s-6.0s | iters=56
4. SA (trayectoria) | mejor=21772.0 | 6.0s-7.5s | iters=56
5. ACO (poblacional) | mejor=21772.0 | 7.5s-9.6s | iters=56
6. SA (trayectoria) | mejor=21772.0 | 9.6s-11.0s | iters=56
7. ACO (poblacional) | mejor=21772.0 | 11.0s-13.1s | iters=56
8. SA (trayectoria) | mejor=21772.0 | 13.1s-14.5s | iters=56
9. GA (poblacional) | mejor=21772.0 | 14.5s-15.4s | iters=62
10. ILS (trayectoria) | mejor=21772.0 | 15.4s-19.8s | iters=62
11. PSO (poblacional) | mejor=21772.0 | 19.8s-22.0s | iters=56
12. VNS (trayectoria) | mejor=21772.0 | 22.0s-25.5s | iters=56
13. WOA (poblacional) | mejor=21772.0 | 25.5s-27.8s | iters=62
14. TS (trayectoria) | mejor=21772.0 | 27.8s-28.5s | iters=56
15. EHO (poblacional) | mejor=21772.0 | 28.5s-30.7s | iters=56
16. VNS (trayectoria) | mejor=21772.0 | 30.7s-34.5s | iters=56
17. PSO (poblacional) | mejor=21772.0 | 34.5s-36.7s | iters=56
18. VNS (trayectoria) | mejor=21772.0 | 36.7s-40.2s | iters=56
