run,mejor_valor,n_switches,gap_pct,tiempo_s
1,112675.0,15,2.755722028515207,584.46
2,112642.0,17,2.7842027134325265,459.73
3,112514.0,16,2.894673248869403,723.44
4,113312.0,16,2.2059585045051264,676.56
5,113122.0,15,2.36993820554424,549.66
6,112621.0,16,2.8023267856526393,747.01
7,113019.0,16,2.4588324645286015,392.36
8,112083.0,17,3.2666482549107605,587.06
9,113252.0,16,2.2577415679911623,772.93
10,112165.0,17,3.1958780681465115,458.69
11,112393.0,17,2.9991024268995754,769.94
12,112554.0,16,2.860151206545379,774.49
13,112623.0,16,2.800600683536438,284.39
14,112417.0,16,2.978389201505161,474.62
15,113059.0,16,2.4243104222045777,774.20
16,111817.0,18,3.4962198363655195,335.84
17,112001.0,16,3.3374184416750095,752.18
18,112089.0,17,3.2614699485621568,411.20
19,112919.0,15,2.545137570338661,345.96
20,111985.0,15,3.3512272586046192,554.05
21,112694.0,16,2.7393240584112957,484.52
22,112940.0,16,2.527013498118549,625.35
23,112098.0,17,3.2537024890392514,471.00
24,112522.0,17,2.8877688404045982,539.33
25,113167.0,17,2.331100907929713,561.75
26,112708.0,17,2.7272413435978873,472.38
27,111940.0,17,3.390064556219146,233.72
28,112596.0,18,2.823903062105154,492.10
29,113310.0,17,2.207684606621328,589.68
30,112623.0,15,2.800600683536438,417.31
31,112489.0,16,2.916249525321918,456.26
