iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,PSO,poblacional,2105320.749103695,2105320.749103695,False,False,,,,,,,0,0,0,Llenando ventana
2,1,PSO,poblacional,57654.10463388579,57654.10463388579,False,False,,,,,,,0,0,0,Llenando ventana
3,1,PSO,poblacional,57654.10463388579,66643.11461690362,False,False,,,,,,,0,0,0,Llenando ventana
4,1,PSO,poblacional,57654.10463388579,83959.75011104708,False,False,,,,,,,0,0,0,Llenando ventana
5,1,PSO,poblacional,53662.10512968365,53662.10512968365,False,False,,,,,,,0,0,0,Llenando ventana
6,1,PSO,poblacional,38915.82657413131,38915.82657413131,False,False,,,,,,,0,0,0,Llenando ventana
7,1,PSO,poblacional,27709.29644887508,27709.29644887508,False,False,,,,,,,0,0,0,Llenando ventana
8,1,PSO,poblacional,27709.29644887508,42584.47185311258,False,False,,,,,,,0,0,0,Llenando ventana
9,1,PSO,poblacional,25781.843815750897,25781.843815750897,False,False,,,,,,,0,0,0,Llenando ventana
10,1,PSO,poblacional,25781.843815750897,34727.16698420386,False,False,,,,,,,0,0,0,Llenando ventana
11,1,PSO,poblacional,24639.99318510371,24639.99318510371,False,False,,,,,,,0,0,0,Llenando ventana
12,1,PSO,poblacional,23473.92505108602,23473.92505108602,False,False,,,,,,,0,0,0,Llenando ventana
13,1,PSO,poblacional,23473.92505108602,32527.496167278416,False,False,,,,,,,0,0,0,Llenando ventana
14,1,PSO,poblacional,19704.630372022028,19704.630372022028,False,False,,,,,,,0,0,0,Llenando ventana
15,1,PSO,poblacional,16034.100252021219,16034.100252021219,False,False,,,,,,,0,0,0,Llenando ventana
16,1,PSO,poblacional,16034.100252021219,26964.500147620765,False,False,,,,,,,0,0,0,Llenando ventana
17,1,PSO,poblacional,14886.04257624213,14886.04257624213,False,False,,,,,,,0,0,0,Llenando ventana
18,1,PSO,poblacional,14886.04257624213,17032.28639219108,False,False,,,,,,,0,0,0,Llenando ventana
19,1,PSO,poblacional,14886.04257624213,19342.682870784083,False,False,,,,,,,0,0,0,Llenando ventana
20,1,PSO,poblacional,14886.04257624213,17878.913264090723,False,False,,,,,,,0,0,0,Llenando ventana
21,1,PSO,poblacional,13466.41587412413,13466.41587412413,False,False,,,,,,,0,0,0,Llenando ventana
22,1,PSO,poblacional,13466.41587412413,17751.089356740435,False,False,,,,,,,0,0,0,Llenando ventana
23,1,PSO,poblacional,13466.41587412413,19443.316205754865,False,False,,,,,,,0,0,0,Llenando ventana
24,1,PSO,poblacional,13466.41587412413,16478.77222881136,False,False,,,,,,,0,0,0,Llenando ventana
25,1,PSO,poblacional,13466.41587412413,16426.133025438816,False,False,,,,,,,0,0,0,Llenando ventana
26,1,PSO,poblacional,13428.328025705901,13428.328025705901,False,False,,,,,,,0,0,0,Llenando ventana
