run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,300.0000001001065,7,3.33688300694727e-08,Óptimo alcanzado
2,300.00000000000006,5,1.8947806286936004e-14,Óptimo alcanzado
3,300.0000000000024,6,7.958078640513122e-13,Óptimo alcanzado
4,300.0000000000001,5,3.789561257387201e-14,Óptimo alcanzado
5,300.0000000000473,4,1.5764574830730755e-11,Óptimo alcanzado
6,300.0000034812702,7,1.1604233994451836e-06,Peor que el óptimo
7,300.00004871923926,7,1.623974641991784e-05,Peor que el óptimo
8,300.00000000000006,6,1.8947806286936004e-14,Óptimo alcanzado
9,300.0,6,0.0,Óptimo alcanzado
10,300.0000000001026,5,3.420079034791949e-11,Óptimo alcanzado
11,300.00000000000006,6,1.8947806286936004e-14,Óptimo alcanzado
12,300.0000000000014,7,4.736951571734002e-13,Óptimo alcanzado
13,300.00000000000006,5,1.8947806286936004e-14,Óptimo alcanzado
14,300.00000000047396,6,1.5798680882047242e-10,Óptimo alcanzado
15,300.0000000023532,5,7.844012846665768e-10,Óptimo alcanzado
16,300.00000000000375,5,1.2505552149377763e-12,Óptimo alcanzado
17,300.0014336957407,5,0.00047789858022421566,Peor que el óptimo
18,300.00000000000017,8,5.684341886080802e-14,Óptimo alcanzado
19,300.00000000000006,5,1.8947806286936004e-14,Óptimo alcanzado
20,300.00009882124107,5,3.294041368917533e-05,Peor que el óptimo
21,300.0000000004347,6,1.4489387467619963e-10,Óptimo alcanzado
22,300.0000002399063,5,7.996876168666252e-08,Óptimo alcanzado
23,300.0000000238026,7,7.934204404591583e-09,Óptimo alcanzado
24,300.00000023513263,5,7.837754386249192e-08,Óptimo alcanzado
25,300.00000000000006,5,1.8947806286936004e-14,Óptimo alcanzado
26,313.9881726622207,6,4.662724220740226,Peor que el óptimo
27,300.00000000000057,4,1.8947806286936006e-13,Óptimo alcanzado
28,300.0,5,0.0,Óptimo alcanzado
29,300.00000000000006,5,1.8947806286936004e-14,Óptimo alcanzado
30,300.00000000000887,5,2.9558577807620168e-12,Óptimo alcanzado
31,300.0000002662568,5,8.875226361245343e-08,Óptimo alcanzado
