run,Hybrid DTW,PSO,GWO,WOA,EHO,ACO
1,400.15859970505375,408.2412761992644,471.07911767055265,459.1998837367903,408.9161019277813,408.9161019277814
2,408.9161019277813,407.5541219846672,407.3912454776615,400.31844594947535,404.0035746673557,406.28617649044776
3,408.91610192778137,419.46166079670735,407.0932981513383,400.1246302441725,408.91610192778137,408.9161019277814
4,400.01086739014283,400.55272033824735,407.5542062505938,400.450774089304,400.0340424110896,400.2319913819761
5,404.63226223134416,408.2412761992644,443.295683351221,419.47375097261147,404.3331820089015,408.91610192778137
6,408.9161019277813,408.9161019277813,445.3999278084099,400.06770352210464,404.430957516985,408.9161019277814
7,408.9161019277813,408.00232488628467,409.20449852122704,419.48139781562713,404.3080137069326,408.91610192778137
8,408.9161020199742,408.9161019277813,469.70531908255674,400.03932841541,408.9161019277813,406.567537720217
9,404.3391736441668,408.2412761992644,410.040658609711,400.0245966968611,404.32327303788315,408.9161019277814
10,404.47404308975445,408.2412761992644,451.4024669551558,447.5072270513728,404.2905093740747,406.78066655251206
11,408.91610192778137,408.9161019277813,409.0218504639465,479.2041978751456,400.2686204037595,408.9161019277814
12,407.39837271416246,470.78108381405616,409.1079845522363,429.61134809368997,408.9161019277813,408.91610192778137
13,408.9161019277813,504.21233247170596,410.6609888241741,401.55650326118143,400.03288597283233,408.91610192778137
14,408.9161019277813,408.9161019277813,409.12126963253706,419.6356013813219,408.9161019277813,408.91610192778137
15,407.3228242944714,481.01451428719275,408.9688583714637,475.7453782360217,408.9161019277813,406.7871224631817
16,408.9161019277813,419.46166079670735,411.29497135073507,419.48403680864936,408.9161019277813,408.9161019277815
17,400.4143491545737,400.55272033824735,408.9394642945287,419.48602321083257,404.2809895111728,400.21635769948904
18,400.1061878201347,403.9872671751342,402.48132996906827,465.923592208042,400.1208441775596,408.91610192778137
19,408.9161019277813,408.2412761992644,407.09559489028356,404.1107190191314,404.2634876527894,406.8426544426453
20,408.9161019277813,408.2412761992644,405.68207800083036,408.9168637596621,404.3314487953983,408.9161019277814
21,408.9161019277813,408.9161019277813,409.7297492653309,408.92127287489143,408.9161019277813,405.53758385212814
22,408.9161019277813,400.55272033824735,408.90717704821895,400.7183814605973,404.33660680295003,406.6068839998337
23,408.9161019277813,408.9161019277813,408.9594107680715,404.86841776159076,400.1375706266849,406.67366793673045
24,400.0460814840432,432.9675919593968,407.5166898521348,401.7451573218667,404.03956034890723,406.6035822666119
25,408.9161019277813,408.9161019277813,406.62217310303095,472.1797360555096,408.9161019277813,406.47510923672456
26,408.91610696122467,408.2412761992644,409.2010687155001,419.5200651670655,404.103683111149,406.4531890310556
27,400.55272033824735,408.9161019277813,411.49827878892586,400.4894772493765,408.9161019277813,406.5209923568193
28,400.09087505176973,419.46166079670735,410.23906048426073,400.2842046811078,404.13169105274386,477.4213490767899
29,408.9161019277813,419.46166079670735,406.77344429520576,419.50510008078277,408.9161019277813,406.15301256321936
30,400.37418176502575,400.1133393406884,409.0168135808822,400.783770876208,404.3953008498048,405.9639527366067
31,404.3543970898452,408.9161019277813,406.5188896763387,408.9175896599834,404.34921817173336,406.401460953185
