iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,ACO,poblacional,703.9458957344798,748.7938024286474,False,False,,,,,,,0,0,1,Llenando ventana
2,1,ACO,poblacional,703.9458957344798,705.4397286486599,False,False,,,,,,,1,0,2,Llenando ventana
3,1,ACO,poblacional,703.9458957344798,719.906025078891,False,False,,,,,,,2,0,3,Llenando ventana
4,1,ACO,poblacional,703.9458957344798,716.513655461076,False,False,,,,,,,3,0,4,Llenando ventana
5,1,ACO,poblacional,703.9458957344798,722.5706184585081,False,False,,,,,,,4,0,5,Llenando ventana
6,1,ACO,poblacional,693.6626200334805,693.6626200334805,False,False,,,,,,,0,0,6,Llenando ventana
7,1,ACO,poblacional,673.6714364305856,673.6714364305856,False,False,,,,,,,0,0,7,Llenando ventana
8,1,ACO,poblacional,673.6714364305856,705.8384298961505,False,False,,,,,,,1,0,8,Llenando ventana
9,1,ACO,poblacional,673.6714364305856,703.3563805883024,False,False,,,,,,,2,0,9,Llenando ventana
10,1,ACO,poblacional,673.6714364305856,676.1475041647816,False,False,,,,,,,3,0,10,Llenando ventana
11,1,ACO,poblacional,673.6714364305856,675.7916374474172,False,False,,,,,,,4,0,11,Llenando ventana
12,1,ACO,poblacional,673.6714364305856,685.4326705653531,False,False,,,,,,,5,0,12,Llenando ventana
13,1,ACO,poblacional,656.1876347129826,656.1876347129826,False,False,,,,,,,0,0,13,Llenando ventana
14,1,ACO,poblacional,656.1876347129826,701.3295263489589,False,False,,,,,,,1,0,14,Llenando ventana
15,1,ACO,poblacional,656.1876347129826,680.819878116418,False,False,,,,,,,2,0,15,Llenando ventana
16,1,ACO,poblacional,656.1876347129826,686.4923106287483,False,False,,,,,,,3,0,16,Llenando ventana
17,1,ACO,poblacional,649.0467916719605,649.0467916719605,False,False,,,,,,,0,0,17,Llenando ventana
18,1,ACO,poblacional,649.0467916719605,678.5377704213131,False,False,,,,,,,1,0,18,Llenando ventana
19,1,ACO,poblacional,649.0467916719605,658.7718554263805,False,False,,,,,,,2,0,19,Llenando ventana
20,1,ACO,poblacional,649.0467916719605,671.4341295377667,False,False,,,,,,,3,0,20,Llenando ventana
21,1,ACO,poblacional,649.0467916719605,672.9370105278892,False,False,,,,,,,4,0,21,Llenando ventana
22,1,ACO,poblacional,649.0467916719605,682.0386109219496,False,False,,,,,,,5,0,22,Llenando ventana
23,1,ACO,poblacional,649.0467916719605,669.7784279172006,False,False,,,,,,,6,0,23,Llenando ventana
24,1,ACO,poblacional,642.817087876815,642.817087876815,False,False,,,,,,,0,0,24,Llenando ventana
25,1,ACO,poblacional,642.817087876815,663.9148291415255,False,False,,,,,,,1,0,25,Llenando ventana
26,1,ACO,poblacional,642.817087876815,660.6021201086423,False,False,,,,,,,2,0,26,Llenando ventana
27,1,ACO,poblacional,642.817087876815,653.4622621865793,False,False,,,,,,,3,0,27,Llenando ventana
28,1,ACO,poblacional,642.817087876815,667.5601805788302,False,False,,,,,,,4,0,28,Llenando ventana
29,1,ACO,poblacional,642.817087876815,652.9362108650291,False,False,,,,,,,5,0,29,Llenando ventana
30,1,ACO,poblacional,639.3064359137765,639.3064359137765,False,False,,,,,,,0,0,30,Llenando ventana
31,1,ACO,poblacional,639.3064359137765,652.7648493086459,False,False,,,,,,,1,0,31,Llenando ventana
32,1,ACO,poblacional,639.3064359137765,663.3107654803067,False,False,,,,,,,2,0,32,Llenando ventana
33,1,ACO,poblacional,639.3064359137765,656.8842353405829,False,False,,,,,,,3,0,33,Llenando ventana
34,1,ACO,poblacional,639.3064359137765,650.8331482547069,False,False,,,,,,,4,0,34,Llenando ventana
35,1,ACO,poblacional,639.3064359137765,648.2984645421677,False,False,,,,,,,5,0,35,Llenando ventana
36,1,ACO,poblacional,639.3064359137765,649.3539666984517,False,False,,,,,,,6,0,36,Llenando ventana
37,1,ACO,poblacional,639.3064359137765,662.7375311271505,False,False,,,,,,,7,0,37,Llenando ventana
38,1,ACO,poblacional,639.3064359137765,643.6167085353597,False,False,,,,,,,8,0,38,Llenando ventana
39,1,ACO,poblacional,639.3064359137765,640.986527790852,False,False,,,,,,,9,0,39,Llenando ventana
40,1,ACO,poblacional,632.9465315782096,632.9465315782096,False,False,,,,,,,0,0,40,Llenando ventana
41,1,ACO,poblacional,617.432161812088,617.432161812088,False,False,,,,,,,0,0,41,Llenando ventana
42,1,ACO,poblacional,617.432161812088,652.8108703133167,False,False,,,,,,,1,0,42,Llenando ventana
43,1,ACO,poblacional,617.432161812088,635.4419405448384,False,False,,,,,,,2,0,43,Llenando ventana
44,1,ACO,poblacional,617.432161812088,632.6718430827322,False,False,,,,,,,3,0,44,Llenando ventana
45,1,ACO,poblacional,617.432161812088,642.8760667182718,False,False,,,,,,,4,0,45,Llenando ventana
46,1,ACO,poblacional,617.432161812088,633.7507808555056,False,False,,,,,,,5,0,46,Llenando ventana
47,1,ACO,poblacional,617.432161812088,635.0320814051868,False,False,,,,,,,6,0,47,Llenando ventana
48,1,ACO,poblacional,617.432161812088,637.5398249373926,False,False,,,,,,,7,0,48,Llenando ventana
49,1,ACO,poblacional,617.432161812088,626.7769834996369,False,False,,,,,,,8,0,49,Llenando ventana
50,1,ACO,poblacional,617.432161812088,634.0013878945203,False,False,,,,,,,9,0,50,Llenando ventana
51,1,ACO,poblacional,617.432161812088,626.2076950424896,False,False,,,,,,,10,0,51,Llenando ventana
52,1,ACO,poblacional,617.432161812088,640.7462798541635,False,False,,,,,,,11,0,52,Llenando ventana
53,1,ACO,poblacional,617.432161812088,629.5333003228725,False,False,,,,,,,12,0,53,Llenando ventana
54,1,ACO,poblacional,617.432161812088,629.2806117804784,False,False,,,,,,,13,0,54,Llenando ventana
55,1,ACO,poblacional,617.432161812088,631.7106828256726,False,False,,,,,,,14,0,55,Llenando ventana
56,1,ACO,poblacional,617.432161812088,622.6878808974304,False,False,,,,,,,15,0,56,Llenando ventana
57,1,ACO,poblacional,617.432161812088,632.4291868467119,False,False,,,,,,,16,0,57,Llenando ventana
58,1,ACO,poblacional,617.432161812088,630.8120008577433,False,False,,,,,,,17,0,58,Llenando ventana
59,1,ACO,poblacional,617.432161812088,633.72952844742,False,False,,,,,,,18,0,59,Llenando ventana
60,1,ACO,poblacional,617.432161812088,631.1254524086856,False,False,,,,,,,19,0,60,Llenando ventana
61,1,ACO,poblacional,617.432161812088,619.9513628681398,False,False,,,,,,,20,0,61,Llenando ventana
62,1,ACO,poblacional,617.432161812088,625.0606473912496,False,False,,,,,,,21,0,62,Llenando ventana
63,1,ACO,poblacional,617.432161812088,618.1284783917058,False,False,,,,,,,22,0,63,Llenando ventana
64,1,ACO,poblacional,617.432161812088,624.3025208549473,False,False,,,,,,,23,0,64,Llenando ventana
65,1,ACO,poblacional,617.432161812088,624.1903233556072,False,False,,,,,,,24,0,65,Llenando ventana
66,1,ACO,poblacional,617.432161812088,626.8215976023267,False,False,,,,,,,25,0,66,Llenando ventana
67,1,ACO,poblacional,617.432161812088,618.428827295031,False,False,,,,,,,26,0,67,Llenando ventana
68,1,ACO,poblacional,614.4821485716715,614.4821485716715,False,False,,,,,,,0,0,68,Llenando ventana
69,1,ACO,poblacional,614.4821485716715,620.1257841106419,False,False,,,,,,,1,0,69,Llenando ventana
70,1,ACO,poblacional,614.4821485716715,615.9236724764809,False,False,,,,,,,2,0,70,Llenando ventana
71,1,ACO,poblacional,614.4821485716715,621.8706339965648,False,False,,,,,,,3,0,71,Llenando ventana
72,1,ACO,poblacional,614.4821485716715,619.9742897082717,False,False,,,,,,,4,0,72,Llenando ventana
73,1,ACO,poblacional,614.4821485716715,616.4125869020904,False,False,,,,,,,5,0,73,Llenando ventana
74,1,ACO,poblacional,611.9370477864494,611.9370477864494,False,False,,,,,,,0,0,74,Llenando ventana
