run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,812.0000000001648,6,1.5000000000206057,Peor que el óptimo
2,809.2741001318363,8,1.1592625164795436,Peor que el óptimo
3,815.0,9,1.875,Peor que el óptimo
4,820.0,6,2.5,Peor que el óptimo
5,818.0,10,2.25,Peor que el óptimo
6,815.0,10,1.875,Peor que el óptimo
7,815.0,8,1.875,Peor que el óptimo
8,808.0,8,1.0,Peor que el óptimo
9,814.0,8,1.75,Peor que el óptimo
10,815.0,9,1.875,Peor que el óptimo
11,819.0,8,2.375,Peor que el óptimo
12,817.0,9,2.125,Peor que el óptimo
13,826.0,7,3.25,Peor que el óptimo
14,824.0,8,3.0,Peor que el óptimo
15,824.7220930572149,8,3.090261632151865,Peor que el óptimo
16,812.0,7,1.5,Peor que el óptimo
17,827.0,9,3.375,Peor que el óptimo
18,813.0,8,1.625,Peor que el óptimo
19,810.0,8,1.25,Peor que el óptimo
20,819.0,6,2.375,Peor que el óptimo
21,819.0,8,2.375,Peor que el óptimo
22,814.0,8,1.75,Peor que el óptimo
23,816.0,10,2.0,Peor que el óptimo
24,815.0,9,1.875,Peor que el óptimo
25,821.0000000000257,8,2.6250000000032117,Peor que el óptimo
26,815.0,9,1.875,Peor que el óptimo
27,822.0000000000323,6,2.750000000004036,Peor que el óptimo
28,811.0,9,1.375,Peor que el óptimo
29,813.0,10,1.625,Peor que el óptimo
30,813.0,8,1.625,Peor que el óptimo
31,812.0,9,1.5,Peor que el óptimo
