iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,ACO,poblacional,3548.5243490451926,3548.5243490451926,False,False,,,,,,,0,0,1,Llenando ventana
2,1,ACO,poblacional,3548.5243490451926,3611.3680924568393,False,False,,,,,,,1,0,2,Llenando ventana
3,1,ACO,poblacional,3548.5243490451926,3560.714562785968,False,False,,,,,,,2,0,3,Llenando ventana
4,1,ACO,poblacional,2484.723279675843,2484.723279675843,False,False,,,,,,,0,0,4,Llenando ventana
5,1,ACO,poblacional,2484.723279675843,3127.228056287125,False,False,,,,,,,1,0,5,Llenando ventana
6,1,ACO,poblacional,2484.723279675843,2642.181871519957,False,False,,,,,,,2,0,6,Llenando ventana
7,1,ACO,poblacional,2484.723279675843,3090.718966194018,False,False,,,,,,,3,0,7,Llenando ventana
8,1,ACO,poblacional,2484.723279675843,3646.9601461298007,False,False,,,,,,,4,0,8,Llenando ventana
9,1,ACO,poblacional,2484.723279675843,2720.512472337816,False,False,,,,,,,5,0,9,Llenando ventana
10,1,ACO,poblacional,2019.0914495579618,2019.0914495579618,False,False,,,,,,,0,0,10,Llenando ventana
11,1,ACO,poblacional,2019.0914495579618,2473.760541478703,False,False,,,,,,,1,0,11,Llenando ventana
12,1,ACO,poblacional,2019.0914495579618,2410.1098848249862,False,False,,,,,,,2,0,12,Llenando ventana
13,1,ACO,poblacional,1884.5036207639298,1884.5036207639298,False,False,,,,,,,0,0,13,Llenando ventana
14,1,ACO,poblacional,1884.5036207639298,1944.8152525753699,False,False,,,,,,,1,0,14,Llenando ventana
15,1,ACO,poblacional,1597.4322189180264,1597.4322189180264,False,False,,,,,,,0,0,15,Llenando ventana
16,1,ACO,poblacional,1597.4322189180264,2168.2987634007745,False,False,,,,,,,1,0,16,Llenando ventana
