run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,902.1820708950876,5,0.24245232167639744,Peor que el óptimo
2,900.9086480371819,5,0.10096089302021483,Peor que el óptimo
3,900.0000000000008,5,8.842309600570136e-14,Óptimo alcanzado
4,900.0000685952981,4,7.621699789221263e-06,Peor que el óptimo
5,920.1129721778807,4,2.234774686431188,Peor que el óptimo
6,900.0000000000002,7,2.5263741715914672e-14,Óptimo alcanzado
7,900.0000000000189,5,2.0968905624209177e-12,Óptimo alcanzado
8,900.0000000000003,8,3.789561257387201e-14,Óptimo alcanzado
9,900.179056500833,8,0.019895166759220553,Peor que el óptimo
10,900.000000000001,8,1.1368683772161603e-13,Óptimo alcanzado
11,900.0000000000001,6,1.2631870857957336e-14,Óptimo alcanzado
12,900.0000000000001,8,1.2631870857957336e-14,Óptimo alcanzado
13,900.0000000000005,4,5.0527483431829344e-14,Óptimo alcanzado
14,900.0000000000001,5,1.2631870857957336e-14,Óptimo alcanzado
15,924.7449107437017,4,2.749434527077963,Peor que el óptimo
16,900.0895282504165,7,0.009947583379610277,Peor que el óptimo
17,900.0000072648548,5,8.072060937694106e-07,Peor que el óptimo
18,900.4543240185911,8,0.05048044651012636,Peor que el óptimo
19,900.5438522690184,7,0.060428029890936666,Peor que el óptimo
20,900.0000000000002,7,2.5263741715914672e-14,Óptimo alcanzado
21,900.0000000000002,6,2.5263741715914672e-14,Óptimo alcanzado
22,900.0000000000006,5,6.315935428978669e-14,Óptimo alcanzado
23,900.000001073707,5,1.1930078219140543e-07,Peor que el óptimo
24,900.0000896629975,5,9.962555282072572e-06,Peor que el óptimo
25,900.0895282504167,5,0.00994758337963554,Peor que el óptimo
26,900.0002933654586,5,3.259616206226686e-05,Peor que el óptimo
27,900.5438522691818,4,0.06042802990908866,Peor que el óptimo
28,900.0004476922174,4,4.974357971655586e-05,Peor que el óptimo
29,900.4543240185915,5,0.050480446510164256,Peor que el óptimo
30,900.0000000000014,5,1.5158245029548803e-13,Óptimo alcanzado
31,901.5420285566057,5,0.17133650628952385,Peor que el óptimo
