iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,GWO,poblacional,2392.680299643908,2392.680299643908,False,False,,,,,,,0,0,1,Llenando ventana
2,1,GWO,poblacional,2392.680299643908,2392.680299643908,False,False,,,,,,,1,0,2,Llenando ventana
3,1,GWO,poblacional,2350.8160072431915,2350.8160072431915,False,False,,,,,,,0,0,3,Llenando ventana
4,1,GWO,poblacional,2350.8160072431915,2350.8160072431915,False,False,,,,,,,1,0,4,Llenando ventana
5,1,GWO,poblacional,2328.2090616401315,2328.2090616401315,False,False,,,,,,,0,0,5,Llenando ventana
6,1,GWO,poblacional,2311.879508529181,2311.879508529181,False,False,,,,,,,0,0,6,Llenando ventana
7,1,GWO,poblacional,2284.3527680379043,2284.3527680379043,False,False,,,,,,,0,0,7,Llenando ventana
8,1,GWO,poblacional,2284.3527680379043,2284.3527680379043,False,False,,,,,,,1,0,8,Llenando ventana
9,1,GWO,poblacional,2269.6034616667434,2269.6034616667434,False,False,,,,,,,0,0,9,Llenando ventana
10,1,GWO,poblacional,2269.6034616667434,2269.6034616667434,False,False,,,,,,,1,0,10,Llenando ventana
11,1,GWO,poblacional,2269.6034616667434,2269.6034616667434,False,False,,,,,,,2,0,11,Llenando ventana
12,1,GWO,poblacional,2269.6034616667434,2269.6034616667434,False,False,,,,,,,3,0,12,Llenando ventana
13,1,GWO,poblacional,2262.7024518494873,2262.7024518494873,False,False,,,,,,,0,0,13,Llenando ventana
14,1,GWO,poblacional,2260.1541799522192,2260.1541799522192,False,False,,,,,,,0,0,14,Llenando ventana
15,1,GWO,poblacional,2260.1541799522192,2260.1541799522192,False,False,,,,,,,1,0,15,Llenando ventana
16,1,GWO,poblacional,2260.1541799522192,2260.1541799522192,False,False,,,,,,,2,0,16,Llenando ventana
17,1,GWO,poblacional,2254.975106872398,2254.975106872398,False,False,,,,,,,0,0,17,Llenando ventana
18,1,GWO,poblacional,2254.975106872398,2254.975106872398,False,False,,,,,,,1,0,18,Llenando ventana
19,1,GWO,poblacional,2254.975106872398,2254.975106872398,False,False,,,,,,,2,0,19,Llenando ventana
20,1,GWO,poblacional,2254.975106872398,2254.975106872398,False,False,,,,,,,3,0,20,Llenando ventana
21,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,0,0,21,Llenando ventana
22,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,1,0,22,Llenando ventana
23,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,2,0,23,Llenando ventana
24,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,3,0,24,Llenando ventana
25,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,4,0,25,Llenando ventana
26,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,5,0,26,Llenando ventana
27,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,6,0,27,Llenando ventana
28,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,7,0,28,Llenando ventana
29,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,8,0,29,Llenando ventana
30,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,9,0,30,Llenando ventana
31,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,10,0,31,Llenando ventana
32,1,GWO,poblacional,2249.815360651627,2249.815360651627,False,False,,,,,,,11,0,32,Llenando ventana
33,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,0,0,33,Llenando ventana
34,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,1,0,34,Llenando ventana
35,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,2,0,35,Llenando ventana
36,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,3,0,36,Llenando ventana
37,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,4,0,37,Llenando ventana
38,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,5,0,38,Llenando ventana
39,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,6,0,39,Llenando ventana
40,1,GWO,poblacional,2240.8031217842577,2240.8031217842577,False,False,,,,,,,7,0,40,Llenando ventana
