run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,2225.4637560372034,7,1.15744345623652,Peor que el óptimo
2,2220.292519849343,5,0.9223872658792309,Peor que el óptimo
3,2220.108258915744,8,0.9140117688974566,Peor que el óptimo
4,2221.866175292551,7,0.993917058752314,Peor que el óptimo
5,2220.940519125463,6,0.9518417784301453,Peor que el óptimo
6,2221.825225848519,7,0.9920557203872291,Peor que el óptimo
7,2206.668749296076,8,0.30312496800345134,Peor que el óptimo
8,2223.2423637665797,7,1.0564710802990787,Peor que el óptimo
9,2220.7602810955655,7,0.9436491407075209,Peor que el óptimo
10,2221.2225293772817,7,0.9646604262400781,Peor que el óptimo
11,2222.6665623858416,7,1.0302982902655293,Peor que el óptimo
12,2223.180138509084,6,1.0536426595038144,Peor que el óptimo
13,2220.105418479848,6,0.9138826581749154,Peor que el óptimo
14,2222.6892443444463,6,1.0313292883839205,Peor que el óptimo
15,2220.2668872198883,4,0.9212221463585593,Peor que el óptimo
16,2220.3579361071525,5,0.9253607321432934,Peor que el óptimo
17,2220.183195067222,7,0.9174179576010085,Peor que el óptimo
18,2225.2939357126893,8,1.149724350576786,Peor que el óptimo
19,2220.43011372432,6,0.9286415329236413,Peor que el óptimo
20,2220.84900624494,8,0.9476821020427285,Peor que el óptimo
21,2221.7008021445213,7,0.9864000974782399,Peor que el óptimo
22,2220.667803901972,8,0.9394456319078224,Peor que el óptimo
23,2221.785951861258,6,0.9902705391480967,Peor que el óptimo
24,2220.1366012851067,7,0.9153000584139425,Peor que el óptimo
25,2221.0947704296095,6,0.9588532013458875,Peor que el óptimo
26,2201.2137464395278,6,0.055170292705807616,Peor que el óptimo
27,2220.4351605800634,8,0.928870935457429,Peor que el óptimo
28,2221.240012571045,7,0.9654551168656863,Peor que el óptimo
29,2221.6111991020975,8,0.9823272319135247,Peor que el óptimo
30,2220.153087931298,5,0.9160494514226436,Peor que el óptimo
31,2222.0018199204114,8,1.0000827236550653,Peor que el óptimo
