run,mejor_valor,n_switches,gap_optimo_pct,resultado_frente_optimo
1,2600.0000000002174,7,8.360355143220378e-12,Óptimo alcanzado
2,2601.506652803918,4,0.05794818476607151,Peor que el óptimo
3,3000.0000000000045,5,15.384615384615557,Peor que el óptimo
4,2750.4271638647424,7,5.785660148643938,Peor que el óptimo
5,2750.4640103718243,9,5.787077321993243,Peor que el óptimo
6,2750.42765626787,6,5.785679087225774,Peor que el óptimo
7,2600.0000000000055,7,2.098833927168296e-13,Óptimo alcanzado
8,2600.0000000000027,7,1.049416963584148e-13,Óptimo alcanzado
9,2750.487758502816,7,5.787990711646776,Peor que el óptimo
10,2750.4273267073845,4,5.785666411822481,Peor que el óptimo
11,2600.000000000208,5,7.993059205965927e-12,Óptimo alcanzado
12,2600.000000000001,5,3.4980565452804934e-14,Óptimo alcanzado
13,2600.0000000000005,4,1.7490282726402467e-14,Óptimo alcanzado
14,2600.0000000090336,5,3.47444466359985e-10,Óptimo alcanzado
15,2600.000000000051,5,1.958911665357076e-12,Óptimo alcanzado
16,2750.473194197573,4,5.787430546060495,Peor que el óptimo
17,2600.0000000331956,5,1.2767556584619273e-09,Óptimo alcanzado
18,2750.4272936792336,7,5.785665141508984,Peor que el óptimo
19,2600.0000000269074,7,1.034900028921234e-09,Óptimo alcanzado
20,2600.000000977257,5,3.758680997214889e-08,Óptimo alcanzado
21,2600.000000000001,5,3.4980565452804934e-14,Óptimo alcanzado
22,2600.0000002483825,5,9.553174934878301e-09,Óptimo alcanzado
23,2600.0000000000064,7,2.448639581696345e-13,Óptimo alcanzado
24,2750.427715487065,5,5.785681364887121,Peor que el óptimo
25,2600.0000000129126,7,4.96636578016198e-10,Óptimo alcanzado
26,2600.03253150463,6,0.0012512117165302838,Peor que el óptimo
27,2600.0000000000014,4,5.24708481792074e-14,Óptimo alcanzado
28,2600.000000000005,6,1.9239310999042713e-13,Óptimo alcanzado
29,2600.000000000034,6,1.311771204480185e-12,Óptimo alcanzado
30,2600.0000000000005,5,1.7490282726402467e-14,Óptimo alcanzado
31,2600.292327450504,6,0.011243363480931433,Peor que el óptimo
