run,Hybrid DTW,PSO,GWO,WOA,EHO,ACO
1,2860.6801761305433,2864.27711740797,2863.4960734614006,2937.0771048730617,2868.671166438131,2865.2126055976614
2,2865.3595967633814,2873.911936585885,2863.500461064657,2964.291776853896,2863.8891564018445,2865.441414939869
3,2863.1891689891145,2868.3106914522523,2863.51743860393,2909.0363406600854,2865.0980611161303,2865.2126055976614
4,2865.79015089874,2890.042636903052,2865.718951730138,2917.4103360701147,2862.567376357956,2863.7148495493293
5,2865.2126055976614,2887.515294411064,2865.161472782272,2887.572914954223,2867.4776529741603,2863.8777509731344
6,2863.494835240526,2871.544849945222,2863.88345421043,2942.8725299262164,2862.135889787183,2865.2126055976614
7,2865.8995712440783,2887.851561654428,2885.5377750686553,2986.3524917246264,2862.567376357956,2863.877756943171
8,2862.8458529176314,2869.522662471983,2862.8600014615326,2971.9032741314795,2860.475868882498,2863.8777517529957
9,2864.975867633901,2873.911936585885,2863.894686125937,2905.7085910070978,2863.4948352028796,2865.2126055976614
10,2864.9310079029074,2865.4347379315195,2863.5015506482823,2950.915977478022,2865.1440660601497,2863.189165895656
11,2863.7148495493293,2869.522662471983,2865.800276266763,2928.7744304718262,2866.6619638455395,2863.7148495493293
12,2863.7148496364034,2870.964562874938,2864.786074009203,2968.5795644567243,2862.567376357956,2865.441414939869
13,2861.404880758749,2937.132624248756,2864.3804120016725,2925.6354273949605,2865.441414939869,2862.7001305353288
14,2863.8779651545756,2872.0630352319354,2863.9365496332557,3035.510290910682,2863.609326646011,2863.87774273554
15,2863.877930614416,2922.391779692177,2864.730469985996,2918.560675328047,2864.9219415680004,2864.975867633901
16,2863.7148495493293,2873.911936585885,2860.1576190074356,2952.9018036722928,2864.2779206744763,2863.7148495493293
17,2863.9245121344175,2871.544849945222,2863.5792058403904,2904.0924057183665,2862.135888457346,2863.9245121342897
18,2861.4048807587496,2867.750480696205,2864.742393547714,2938.8341654586075,2866.6619638455395,2865.2126055976614
19,2863.4948352028796,2873.911936585885,2863.496222132859,3028.976494725598,2864.9310079029083,2865.0973210317643
20,2862.567376357956,2864.4584241631974,2863.4979298761746,3041.0889665776326,2863.2657691521817,2862.5673763579607
21,2863.878681509317,2987.4308225701016,2863.5079562875626,3094.1942619545757,2867.185272390249,2865.1810660564524
22,2863.49483520288,2867.646320280552,2862.8684710757693,2970.2443043402714,2865.349469167849,2865.2126055976614
23,2863.49483520288,2869.522662471983,2865.0281176762746,3051.806258391035,2865.2126055976614,2863.640833546946
24,2864.5180511275,2873.911936585885,2862.711718554482,3064.4204493158463,2864.9219415680004,2865.790784484825
25,2866.682300035786,2871.9434106764147,2863.500830947561,2872.4159501313,2864.285342921741,2863.8777478633237
26,2863.874851978324,2868.3106914522523,2863.8745779609135,2875.115193472601,2867.3881351139885,2864.975867633901
27,2863.889159078395,2869.522662471983,2863.503800834091,2977.2588230593155,2864.0290546686883,2865.2126055976614
28,2865.2126055976614,2871.3806994577653,2865.718242374796,2893.3215041817416,2864.9219415680004,2863.8777706718274
29,2863.4948352367705,2867.646320280552,2863.5058852056895,3003.2983711385154,2865.349693830816,2863.877733683622
30,2863.924512134289,2863.2657691521817,2865.04339829681,2967.5248130329537,2865.2126055976614,2863.8778191646165
31,2865.275682323012,2876.682354491725,2864.7999876006184,2935.495210529898,2875.798616755166,2876.284399645121
