funcion,n_dim,n_runs,media,std,mediana,mejor,mejor_run,peor,valor_optimo,resultado_mejor_frente_optimo
F1_Shifted_Rotated_Zakharov,10,31,300.4512825241402,2.512340496305574,300.00000000000887,300.0,9,313.9881726622207,300.0,Óptimo alcanzado
F2_Shifted_Rotated_Rosenbrock,10,31,405.99511850550505,3.7662980832505073,408.9161019277813,400.01086739014283,4,408.91610696122467,400.0,Peor que el óptimo
F3_Shifted_Rotated_Expanded_Schaffers_F7,10,31,603.534402686536,5.945872172016127,601.4168426649096,600.0108161797967,14,627.6679544375305,600.0,Peor que el óptimo
F4_Shifted_Rotated_NonContinuous_Rastrigin,10,31,816.2579417157831,4.923582992576416,815.0,808.0,8,827.0,800.0,Peor que el óptimo
F5_Shifted_Rotated_Levy,10,31,901.6724517303892,5.595086264175782,900.0000685952981,900.0000000000001,11,924.7449107437017,900.0,Óptimo alcanzado
F6_Hybrid_Function_1,10,31,3488.5969655081594,1821.9853139770264,2718.090658124325,1846.429084787387,2,7923.928513064272,1800.0,Peor que el óptimo
F7_Hybrid_Function_2,10,31,2020.4325277615703,9.159555078804129,2021.722811044055,2000.5009879668971,12,2043.4207389014875,2000.0,Peor que el óptimo
F8_Hybrid_Function_3,10,31,2220.3372184698924,4.644297847388988,2220.940519125463,2201.2137464395278,26,2225.4637560372034,2200.0,Peor que el óptimo
F9_Composition_Function_1,10,31,2529.28438270913,3.581940363220381e-09,2529.284382708487,2529.284382708487,1,2529.2843827284305,2300.0,Peor que el óptimo
F10_Composition_Function_2,10,31,2522.9451649186203,46.72840627085455,2500.513584234757,2500.258225045165,13,2632.5276220968317,2400.0,Peor que el óptimo
F11_Composition_Function_3,10,31,2651.786891359541,92.72436523315649,2600.0000000269074,2600.0000000000005,13,3000.0000000000045,2600.0,Óptimo alcanzado
F12_Composition_Function_4,10,31,2863.9295520149058,1.3228030195869633,2863.877930614416,2860.6801761305433,1,2866.682300035786,2700.0,Peor que el óptimo
