iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,ACO,poblacional,49815.0,49217.0,False,False,,,,,,,0,0,1,Llenando ventana
2,1,ACO,poblacional,49815.0,49375.0,False,False,,,,,,,1,0,2,Llenando ventana
3,1,ACO,poblacional,50193.0,50193.0,False,False,,,,,,,0,0,3,Llenando ventana
4,1,ACO,poblacional,50193.0,50188.0,False,False,,,,,,,1,0,4,Llenando ventana
5,1,ACO,poblacional,50386.0,50386.0,False,False,,,,,,,0,0,5,Llenando ventana
6,1,ACO,poblacional,50443.0,50443.0,False,False,,,,,,,0,0,6,Llenando ventana
7,1,ACO,poblacional,50443.0,49740.0,False,False,,,,,,,1,0,7,Llenando ventana
8,1,ACO,poblacional,50576.0,50576.0,False,False,,,,,,,0,0,8,Llenando ventana
9,1,ACO,poblacional,50576.0,50338.0,False,False,,,,,,,1,0,9,Llenando ventana
10,1,ACO,poblacional,51412.0,51412.0,False,False,,,,,,,0,0,10,Llenando ventana
11,1,ACO,poblacional,52320.0,52320.0,False,False,,,,,,,0,0,11,Llenando ventana
12,1,ACO,poblacional,52320.0,50385.0,False,False,,,,,,,1,0,12,Llenando ventana
13,1,ACO,poblacional,52320.0,51509.0,False,False,,,,,,,2,0,13,Llenando ventana
14,1,ACO,poblacional,52320.0,50274.0,False,False,,,,,,,3,0,14,Llenando ventana
15,1,ACO,poblacional,52320.0,51416.0,False,False,,,,,,,4,0,15,Llenando ventana
16,1,ACO,poblacional,52320.0,51429.0,False,False,,,,,,,5,0,16,Llenando ventana
17,1,ACO,poblacional,52930.0,52930.0,False,False,,,,,,,0,0,17,Llenando ventana
18,1,ACO,poblacional,52930.0,51885.0,False,False,,,,,,,1,0,18,Llenando ventana
19,1,ACO,poblacional,52930.0,51902.0,False,False,,,,,,,2,0,19,Llenando ventana
20,1,ACO,poblacional,52930.0,52174.0,False,False,,,,,,,3,0,20,Llenando ventana
21,1,ACO,poblacional,52930.0,52424.0,False,False,,,,,,,4,0,21,Llenando ventana
22,1,ACO,poblacional,53310.0,53310.0,False,False,,,,,,,0,0,22,Llenando ventana
23,1,ACO,poblacional,53310.0,53047.0,False,False,,,,,,,1,0,23,Llenando ventana
24,1,ACO,poblacional,53310.0,52714.0,False,False,,,,,,,2,0,24,Llenando ventana
25,1,ACO,poblacional,53310.0,52976.0,False,False,,,,,,,3,0,25,Llenando ventana
26,1,ACO,poblacional,53552.0,53552.0,False,False,,,,,,,0,0,26,Llenando ventana
27,1,ACO,poblacional,53552.0,52952.0,False,False,,,,,,,1,0,27,Llenando ventana
28,1,ACO,poblacional,53567.0,53567.0,False,False,,,,,,,0,0,28,Llenando ventana
29,1,ACO,poblacional,53567.0,53416.0,False,False,,,,,,,1,0,29,Llenando ventana
30,1,ACO,poblacional,53704.0,53704.0,False,False,,,,,,,0,0,30,Llenando ventana
31,1,ACO,poblacional,53704.0,53102.0,False,False,,,,,,,1,0,31,Llenando ventana
32,1,ACO,poblacional,53704.0,53151.0,False,False,,,,,,,2,0,32,Llenando ventana
33,1,ACO,poblacional,53704.0,53282.0,False,False,,,,,,,3,0,33,Llenando ventana
34,1,ACO,poblacional,54355.0,54355.0,False,False,,,,,,,0,0,34,Llenando ventana
35,1,ACO,poblacional,54355.0,53006.0,False,False,,,,,,,1,0,35,Llenando ventana
36,1,ACO,poblacional,54355.0,54274.0,False,False,,,,,,,2,0,36,Llenando ventana
37,1,ACO,poblacional,54355.0,53556.0,False,False,,,,,,,3,0,37,Llenando ventana
38,1,ACO,poblacional,54355.0,53294.0,False,False,,,,,,,4,0,38,Llenando ventana
39,1,ACO,poblacional,54355.0,53154.0,False,False,,,,,,,5,0,39,Llenando ventana
40,1,ACO,poblacional,54355.0,52862.0,False,False,,,,,,,6,0,40,Llenando ventana
41,1,ACO,poblacional,54355.0,53583.0,False,False,,,,,,,7,0,41,Llenando ventana
42,1,ACO,poblacional,54355.0,53744.0,False,False,,,,,,,8,0,42,Llenando ventana
43,1,ACO,poblacional,54355.0,54121.0,False,False,,,,,,,9,0,43,Llenando ventana
44,1,ACO,poblacional,54355.0,53062.0,False,False,,,,,,,10,0,44,Llenando ventana
45,1,ACO,poblacional,54355.0,53044.0,False,False,,,,,,,11,0,45,Llenando ventana
46,1,ACO,poblacional,54355.0,52950.0,False,False,,,,,,,12,0,46,Llenando ventana
47,1,ACO,poblacional,54355.0,53383.0,False,False,,,,,,,13,0,47,Llenando ventana
48,1,ACO,poblacional,54355.0,53881.0,False,False,,,,,,,14,0,48,Llenando ventana
49,1,ACO,poblacional,54355.0,53848.0,False,False,,,,,,,15,0,49,Llenando ventana
50,1,ACO,poblacional,54355.0,54202.0,False,False,,,,,,,16,0,50,Llenando ventana
51,1,ACO,poblacional,54355.0,53314.0,False,False,,,,,,,17,0,51,Llenando ventana
52,1,ACO,poblacional,54355.0,53608.0,False,False,,,,,,,18,0,52,Llenando ventana
53,1,ACO,poblacional,54355.0,53993.0,False,False,,,,,,,19,0,53,Llenando ventana
54,1,ACO,poblacional,54355.0,52843.0,False,False,,,,,,,20,0,54,Llenando ventana
55,1,ACO,poblacional,54355.0,54029.0,False,False,,,,,,,21,0,55,Llenando ventana
56,1,ACO,poblacional,54355.0,53880.0,False,False,,,,,,,22,0,56,Llenando ventana
57,1,ACO,poblacional,54355.0,53155.0,False,False,,,,,,,23,0,57,Llenando ventana
58,1,ACO,poblacional,54355.0,52937.0,False,False,,,,,,,24,0,58,Llenando ventana
59,1,ACO,poblacional,54355.0,54151.0,False,False,,,,,,,25,0,59,Llenando ventana
60,1,ACO,poblacional,54355.0,53122.0,False,False,,,,,,,26,0,60,Llenando ventana
61,1,ACO,poblacional,54355.0,53101.0,False,False,,,,,,,27,0,61,Llenando ventana
62,1,ACO,poblacional,54355.0,53665.0,False,False,,,,,,,28,0,62,Llenando ventana
63,1,ACO,poblacional,54355.0,53787.0,False,False,,,,,,,29,0,63,Llenando ventana
64,1,ACO,poblacional,54451.0,54451.0,False,False,,,,,,,0,0,64,Llenando ventana
65,1,ACO,poblacional,54451.0,53948.0,False,False,,,,,,,1,0,65,Llenando ventana
66,1,ACO,poblacional,54451.0,54163.0,False,False,,,,,,,2,0,66,Llenando ventana
67,1,ACO,poblacional,54451.0,53880.0,False,False,,,,,,,3,0,67,Llenando ventana
68,1,ACO,poblacional,54451.0,54017.0,False,False,,,,,,,4,0,68,Llenando ventana
69,1,ACO,poblacional,54451.0,53498.0,False,False,,,,,,,5,0,69,Llenando ventana
70,1,ACO,poblacional,54451.0,54091.0,False,False,,,,,,,6,0,70,Llenando ventana
71,1,ACO,poblacional,54529.0,54529.0,False,False,,,,,,,0,0,71,Llenando ventana
72,1,ACO,poblacional,54529.0,53303.0,False,False,,,,,,,1,0,72,Llenando ventana
73,1,ACO,poblacional,54529.0,53521.0,False,False,,,,,,,2,0,73,Llenando ventana
74,1,ACO,poblacional,54529.0,53776.0,False,False,,,,,,,3,0,74,Llenando ventana
75,1,ACO,poblacional,54529.0,54202.0,True,False,272720.9,273043.0,-322.0999999999767,7.5,37.5,22.5,4,0,75,Explotacion activa
76,1,ACO,poblacional,54529.0,54223.0,True,False,277433.29999999993,277757.0,-323.70000000006985,7.5,37.5,22.5,5,0,76,Explotacion activa
77,1,ACO,poblacional,54529.0,53893.0,True,False,253798.90000000002,254121.0,-322.0999999999767,7.5,37.5,22.5,6,0,77,Explotacion activa
78,1,ACO,poblacional,54529.0,54294.0,True,False,258133.30000000005,258457.0,-323.69999999995343,7.5,37.5,22.5,7,0,78,Explotacion activa
