iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,PSO,poblacional,151613.13930878183,151613.13930878183,False,False,,,,,,,0,0,0,Llenando ventana
2,1,PSO,poblacional,23345.03805421222,23345.03805421222,False,False,,,,,,,0,0,0,Llenando ventana
3,1,PSO,poblacional,23345.03805421222,43653.70528202556,False,False,,,,,,,0,0,0,Llenando ventana
4,1,PSO,poblacional,22218.13202165933,22218.13202165933,False,False,,,,,,,0,0,0,Llenando ventana
5,1,PSO,poblacional,20898.85621915995,20898.85621915995,False,False,,,,,,,0,0,0,Llenando ventana
6,1,PSO,poblacional,20898.85621915995,56095.71840715231,False,False,,,,,,,0,0,0,Llenando ventana
7,1,PSO,poblacional,20898.85621915995,27107.401387646314,False,False,,,,,,,0,0,0,Llenando ventana
8,1,PSO,poblacional,20173.01818840624,20173.01818840624,False,False,,,,,,,0,0,0,Llenando ventana
9,1,PSO,poblacional,20173.01818840624,20391.102673703786,False,False,,,,,,,0,0,0,Llenando ventana
10,1,PSO,poblacional,19854.37431033748,19854.37431033748,False,False,,,,,,,0,0,0,Llenando ventana
11,1,PSO,poblacional,13951.356832620339,13951.356832620339,False,False,,,,,,,0,0,0,Llenando ventana
12,1,PSO,poblacional,13951.356832620339,18383.1643738335,False,False,,,,,,,0,0,0,Llenando ventana
13,1,PSO,poblacional,13951.356832620339,3845353.3300714283,False,False,,,,,,,0,0,0,Llenando ventana
14,1,PSO,poblacional,13951.356832620339,37171.1632083042,False,False,,,,,,,0,0,0,Llenando ventana
15,1,PSO,poblacional,13951.356832620339,15067.771445222297,False,False,,,,,,,0,0,0,Llenando ventana
16,1,PSO,poblacional,13951.356832620339,31037.29987944741,False,False,,,,,,,0,0,0,Llenando ventana
17,1,PSO,poblacional,12783.165517087893,12783.165517087893,False,False,,,,,,,0,0,0,Llenando ventana
18,1,PSO,poblacional,12783.165517087893,22461.318985566697,False,False,,,,,,,0,0,0,Llenando ventana
19,1,PSO,poblacional,12783.165517087893,36902.695762895186,False,False,,,,,,,0,0,0,Llenando ventana
20,1,PSO,poblacional,12783.165517087893,14747.042108143607,False,False,,,,,,,0,0,0,Llenando ventana
21,1,PSO,poblacional,12783.165517087893,105743.54287310646,False,False,,,,,,,0,0,0,Llenando ventana
22,1,PSO,poblacional,12783.165517087893,15654.57518502997,False,False,,,,,,,0,0,0,Llenando ventana
23,1,PSO,poblacional,12783.165517087893,13009.688630356572,False,False,,,,,,,0,0,0,Llenando ventana
24,1,PSO,poblacional,12783.165517087893,13775.698275447025,False,False,,,,,,,0,0,0,Llenando ventana
