run,mejor_valor,n_switches
1,300.00000000000034,8
2,300.0000000000005,10
3,300.00000220901893,6
4,300.0000000000077,5
5,300.00000000173156,5
6,300.00001662360427,5
7,300.00000000000006,10
8,300.0000000000002,5
9,300.0000000000001,7
10,300.00000000001216,5
11,300.0000000243189,6
12,300.0000000000209,8
13,300.00000000005906,6
14,300.0000000002967,5
15,300.00000000000006,11
16,300.0000000000001,11
17,300.00000000000205,8
18,300.000007038012,5
19,300.0000000000002,6
20,300.00000000000006,10
21,300.00000000000966,9
22,300.0000000000027,8
23,300.0000000000001,5
24,300.0000938661378,6
25,300.00000000000153,8
26,300.000000000512,5
27,300.0000000036068,5
28,300.0000000003442,7
29,300.0000146581911,5
30,300.00000004326256,6
31,300.000000879992,4
