run,mejor_valor,n_switches
1,300.00000659213987,12
2,300.0000000000688,6
3,300.00000000000006,8
4,300.59855405960093,8
5,300.00000127204385,6
6,300.00676134671517,6
7,300.0,4
8,300.0000000000001,9
9,300.0000040034484,8
10,1048.6130478256578,6
11,300.00000047927506,7
12,300.0000000009178,6
13,300.00000000000006,8
14,300.02274688758115,6
15,300.00000000000756,5
16,300.00000098267157,6
17,300.00000000036266,11
18,300.00000129154137,6
19,300.0,7
20,300.0000001100459,7
21,300.0000000000001,12
22,300.0000000002497,6
23,300.00031408503196,6
24,300.00000000000284,5
25,300.00000000001,8
26,300.00000000000006,7
27,300.0000000000063,9
28,300.00000000003945,5
29,300.0004623593405,6
30,300.00000000016826,6
31,300.0000001449338,5
