iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,PSO,poblacional,1211.6500794814215,1211.6500794814215,False,False,,,,,,,0,0,0,Llenando ventana
2,1,PSO,poblacional,903.6614930185995,903.6614930185995,False,False,,,,,,,0,0,0,Llenando ventana
3,1,PSO,poblacional,636.7765957085073,636.7765957085073,False,False,,,,,,,0,0,0,Llenando ventana
4,1,PSO,poblacional,577.5314932561239,577.5314932561239,False,False,,,,,,,0,0,0,Llenando ventana
5,1,PSO,poblacional,577.5314932561239,600.701357874583,False,False,,,,,,,0,0,0,Llenando ventana
6,1,PSO,poblacional,567.3186603306528,567.3186603306528,False,False,,,,,,,0,0,0,Llenando ventana
7,1,PSO,poblacional,565.1722881518328,565.1722881518328,False,False,,,,,,,0,0,0,Llenando ventana
8,1,PSO,poblacional,486.9531164603911,486.9531164603911,False,False,,,,,,,0,0,0,Llenando ventana
9,1,PSO,poblacional,486.9531164603911,504.134498289941,False,False,,,,,,,0,0,0,Llenando ventana
10,1,PSO,poblacional,486.9531164603911,501.58329812549846,False,False,,,,,,,0,0,0,Llenando ventana
11,1,PSO,poblacional,486.9531164603911,493.07144105166844,False,False,,,,,,,0,0,0,Llenando ventana
12,1,PSO,poblacional,486.9531164603911,488.23458073537586,False,False,,,,,,,0,0,0,Llenando ventana
13,1,PSO,poblacional,483.4928176375435,483.4928176375435,False,False,,,,,,,0,0,0,Llenando ventana
14,1,PSO,poblacional,483.4928176375435,485.7913765221872,False,False,,,,,,,0,0,0,Llenando ventana
15,1,PSO,poblacional,478.98597166820264,478.98597166820264,False,False,,,,,,,0,0,0,Llenando ventana
16,1,PSO,poblacional,472.0822934508495,472.0822934508495,False,False,,,,,,,0,0,0,Llenando ventana
17,1,PSO,poblacional,472.0822934508495,472.6279508940489,False,False,,,,,,,0,0,0,Llenando ventana
18,1,PSO,poblacional,472.0822934508495,476.4970387932797,False,False,,,,,,,0,0,0,Llenando ventana
19,1,PSO,poblacional,472.0822934508495,473.7917697953628,False,False,,,,,,,0,0,0,Llenando ventana
20,1,PSO,poblacional,472.0822934508495,473.4887652438596,False,False,,,,,,,0,0,0,Llenando ventana
21,1,PSO,poblacional,472.0822934508495,472.1175311889968,False,False,,,,,,,0,0,0,Llenando ventana
22,1,PSO,poblacional,472.0822934508495,472.7472919629137,False,False,,,,,,,0,0,0,Llenando ventana
23,1,PSO,poblacional,470.5799507943071,470.5799507943071,False,False,,,,,,,0,0,0,Llenando ventana
24,1,PSO,poblacional,470.5799507943071,473.6849768008109,False,False,,,,,,,0,0,0,Llenando ventana
25,1,PSO,poblacional,470.5799507943071,471.4940967160837,False,False,,,,,,,0,0,0,Llenando ventana
26,1,PSO,poblacional,470.5799507943071,470.60082252660163,False,False,,,,,,,0,0,0,Llenando ventana
27,1,PSO,poblacional,470.5799507943071,471.9309654311687,False,False,,,,,,,0,0,0,Llenando ventana
28,1,PSO,poblacional,469.61893072430854,469.61893072430854,False,False,,,,,,,0,0,0,Llenando ventana
29,1,PSO,poblacional,469.61893072430854,471.2725941500494,False,False,,,,,,,0,0,0,Llenando ventana
30,1,PSO,poblacional,469.4840895895924,469.4840895895924,False,False,,,,,,,0,0,0,Llenando ventana
31,1,PSO,poblacional,468.9852772124689,468.9852772124689,False,False,,,,,,,0,0,0,Llenando ventana
32,1,PSO,poblacional,468.9852772124689,469.09955984949295,False,False,,,,,,,0,0,0,Llenando ventana
