run,mejor_valor,n_switches
1,407.46060363049133,7
2,404.0012418577021,5
3,403.98874626089815,6
4,400.2356938598756,5
5,408.9161019300603,5
6,408.9161019277813,6
7,407.38032844016254,11
8,408.9161019277813,15
9,408.9161019277813,10
10,404.3193906886783,5
11,400.3187069072751,6
12,408.9161019277918,10
13,478.4880396929231,5
14,408.9161019277813,11
15,479.0063724304929,8
16,408.9161019683526,8
17,405.26293098206395,6
18,408.91610222517653,5
19,404.59226709992674,5
20,408.91610192810145,11
21,408.9161019277813,5
22,404.4027170982792,5
23,400.31027752477615,6
24,408.9161019277824,6
25,408.9161019277813,15
26,404.11071162328665,5
27,408.91610192778137,14
28,408.91610192778137,12
29,408.9161019277813,10
30,400.11574559332706,6
31,408.9161019277813,11
