run,mejor_valor,n_switches
1,603.5067389017966,11
2,602.8080950328272,8
3,603.3989735937953,10
4,603.0413602775843,8
5,603.8781614468002,7
6,602.9967196057606,6
7,603.3656954393454,8
8,603.381213506252,5
9,603.1247417134597,8
10,602.5318349450633,9
11,603.2835487855028,7
12,603.2539305536171,6
13,603.4925849368307,8
14,603.2471900922361,7
15,603.5749671170241,6
16,602.2219724903689,6
17,601.8321441001976,7
18,603.500987951407,6
19,603.220797291045,5
20,603.5452010901271,6
21,603.4811366486882,6
22,602.1036233320527,4
23,603.5755462314895,10
24,602.7972349464823,6
25,603.26627770743,6
26,603.2536211438729,6
27,602.9986046792885,9
28,602.9473808796814,4
29,603.1785673056448,6
30,603.9965856446826,6
31,602.5782892672003,5
