run,mejor_valor,n_switches
1,605.6646955265417,12
2,601.8680674872569,8
3,600.0216933467514,5
4,613.1954279923178,5
5,600.0847456417296,5
6,600.1177650478796,6
7,602.1759177025754,14
8,600.0109782449788,9
9,601.9132150309032,6
10,605.849427750178,7
11,601.6823845168234,8
12,600.0871054172504,7
13,602.4117115912888,11
14,600.0536532547076,10
15,610.7652290699073,10
16,600.1657303298645,12
17,600.779517045878,7
18,600.0463170223352,7
19,603.1381548652118,5
20,600.835970437753,8
21,604.296240428305,13
22,609.8024938506469,15
23,600.2537056426801,6
24,602.9013150058677,13
25,607.9185266955346,7
26,600.2830288289052,9
27,602.6645140313702,13
28,601.4433829231833,7
29,605.805938261421,7
30,605.5691061370466,12
31,609.0238240527115,4
