iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,GWO,poblacional,870.7142755598531,870.7142755598531,False,False,,,,,,,0,0,1,Llenando ventana
2,1,GWO,poblacional,870.7142755598531,870.7142755598531,False,False,,,,,,,1,0,2,Llenando ventana
3,1,GWO,poblacional,870.7142755598531,870.7142755598531,False,False,,,,,,,2,0,3,Llenando ventana
4,1,GWO,poblacional,870.7142755598531,870.7142755598531,False,False,,,,,,,3,0,4,Llenando ventana
5,1,GWO,poblacional,870.7142755598531,870.7142755598531,False,False,,,,,,,4,0,5,Llenando ventana
6,1,GWO,poblacional,863.5738475287396,863.5738475287396,False,False,,,,,,,0,0,6,Llenando ventana
7,1,GWO,poblacional,863.5738475287396,863.5738475287396,False,False,,,,,,,1,0,7,Llenando ventana
8,1,GWO,poblacional,863.5738475287396,863.5738475287396,False,False,,,,,,,2,0,8,Llenando ventana
9,1,GWO,poblacional,863.5738475287396,863.5738475287396,False,False,,,,,,,3,0,9,Llenando ventana
10,1,GWO,poblacional,863.5738475287396,863.5738475287396,False,False,,,,,,,4,0,10,Llenando ventana
11,1,GWO,poblacional,863.5738475287396,863.5738475287396,False,False,,,,,,,5,0,11,Llenando ventana
12,1,GWO,poblacional,856.1121804626456,856.1121804626456,False,False,,,,,,,0,0,12,Llenando ventana
13,1,GWO,poblacional,856.1121804626456,856.1121804626456,False,False,,,,,,,1,0,13,Llenando ventana
14,1,GWO,poblacional,856.1121804626456,856.1121804626456,False,False,,,,,,,2,0,14,Llenando ventana
15,1,GWO,poblacional,854.3963680963726,854.3963680963726,False,False,,,,,,,0,0,15,Llenando ventana
16,1,GWO,poblacional,854.3963680963726,854.3963680963726,False,False,,,,,,,1,0,16,Llenando ventana
17,1,GWO,poblacional,854.3963680963726,854.3963680963726,False,False,,,,,,,2,0,17,Llenando ventana
18,1,GWO,poblacional,854.3963680963726,854.3963680963726,False,False,,,,,,,3,0,18,Llenando ventana
19,1,GWO,poblacional,854.3963680963726,854.3963680963726,False,False,,,,,,,4,0,19,Llenando ventana
20,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,0,0,20,Llenando ventana
21,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,1,0,21,Llenando ventana
22,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,2,0,22,Llenando ventana
23,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,3,0,23,Llenando ventana
24,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,4,0,24,Llenando ventana
25,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,5,0,25,Llenando ventana
26,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,6,0,26,Llenando ventana
27,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,7,0,27,Llenando ventana
28,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,8,0,28,Llenando ventana
29,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,9,0,29,Llenando ventana
30,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,10,0,30,Llenando ventana
31,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,11,0,31,Llenando ventana
32,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,12,0,32,Llenando ventana
33,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,13,0,33,Llenando ventana
34,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,14,0,34,Llenando ventana
35,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,15,0,35,Llenando ventana
36,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,16,0,36,Llenando ventana
37,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,17,0,37,Llenando ventana
38,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,18,0,38,Llenando ventana
39,1,GWO,poblacional,840.4886497173907,840.4886497173907,False,False,,,,,,,19,0,39,Llenando ventana
40,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,796.4477983054468,802.9765334874185,-6.528735181971683,4.0,20.0,12.0,20,0,40,Explotacion activa
41,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,826.5525216445393,833.2021593298809,-6.649637685341645,4.0,20.0,12.0,21,0,41,Explotacion activa
42,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,856.6723577965532,863.4277851723434,-6.755427375790191,4.0,20.0,12.0,22,0,42,Explotacion activa
43,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,886.8073067614883,893.6534110148059,-6.846104253317549,4.0,20.0,12.0,23,0,43,Explotacion activa
44,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,916.9573685393447,923.8790368572684,-6.921668317923718,4.0,20.0,12.0,24,0,44,Explotacion activa
45,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,663.6050221180899,668.4875414551902,-4.882519337100348,4.0,20.0,12.0,25,0,45,Explotacion activa
46,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,686.5863365392877,691.5727392665392,-4.986402727251516,4.0,20.0,12.0,26,0,46,Explotacion activa
47,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,709.5791935593913,714.6579370778882,-5.078743518496822,4.0,20.0,12.0,27,0,47,Explotacion activa
48,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,732.5835931784006,737.7431348892371,-5.159541710836493,4.0,20.0,12.0,28,0,48,Explotacion activa
49,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,755.5995353963156,760.8283327005861,-5.228797304270529,730.8175755458325,835.5884724901434,-5.135302253134592,29,0,49,Explotacion activa
50,1,GWO,poblacional,840.4886497173907,840.4886497173907,True,False,778.6270202131361,783.913530511935,-5.28651029879893,737.7431348892371,826.5525216445393,-5.159541710836493,30,0,50,Explotacion activa
51,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,509.0824879483465,513.7378427051359,-4.655354756789393,721.5834964212928,817.5211046428116,-5.102982976198723,0,0,51,Explotacion activa
52,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,529.8493277359022,534.5671704760042,-4.717842740102014,705.4238579533486,808.4896876410837,-5.0418072019987,1,0,52,Explotacion activa
53,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,550.6265821873434,555.3964982468725,-4.769916059529123,689.2642194854043,799.458270639356,-4.976014388236399,2,0,53,Explotacion activa
54,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,503.46481203942847,507.5933313668214,-4.128519327392951,673.1045810174601,792.8836426869847,-4.903296015130581,3,0,54,Explotacion activa
55,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,522.5018733824055,526.7068467714167,-4.204973389011229,611.9420198510313,787.5374092592915,-4.826217698314736,4,0,55,Explotacion activa
56,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,541.5484914830848,545.820362176012,-4.271870692927223,553.4812710327004,782.1911758315982,-4.759501395643701,5,0,56,Explotacion activa
57,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,560.6046663414664,564.9338775806074,-4.329211239140932,556.350236180246,776.324271731454,-4.7230500720447255,6,0,57,Explotacion activa
58,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,579.6703979575503,584.0473929852027,-4.376995027652356,559.2114499803664,769.4160262864079,-4.680349950114442,7,0,58,Explotacion activa
59,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,47.047390618980785,46.85217323052041,0.19521738846037806,552.5236574256144,762.5077808413618,-4.571846838048282,8,0,59,Explotacion activa
60,1,GWO,poblacional,835.2828526917773,835.2828526917773,True,False,52.17510068921001,52.057970256133785,0.11713043307622684,545.820362176012,755.5995353963156,-4.376995027652356,9,0,60,Explotacion activa
61,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,61.930935968648555,61.85257909791426,0.07835687073429654,537.9431279860065,748.6947527309411,-4.343546375694359,0,0,61,Explotacion activa
62,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,71.58842028664412,71.64718793969473,-0.058767653050608715,531.4230409941692,741.7899700655665,-4.306275020655448,1,0,62,Explotacion activa
63,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,81.25080190906056,81.4417967814752,-0.19099487241464885,525.4099463647887,734.8851874001921,-4.265180962535624,2,0,63,Explotacion activa
64,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,90.91808083589785,91.23640562325568,-0.3183247873578239,516.3316435183921,727.9827132545987,-4.218352849794428,3,0,64,Explotacion activa
65,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,100.59025706715602,101.03101446503615,-0.4407573978801338,510.66558703597866,721.081393368896,-4.16674635820209,4,0,65,Explotacion activa
66,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,110.26733060283505,110.82562330681662,-0.5582927039815786,428.2397897548204,714.1800734831932,-3.414474002710679,5,0,66,Explotacion activa
67,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,119.94930144293494,120.6202321485971,-0.6709307056621583,159.3175420704194,707.279907857381,-1.0166895678352423,6,0,67,Explotacion activa
68,1,GWO,poblacional,830.6940408756102,830.6940408756102,True,False,129.63616958745592,130.41484099037757,-0.7786714029216455,124.5380756853093,700.3820507513499,-0.7140269845659534,7,0,68,Explotacion activa
