iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,ACO,poblacional,3492.708933088576,3492.708933088576,False,False,,,,,,,0,0,1,Llenando ventana
2,1,ACO,poblacional,2860.964756832851,2860.964756832851,False,False,,,,,,,0,0,2,Llenando ventana
3,1,ACO,poblacional,2860.964756832851,3085.4506747630735,False,False,,,,,,,1,0,3,Llenando ventana
4,1,ACO,poblacional,2860.964756832851,3301.0385044105865,False,False,,,,,,,2,0,4,Llenando ventana
5,1,ACO,poblacional,2860.964756832851,2999.685850508825,False,False,,,,,,,3,0,5,Llenando ventana
6,1,ACO,poblacional,2628.403565874103,2628.403565874103,False,False,,,,,,,0,0,6,Llenando ventana
7,1,ACO,poblacional,2628.403565874103,2726.471910990216,False,False,,,,,,,1,0,7,Llenando ventana
8,1,ACO,poblacional,2544.5254986997597,2544.5254986997597,False,False,,,,,,,0,0,8,Llenando ventana
9,1,ACO,poblacional,2544.5254986997597,2792.0984923087194,False,False,,,,,,,1,0,9,Llenando ventana
10,1,ACO,poblacional,2544.5254986997597,2939.518267612777,False,False,,,,,,,2,0,10,Llenando ventana
11,1,ACO,poblacional,2544.5254986997597,2580.2906860681674,False,False,,,,,,,3,0,11,Llenando ventana
12,1,ACO,poblacional,2544.5254986997597,2895.964519881317,False,False,,,,,,,4,0,12,Llenando ventana
13,1,ACO,poblacional,2544.5254986997597,2889.880320125979,False,False,,,,,,,5,0,13,Llenando ventana
14,1,ACO,poblacional,2544.5254986997597,2619.3714848079444,False,False,,,,,,,6,0,14,Llenando ventana
15,1,ACO,poblacional,2544.5254986997597,2641.306546244837,False,False,,,,,,,7,0,15,Llenando ventana
16,1,ACO,poblacional,2544.5254986997597,2823.1597053422506,False,False,,,,,,,8,0,16,Llenando ventana
17,1,ACO,poblacional,2544.5254986997597,2979.156617088861,False,False,,,,,,,9,0,17,Llenando ventana
18,1,ACO,poblacional,2544.5254986997597,2746.738219440872,False,False,,,,,,,10,0,18,Llenando ventana
19,1,ACO,poblacional,2544.5254986997597,2712.956202615338,False,False,,,,,,,11,0,19,Llenando ventana
20,1,ACO,poblacional,2544.5254986997597,2600.8164943869306,False,False,,,,,,,12,0,20,Llenando ventana
21,1,ACO,poblacional,2544.5254986997597,2762.845255877236,False,False,,,,,,,13,0,21,Llenando ventana
22,1,ACO,poblacional,2362.627722658601,2362.627722658601,False,False,,,,,,,0,0,22,Llenando ventana
23,1,ACO,poblacional,2362.627722658601,2720.1233599382977,False,False,,,,,,,1,0,23,Llenando ventana
24,1,ACO,poblacional,2362.627722658601,2563.932196281283,False,False,,,,,,,2,0,24,Llenando ventana
25,1,ACO,poblacional,2362.627722658601,2477.481088777545,False,False,,,,,,,3,0,25,Llenando ventana
26,1,ACO,poblacional,2362.627722658601,2743.471354724008,False,False,,,,,,,4,0,26,Llenando ventana
27,1,ACO,poblacional,2362.627722658601,2990.1165335260657,False,False,,,,,,,5,0,27,Llenando ventana
28,1,ACO,poblacional,2362.627722658601,2693.072110055386,False,False,,,,,,,6,0,28,Llenando ventana
