run,mejor_valor,n_switches
1,2863.9046985844416,9
2,2863.715002548297,14
3,2863.879537154756,8
4,2865.402703081183,6
5,2862.7431630986484,5
6,2863.1891260928355,9
7,2863.924512134289,7
8,2859.392376985386,10
9,2863.8778283743263,8
10,2861.530505729629,5
11,2863.7148495493293,9
12,2863.7148495493307,11
13,2866.6619638456864,7
14,2863.8778472756735,10
15,2862.567376357958,12
16,2863.7148495493293,13
17,2866.6822460460057,7
18,2868.9069185848743,6
19,2864.9310079029965,11
20,2862.9464610298232,12
21,2863.5207392168177,4
22,2865.349469167849,13
23,2863.4948352028837,12
24,2865.2126056033976,5
25,2863.4948352029337,11
26,2862.5673763735576,5
27,2863.49483520288,8
28,2863.1315879473045,6
29,2861.4048807590616,5
30,2862.567376357956,6
31,2863.1892365516474,8
