rank,algoritmo,mean_rank,media,std,mediana,iqr,ci95_low,ci95_high,min,max,shapiro_pvalue,wilcoxon_pvalue,mannwhitney_pvalue,significancia
1,F1_Shifted_Rotated_Zakharov,1.00,300.000004,0.000017,300.000000,0.000000,299.999998,300.000010,300.000000,300.000094,3.051808e-11,1.000000e+00,1.000000e+00,=
2,F2_Shifted_Rotated_Rosenbrock,2.00,411.182303,18.297551,408.916102,4.555048,404.741083,417.623524,400.115746,479.006372,4.587016e-10,9.313226e-10,1.326409e-11,Peor (-) ***
3,F3_Shifted_Rotated_Expanded_Schaffers_F7,3.00,603.252574,3.657200,601.913215,5.407183,601.965143,604.540005,600.010978,613.195428,2.251422e-04,9.313226e-10,1.394457e-11,Peor (-) ***
4,F4_Shifted_Rotated_NonContinuous_Rastrigin,4.00,816.302366,7.931841,815.000000,12.000000,813.510148,819.094583,804.000000,835.000000,1.330595e-01,9.313226e-10,1.380597e-11,Peor (-) ***
5,F5_Shifted_Rotated_Levy,5.00,900.198442,0.529261,900.000018,0.089528,900.012128,900.384755,900.000000,902.612954,8.051370e-10,9.313226e-10,1.392820e-11,Peor (-) ***
6,F7_Hybrid_Function_2,6.16,2021.364693,4.510422,2021.301002,1.619803,2019.776906,2022.952481,2000.626550,2029.945492,6.549011e-08,9.313226e-10,1.394457e-11,Peor (-) ***
7,F8_Hybrid_Function_3,7.26,2219.709146,4.858426,2220.599657,0.720127,2217.998852,2221.419440,2201.387138,2225.490880,1.737781e-09,9.313226e-10,1.394457e-11,Peor (-) ***
8,F10_Composition_Function_2,8.74,2522.020533,65.923925,2500.549901,55.621036,2498.813572,2545.227495,2406.892389,2639.023659,3.772182e-05,9.313226e-10,1.394457e-11,Peor (-) ***
9,F9_Composition_Function_1,9.16,2534.024123,26.389757,2529.284383,0.000000,2524.734232,2543.314014,2529.284383,2676.216331,4.635931e-12,1.149509e-06,3.326661e-12,Peor (-) ***
10,F6_Hybrid_Function_1,9.94,3947.200337,1997.294441,3293.525391,2985.390478,3244.099981,4650.300692,1810.459222,8017.429029,1.882522e-03,9.313226e-10,1.394457e-11,Peor (-) ***
11,F11_Composition_Function_3,10.68,2774.336872,138.339555,2750.427262,299.989578,2725.637697,2823.036046,2600.000000,3000.000125,8.155207e-04,9.313226e-10,1.394457e-11,Peor (-) ***
12,F12_Composition_Function_4,11.06,2863.764697,1.723624,2863.714850,0.875581,2863.157936,2864.371458,2859.392377,2868.906919,1.828935e-02,9.313226e-10,1.393638e-11,Peor (-) ***
