iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,PSO,poblacional,122354.34913875256,122354.34913875256,False,False,,,,,,,0,0,0,Llenando ventana
2,1,PSO,poblacional,122354.34913875256,137968.36110794876,False,False,,,,,,,0,0,0,Llenando ventana
3,1,PSO,poblacional,20884.744482082027,20884.744482082027,False,False,,,,,,,0,0,0,Llenando ventana
4,1,PSO,poblacional,20576.806504885175,20576.806504885175,False,False,,,,,,,0,0,0,Llenando ventana
5,1,PSO,poblacional,11171.858497260842,11171.858497260842,False,False,,,,,,,0,0,0,Llenando ventana
6,1,PSO,poblacional,11171.858497260842,12615.972026491718,False,False,,,,,,,0,0,0,Llenando ventana
7,1,PSO,poblacional,11171.858497260842,20081.685858230376,False,False,,,,,,,0,0,0,Llenando ventana
8,1,PSO,poblacional,9023.149363379218,9023.149363379218,False,False,,,,,,,0,0,0,Llenando ventana
9,1,PSO,poblacional,9023.149363379218,14555.874949958676,False,False,,,,,,,0,0,0,Llenando ventana
10,1,PSO,poblacional,9023.149363379218,22027.72161991192,False,False,,,,,,,0,0,0,Llenando ventana
11,1,PSO,poblacional,9023.149363379218,16098.865174545617,False,False,,,,,,,0,0,0,Llenando ventana
12,1,PSO,poblacional,9023.149363379218,13519.751309054835,False,False,,,,,,,0,0,0,Llenando ventana
13,1,PSO,poblacional,9023.149363379218,13183.52709903753,False,False,,,,,,,0,0,0,Llenando ventana
14,1,PSO,poblacional,9023.149363379218,11734.682787127264,False,False,,,,,,,0,0,0,Llenando ventana
15,1,PSO,poblacional,8483.947030412592,8483.947030412592,False,False,,,,,,,0,0,0,Llenando ventana
16,1,PSO,poblacional,8483.947030412592,13259.01686390345,False,False,,,,,,,0,0,0,Llenando ventana
17,1,PSO,poblacional,8483.947030412592,10207.54462001062,False,False,,,,,,,0,0,0,Llenando ventana
18,1,PSO,poblacional,8483.947030412592,21835.539664435666,False,False,,,,,,,0,0,0,Llenando ventana
19,1,PSO,poblacional,8483.947030412592,9284.411567586114,False,False,,,,,,,0,0,0,Llenando ventana
20,1,PSO,poblacional,8483.947030412592,10729.424938029064,False,False,,,,,,,0,0,0,Llenando ventana
21,1,PSO,poblacional,8483.947030412592,12403.382087461145,False,False,,,,,,,0,0,0,Llenando ventana
22,1,PSO,poblacional,8483.947030412592,8581.964224332998,False,False,,,,,,,0,0,0,Llenando ventana
23,1,PSO,poblacional,8483.947030412592,13132.284024758466,False,False,,,,,,,0,0,0,Llenando ventana
24,1,PSO,poblacional,8483.947030412592,10350.564559183695,False,False,,,,,,,0,0,0,Llenando ventana
25,1,PSO,poblacional,8483.947030412592,22241.677552262903,False,False,,,,,,,0,0,0,Llenando ventana
26,1,PSO,poblacional,8053.224666622408,8053.224666622408,False,False,,,,,,,0,0,0,Llenando ventana
27,1,PSO,poblacional,8053.224666622408,10004.15831786973,False,False,,,,,,,0,0,0,Llenando ventana
28,1,PSO,poblacional,6311.022368336489,6311.022368336489,False,False,,,,,,,0,0,0,Llenando ventana
