run,mejor_valor,n_switches
1,406.7286216524461,7
2,402.4278189669021,6
3,403.0817833054804,8
4,401.7255226576014,8
5,408.969855148115,5
6,407.8620121636546,5
7,406.72862156052696,17
8,400.1448314746717,5
9,403.2576957742153,7
10,402.0842077608254,4
11,407.62829399155135,6
12,409.0914744305227,6
13,403.68179617759597,8
14,407.0621933521638,6
15,404.00779778006796,5
16,403.2607164654164,6
17,406.7286215618562,11
18,402.1178645940493,6
19,400.43913004084203,5
20,406.72862165955104,6
21,402.8773586629932,4
22,401.16814586997987,4
23,404.00312579132384,6
24,403.3022356927889,4
25,403.0813302348781,8
26,401.88586174388104,4
27,400.8294056191763,9
28,402.0631789985146,4
29,400.01295800507506,6
30,401.1940587098263,5
31,407.09714475119125,5
