iteracion,epoch,mh,tipo,fitness_best,fitness_instantaneo,dtw_ready,dtw_fire,D1_vs_ramp,D2_vs_const,dtw_delta,theta_c,theta_r,theta_delta,no_improve_len,trigger_streak,window_n,estado_dtw
1,1,GWO,poblacional,604.6136770957727,604.6136770957727,False,False,,,,,,,0,0,1,Llenando ventana
2,1,GWO,poblacional,604.6136770957727,604.6136770957727,False,False,,,,,,,1,0,2,Llenando ventana
3,1,GWO,poblacional,604.5211537526189,604.5211537526189,False,False,,,,,,,0,0,3,Llenando ventana
4,1,GWO,poblacional,604.5198583147005,604.5198583147005,False,False,,,,,,,0,0,4,Llenando ventana
5,1,GWO,poblacional,604.4169969903089,604.4169969903089,False,False,,,,,,,0,0,5,Llenando ventana
6,1,GWO,poblacional,604.3800069588559,604.3800069588559,False,False,,,,,,,0,0,6,Llenando ventana
7,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,0,0,7,Llenando ventana
8,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,1,0,8,Llenando ventana
9,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,2,0,9,Llenando ventana
10,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,3,0,10,Llenando ventana
11,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,4,0,11,Llenando ventana
12,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,5,0,12,Llenando ventana
13,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,6,0,13,Llenando ventana
14,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,7,0,14,Llenando ventana
15,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,8,0,15,Llenando ventana
16,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,9,0,16,Llenando ventana
17,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,10,0,17,Llenando ventana
18,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,11,0,18,Llenando ventana
19,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,12,0,19,Llenando ventana
20,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,13,0,20,Llenando ventana
21,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,14,0,21,Llenando ventana
22,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,15,0,22,Llenando ventana
23,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,16,0,23,Llenando ventana
24,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,17,0,24,Llenando ventana
25,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,18,0,25,Llenando ventana
26,1,GWO,poblacional,603.8356717010156,603.8356717010156,False,False,,,,,,,19,0,26,Llenando ventana
27,1,GWO,poblacional,603.8287974191607,603.8287974191607,False,False,,,,,,,0,0,27,Llenando ventana
28,1,GWO,poblacional,603.7941712639548,603.7941712639548,False,False,,,,,,,0,0,28,Llenando ventana
29,1,GWO,poblacional,603.7941712639548,603.7941712639548,False,False,,,,,,,1,0,29,Llenando ventana
30,1,GWO,poblacional,603.7941712639548,603.7941712639548,True,False,19.252864100480565,19.420197433813883,-0.16733333333331757,3.0,15.0,9.0,2,0,30,Explotacion activa
31,1,GWO,poblacional,603.7941712639548,603.7941712639548,True,False,20.069703265631688,20.23970326563176,-0.17000000000007276,3.0,15.0,9.0,3,0,31,Explotacion activa
32,1,GWO,poblacional,603.7941712639548,603.7941712639548,True,False,18.112842136170684,18.283508802837332,-0.17066666666664787,3.0,15.0,9.0,4,0,32,Explotacion activa
33,1,GWO,poblacional,603.7941712639548,603.7941712639548,True,False,18.801628153948513,18.971628153948586,-0.17000000000007276,3.0,15.0,9.0,5,0,33,Explotacion activa
